LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.408404112,0.180273786,-1.202234983,-0.456272006,1.40658164,-0.179344311,1.201871991,0.456601501,0.091718629,0.103377759,-0.170000032,0,0.300000012,0.300000012
1.415209889,0.192584082,-1.203816652,-0.442000955,1.413963318,-0.191860437,1.203688025,0.442280442,0.09668342,0.100456946,-0.17007491,0,0.29987672,0.301756591
1.421993256,0.201969743,-1.204050422,-0.4391357,1.420757294,-0.201476917,1.20389843,0.448723048,0.094553649,0.09167517,-0.170658216,0,0.298946768,0.314865321
1.42940402,0.208894268,-1.203449965,-0.456495166,1.426656485,-0.208672538,1.202045202,0.485554099,0.086060323,0.071093842,-0.171784669,0,0.297230333,0.33867076
1.437388897,0.213677168,-1.202333331,-0.497327238,1.432051539,-0.215024352,1.199875712,0.55037576,0.070817083,0.038065333,-0.173412353,0,0.294877261,0.370656073
1.44533968,0.21627523,-1.200952411,-0.560893655,1.431874752,-0.215805918,1.197310925,0.640149355,0.049080145,-0.005868936,-0.175499335,0,0.292037368,0.408304393
1.452528596,0.216534644,-1.198662281,-0.692291498,1.425618529,-0.212444246,1.195115328,0.750341117,0.021431521,-0.058057792,-0.178003684,0,0.28886044,0.449098766
1.460040212,0.212407187,-1.19717598,-0.797527969,1.413267136,-0.206006378,1.193274498,0.874080062,-0.011381641,-0.11528749,-0.180883527,0,0.285496205,0.490522355
1.462066293,0.207012683,-1.195624471,-0.911452293,1.397277474,-0.198179722,1.19131279,1.003960371,-0.04852847,-0.174059138,-0.184096873,0,0.282094628,0.530058265
1.461734295,0.199877962,-1.193883777,-1.029214978,1.366490602,-0.186181337,1.191555142,1.137625575,-0.089135647,-0.230729192,-0.187601864,0,0.278805315,0.565189719
1.451131105,0.186776787,-1.193358541,-1.149373293,1.33918798,-0.178491995,1.191852927,1.256952643,-0.132308349,-0.281580836,-0.191356629,0,0.275778174,0.593399763
1.439203739,0.177458555,-1.193101883,-1.260658503,1.315121293,-0.173426524,1.192038178,1.355384707,-0.177140832,-0.322860211,-0.195319116,0,0.273162961,0.612171471
1.427899361,0.170637414,-1.19321084,-1.356532812,1.294705629,-0.170330718,1.19212234,1.423508525,-0.22272183,-0.350794405,-0.199447498,0,0.271109551,0.618987978
1.416842699,0.165118873,-1.193399668,-1.424242496,1.277845144,-0.169000074,1.189736962,1.466092825,-0.268137276,-0.356886774,-0.205044493,0,0.269767582,0.609049618
1.405708432,0.160335943,-1.193360806,-1.467575908,1.263942003,-0.169571191,1.18033886,1.491448402,-0.312471718,-0.330419183,-0.212785348,0,0.270403922,0.588687539
1.393435001,0.156179428,-1.190894246,-1.495309591,1.252563357,-0.171955854,1.162879825,1.506897807,-0.35648948,-0.270539105,-0.221686989,0,0.278404027,0.563606858
1.378252149,0.152613595,-1.182034135,-1.513059735,1.243344426,-0.175877124,1.138489485,1.516365409,-0.402932554,-0.129964411,-0.235065371,0,0.292014688,0.536444604
1.359768987,0.1495253,-1.165934086,-1.524419904,1.235870838,-0.180941284,1.094062567,1.523893952,-0.478805631,-0.014725108,-0.242567882,0,0.308742315,0.508632183
1.338487506,0.145459309,-1.130754948,-1.533111572,1.226899147,-0.189649582,1.063450217,1.526213527,-0.53289324,0.106217176,-0.247790352,0,0.326093256,0.481600881
1.303559184,0.142913252,-1.103004932,-1.535378098,1.221796513,-0.195359796,1.035637021,1.527299881,-0.588617742,0.222321138,-0.249749631,0,0.347833931,0.445249617
1.280169249,0.140341252,-1.074759364,-1.536342978,1.217195868,-0.200451046,1.012962103,1.527720928,-0.672470033,0.377374411,-0.175044879,0,0.355834067,0.422933042
1.258400679,0.137610003,-1.048720717,-1.536635637,1.21340549,-0.204901516,0.995687485,1.527825832,-0.726619661,0.471993089,-0.081762575,0,0.356844962,0.402139723
1.239665389,0.134633124,-1.026625276,-1.536063313,1.209536076,-0.21049729,0.978958845,1.527779698,-0.778827965,0.561317503,0.002033051,0,0.355846405,0.383500218
1.218812227,0.129724935,-1.000897408,-1.529135346,1.208183646,-0.213619202,0.972931802,1.527727604,-0.829191089,0.64581883,0.038397245,0,0.353465945,0.367644995
1.209896684,0.12614809,-0.989216864,-1.516283154,1.208789587,-0.216191292,0.970912874,1.520887971,-0.877715647,0.725928187,0.021047227,0,0.349303484,0.353129715
1.205062985,0.122202858,-0.982914865,-1.492593765,1.213218808,-0.218007654,0.973548114,1.494948864,-0.924322367,0.802291989,-0.023071397,0,0.342566162,0.338710755
1.206892729,0.117416352,-0.98415488,-1.452592254,1.221690893,-0.21917516,0.980173826,1.448584914,-0.968664467,0.8750332,-0.082061335,0,0.33174938,0.325319916
1.21585691,0.112298273,-0.992273211,-1.397440076,1.233308554,-0.219994158,0.989427984,1.387418628,-1.010701299,0.943951726,-0.144025832,0,0.319259554,0.313888878
1.229463696,0.108188234,-1.003863573,-1.334723592,1.246540189,-0.220801011,0.999607325,1.320879459,-1.05075407,1.008683681,-0.197067246,0,0.308035374,0.305349439
1.246266842,0.10590031,-1.016245246,-1.273388863,1.261657596,-0.221809164,1.010345936,1.252009273,-1.090006113,1.060252666,-0.229288727,0,0.301015288,0.300000012
1.265952945,0.104942411,-1.028025866,-1.214967132,1.280615568,-0.222581029,1.020585656,1.187490344,-1.111816645,1.085036516,-0.203058138,0,0.300000012,0.300000012
1.286453724,0.105004646,-1.037249684,-1.16020298,1.30306077,-0.222938061,1.028113246,1.139868498,-1.08356142,1.033264399,-0.135263026,0,0.306631178,0.300429076
1.304570675,0.106475137,-1.043071628,-1.122110605,1.322345376,-0.223053098,1.033424973,1.106772661,-1.026827931,0.944247544,-0.067467883,0,0.350131452,0.302673638
1.320847631,0.109986566,-1.046793699,-1.096956491,1.337303638,-0.223045856,1.037367344,1.083694577,-0.95640862,0.834669709,-0.036651913,0,0.412729383,0.304125994
