LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.420680165,0.191018015,-1.213159323,-0.449066967,1.430442214,-0.209318399,1.211561203,0.438892394,0.082635581,0.120054603,-0.170000032,0,0.300000012,0.300000012
1.421602607,0.206204325,-1.204774618,-0.451621056,1.437330127,-0.213816091,1.211623549,0.440650314,0.069166332,0.106357157,-0.164604425,-0.001164369,0.287767649,0.312518984
1.401192427,0.205328867,-1.196834087,-0.517932236,1.458827972,-0.218491271,1.224605441,0.474374413,-0.009328619,0.087015405,-0.150237322,-0.004286466,0.256662428,0.344352841
1.3489151,0.191658065,-1.1872859,-0.646911204,1.495985031,-0.222964585,1.250768781,0.539665341,-0.152523071,0.059307743,-0.12962842,-0.008809779,0.192966655,0.409540772
1.247217059,0.159478605,-1.180592537,-0.835002184,1.544938087,-0.226378724,1.286898136,0.626234293,-0.338484704,0.025606673,-0.09298268,-0.017004659,0.151376575,0.452105165
1.119999766,0.121753402,-1.178282142,-1.039551735,1.599128366,-0.228069708,1.327931404,0.718680084,-0.534327865,-0.024965374,-0.068711318,-0.022596272,0.120271347,0.483939111
1.009419799,0.088741474,-1.177907348,-1.211722255,1.672108889,-0.22747229,1.385600567,0.828741431,-0.758108258,-0.049294919,-0.047751859,-0.027641302,0.108038999,0.496457994
0.913075507,0.053774551,-1.180711746,-1.329811811,1.706082463,-0.225852087,1.415101409,0.866579413,-0.833124876,-0.062430225,-0.026518464,-0.032327604,0.184162945,0.480283409
0.882966816,0.038890749,-1.182769895,-1.319299459,1.730557084,-0.223526552,1.43860662,0.886916935,-0.871034861,-0.071305722,0.008018457,-0.039643582,0.29780668,0.455008328
0.866933823,0.028516654,-1.184340954,-1.247693896,1.747994304,-0.220448688,1.465956092,0.900984704,-0.895627856,-0.073887311,0.025402918,-0.044629138,0.437475622,0.422037005
0.856392145,0.018518798,-1.186268806,-1.06850791,1.764689684,-0.214704886,1.480531335,0.905057013,-0.902229607,-0.075250715,0.032330129,-0.04963506,0.582349718,0.384709805
0.853844047,0.014306328,-1.187704086,-0.932199359,1.771580815,-0.21059759,1.493207216,0.907323539,-0.905382156,-0.07597132,0.009580145,-0.054604575,0.763876081,0.3278597
0.853135705,0.011427538,-1.189533591,-0.808194816,1.776633501,-0.206811383,1.504745126,0.909858227,-0.907225847,-0.076461837,-0.048919961,-0.061866425,0.830674052,0.294258416
0.854211986,0.008843301,-1.193573952,-0.691602767,1.783555984,-0.20295234,1.521491766,0.912053883,-0.907752156,-0.076599948,-0.053494658,-0.066664681,0.838479757,0.266151935
0.855577946,0.007982646,-1.198976517,-0.660927653,1.78890419,-0.201593757,1.533045173,0.915359497,-0.908604503,-0.076669961,-0.04013069,-0.07217434,0.827214956,0.235846385
0.857229888,0.007622944,-1.207463622,-0.651728809,1.794788718,-0.200867683,1.54478395,0.91979301,-0.91012454,-0.076705456,-0.018612448,-0.077918187,0.806976855,0.190196767
0.859674633,0.007587445,-1.218169332,-0.656451464,1.80081892,-0.200634718,1.556064963,0.924889147,-0.912191272,-0.076723449,0.005623883,-0.083225377,0.765025079,0.164561033
0.863843918,0.00774158,-1.229447246,-0.670861065,1.806635261,-0.200895682,1.56596148,0.929987788,-0.914449275,-0.076732568,0.03518315,-0.088899925,0.732814789,0.146703094
0.870941758,0.007999786,-1.242867589,-0.705315173,1.813289881,-0.201997936,1.576161742,0.935532689,-0.917139828,-0.076738566,0.042431396,-0.090180457,0.699999988,0.140000001
0.892765462,0.008310145,-1.24178648,-0.737385511,1.814818978,-0.203199372,1.57863152,0.933194935,-0.90018326,-0.076740235,0.037281066,-0.089389905,0.660036683,0.14178443
0.922648907,0.008207184,-1.222581387,-0.780469894,1.812535167,-0.204803571,1.577746868,0.91887635,-0.833589733,-0.076741077,0.024184505,-0.086086489,0.582282364,0.144355953
0.965258718,0.00818311,-1.185498595,-0.832682073,1.806873679,-0.20683673,1.574272513,0.892496169,-0.716150939,-0.076741636,-0.002634007,-0.083263062,0.528702676,0.147360042
1.016173244,0.008622621,-1.136376023,-0.888912797,1.799174905,-0.209240049,1.566455126,0.839335024,-0.484519064,-0.076741792,-0.020145129,-0.080575153,0.481831789,0.150219947
1.062988281,0.009900823,-1.061984539,-0.96609664,1.787729979,-0.213135704,1.561160922,0.803924501,-0.333233744,-0.076741867,-0.033241693,-0.078564867,0.448615551,0.15235886
1.105478287,0.014385896,-1.024560809,-1.00124228,1.78301692,-0.215536445,1.557197571,0.777069509,-0.221694082,-0.076741904,-0.038392011,-0.077774316,0.43599999,0.153200001
1.146484971,0.017979415,-1.003195763,-1.019960284,1.78153336,-0.217522338,1.555051804,0.761893809,-0.144746587,-0.076741934,-0.038392011,-0.077774316,0.43599999,0.153200001
1.161606431,0.022352673,-0.98773098,-1.032375097,1.781956315,-0.219685987,1.553588152,0.750926018,-0.123318084,-0.076741941,-0.038392011,-0.077774316,0.43599999,0.153200001
1.174414039,0.024373595,-0.982847512,-1.035858631,1.78278625,-0.220669612,1.553150773,0.747431219,-0.112455025,-0.076741941,-0.038392011,-0.077774316,0.43599999,0.153200001
1.179127455,0.025797876,-0.980083466,-1.037629008,1.78364718,-0.221381158,1.552910447,0.745412827,-0.106948063,-0.076741941,-0.038392011,-0.077774316,0.43599999,0.153200001
1.182083249,0.026772581,-0.978500545,-1.038525701,1.784414768,-0.221892029,1.552774668,0.743805349,-0.103329681,-0.076741941,-0.038392011,-0.077774316,0.43599999,0.153200001
