LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.395655155,0.178742304,-1.197553873,-0.462608516,1.474184155,-0.234085843,1.21701026,0.427583039,0.09331888,0.094133548,-0.170000032,0,0.300000012,0.300000012
1.411033869,0.195030928,-1.202551842,-0.445307642,1.460579991,-0.231157973,1.207810402,0.421536177,0.090839222,0.093398936,-0.165602461,-0.000763361,0.285066694,0.314874113
1.414477944,0.200334817,-1.197255254,-0.53883487,1.484629273,-0.226912171,1.223532319,0.47037828,-0.023050219,0.077794075,-0.153274834,-0.002989111,0.24773334,0.352059275
1.395246387,0.190159664,-1.189056158,-0.68656683,1.527991176,-0.221907914,1.251044035,0.543764472,-0.187694266,0.049659304,-0.134314686,-0.006580743,0.199200019,0.400400013
1.34983325,0.164388493,-1.182017565,-0.882753909,1.585739732,-0.214789674,1.28815937,0.636921704,-0.393553734,0.014165828,-0.110019512,-0.011441762,0.150666624,0.44874078
1.26609695,0.125066891,-1.178657174,-1.096206069,1.646610022,-0.206089437,1.328917503,0.731469333,-0.598200679,-0.021223493,-0.081686974,-0.017475655,0.113333322,0.485925972
1.191256404,0.095109187,-1.176154375,-1.234772205,1.694714308,-0.197760299,1.366921186,0.805086792,-0.741893589,-0.047884103,-0.050614551,-0.024585929,0.098399997,0.500800014
1.127053976,0.07266441,-1.175851941,-1.316508412,1.726051688,-0.191638976,1.396720648,0.849389017,-0.827085316,-0.062112637,-0.001247633,-0.033044633,0.134436265,0.493277848
1.069450855,0.054952782,-1.177109838,-1.314080954,1.74595058,-0.18813388,1.420893669,0.875326395,-0.871587932,-0.0693257,0.065746799,-0.042900719,0.228482142,0.472924888
1.018476605,0.041499153,-1.178767323,-1.246528983,1.758678555,-0.186917752,1.441387415,0.89055568,-0.893260181,-0.072982326,0.124738783,-0.05372303,0.432174921,0.42560038
0.975282788,0.031698406,-1.180141449,-1.134932399,1.766905665,-0.188294351,1.467668295,0.902341366,-0.905730307,-0.07538493,0.13443616,-0.070824988,0.578956783,0.38769573
0.923315883,0.021500837,-1.182699203,-0.93336463,1.774532318,-0.190557182,1.483235955,0.906301677,-0.908046544,-0.076054014,0.038814522,-0.082176529,0.709917784,0.348580748
0.897422194,0.016809292,-1.185236216,-0.809146523,1.778179646,-0.193251893,1.497819901,0.908935845,-0.908486605,-0.076393202,-0.076590911,-0.092985243,0.80396384,0.311575413
0.879341722,0.013368187,-1.188726783,-0.719653666,1.781682372,-0.195821926,1.511819124,0.911377072,-0.908358514,-0.076565154,-0.132645026,-0.102819964,0.839999974,0.280000001
0.868652761,0.010972541,-1.194190979,-0.674026191,1.785820127,-0.19781591,1.525636911,0.914593279,-0.908586323,-0.076652326,-0.106786408,-0.112591013,0.831805348,0.249219671
0.863055706,0.009489072,-1.202935457,-0.657623291,1.79104352,-0.199165151,1.53932023,0.918993771,-0.909712493,-0.076696515,-0.043477185,-0.122721657,0.810391366,0.215448052
0.861461163,0.008693711,-1.214377046,-0.659859955,1.797124624,-0.200022697,1.552303195,0.924232185,-0.911659896,-0.076718912,0.074893072,-0.136050522,0.763887465,0.169228882
0.863758802,0.008369971,-1.2267555,-0.673994958,1.803416014,-0.200622275,1.563678145,0.929538488,-0.915149629,-0.076733634,0.13820228,-0.141997516,0.730231106,0.14807269
0.870431781,0.00834891,-1.237681389,-0.695246458,1.811450601,-0.201753587,1.575273871,0.93552506,-0.916951895,-0.076737732,0.164060935,-0.144238025,0.699999988,0.140000001
0.882400393,0.008636474,-1.244681239,-0.733509481,1.814185739,-0.202795282,1.578526616,0.935603023,-0.91125536,-0.07673981,0.158507779,-0.142720804,0.671985745,0.140407994
0.913090885,0.008994937,-1.238323689,-0.762493312,1.814381361,-0.203936592,1.579087615,0.929768682,-0.885205865,-0.076740868,0.143405899,-0.138627142,0.642275989,0.141508803
0.941960573,0.009553629,-1.222289443,-0.79397136,1.81228745,-0.205129847,1.577705145,0.917513192,-0.834889889,-0.076741405,0.121091716,-0.132644102,0.611569941,0.143117651
0.976077616,0.010359076,-1.197725654,-0.827313244,1.808385491,-0.206405014,1.574958563,0.899526775,-0.761971831,-0.076741673,0.093901634,-0.125458732,0.580567062,0.14504984
1.013495684,0.01140936,-1.166581631,-0.861724675,1.803260565,-0.207804412,1.571335077,0.87713182,-0.670943618,-0.076741815,0.049085129,-0.113929212,0.535036206,0.148150161
1.066592336,0.013579154,-1.114039302,-0.913598061,1.794659257,-0.210205451,1.565203905,0.838954508,-0.513616502,-0.076741904,0.019927125,-0.106743857,0.506351233,0.15008235
1.099140167,0.015644267,-1.078034878,-0.94682765,1.78925097,-0.212032899,1.561249375,0.813171685,-0.40472275,-0.076741919,-0.005929308,-0.100760832,0.479817331,0.151691198
1.127505302,0.017866053,-1.044044018,-0.977850437,1.784842014,-0.214050516,1.557870507,0.789421141,-0.300904185,-0.076741941,-0.033412784,-0.095543548,0.44557935,0.153094143
1.148831964,0.019913713,-1.014858603,-1.00575304,1.782044411,-0.216261148,1.55470252,0.76181215,-0.169781834,-0.076741949,-0.041902259,-0.095149942,0.427437127,0.153199986
1.16209054,0.021419298,-0.992087662,-1.029866934,1.781129599,-0.22020781,1.55370152,0.749077439,-0.10036952,-0.076741949,-0.047637478,-0.095149942,0.413141698,0.153200001
1.172103882,0.021853963,-0.967672884,-1.058917165,1.782082558,-0.223441705,1.553125739,0.739558876,-0.041674942,-0.076741949,-0.051853679,-0.095149934,0.402243048,0.153200001
1.174705625,0.020971432,-0.956525505,-1.073834896,1.78389883,-0.227072582,1.552774906,0.732487381,0.007908788,-0.076741949,-0.055841066,-0.095149942,0.391274303,0.153200001
1.175282121,0.019452062,-0.948761046,-1.085440397,1.786303639,-0.230908215,1.552545905,0.727317095,0.049154289,-0.076741949,-0.057282168,-0.095149942,0.386888206,0.153200001
1.174649239,0.017564617,-0.943632305,-1.094131827,1.789033175,-0.234697342,1.552384496,0.723624706,0.096091151,-0.076741949,-0.058022201,-0.095149942,0.384315372,0.153200001
1.173442841,0.015617631,-0.940489531,-1.100297093,1.791821718,-0.238153636,1.552261353,0.72105521,0.11758212,-0.076741949,-0.05829484,-0.095149934,0.38310343,0.153200001
1.172175407,0.013943018,-0.938768685,-1.104298115,1.794397712,-0.240969971,1.552117467,0.718618572,0.131236628,-0.076741949,-0.058333788,-0.095149942,0.382800013,0.153200001
1.171248436,0.012837934,-0.937951028,-1.10718751,1.797372699,-0.243537411,1.552039385,0.717558444,0.13836199,-0.076741949,-0.058333788,-0.095149942,0.382800013,0.153200001
1.170464993,0.011993858,-0.937498689,-1.10800302,1.798789382,-0.24447839,1.551972508,0.71679008,0.141974136,-0.076741949,-0.058333788,-0.095149942,0.382800013,0.153200001
1.170176387,0.011712499,-0.937403321,-1.108422041,1.799861789,-0.245082498,1.551892042,0.716013253,0.144347534,-0.076741949,-0.058333788,-0.095149942,0.382800013,0.153200001
1.169931412,0.01149225,-0.937362373,-1.108702779,1.800992131,-0.245624691,1.551850677,0.715666652,0.145008475,-0.076741949,-0.058333788,-0.095149942,0.382800013,0.153200001
1.169841051,0.011417043,-0.937358975,-1.108783126,1.801513553,-0.245843664,1.551817656,0.71541357,0.145343542,-0.076741949,-0.058333788,-0.095149942,0.382800013,0.153200001
1.169784427,0.011372164,-0.937361062,-1.108824968,1.801901937,-0.245994389,1.551791906,0.715228379,0.1455134,-0.076741949,-0.058333788,-0.095149942,0.382800013,0.153200001
