LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.423111439,0.212820575,-1.205733299,-0.424549818,1.387704492,-0.18042928,1.218644977,0.443944782,0.035371922,0.180112794,-0.170000032,0,0.300000012,0.300000012
1.428625941,0.215631381,-1.204183817,-0.424408436,1.401848674,-0.19163622,1.212234259,0.43768087,0.066800833,0.140613064,-0.171903431,0,0.300773293,0.299945951
1.431398749,0.21880199,-1.198385954,-0.440305173,1.411713123,-0.201515347,1.20342195,0.449981302,0.078240618,0.114691123,-0.196205065,0,0.311012387,0.29925558
1.430566192,0.222316325,-1.185764074,-0.513174653,1.416234016,-0.213963583,1.17955029,0.51937443,0.069035664,0.107559711,-0.222587138,0,0.322737873,0.298506141
1.425355554,0.225519419,-1.155058384,-0.593878925,1.412167788,-0.220404074,1.15676868,0.598517656,0.050421473,0.104110382,-0.252156347,0,0.344275057,0.297249883
1.405038357,0.226912186,-1.130370975,-0.695624769,1.399248719,-0.224146575,1.131332994,0.698913991,0.02526154,0.102642231,-0.280663162,0,0.359282583,0.296500444
1.386056662,0.225766778,-1.103957176,-0.809695005,1.382395506,-0.225915968,1.104451776,0.811980963,-0.003833865,0.102323204,-0.312135756,0,0.373222917,0.295962214
1.365660429,0.223688692,-1.07852304,-0.926760972,1.363377452,-0.225975633,1.078759432,0.92828536,-0.0494458,0.103207208,-0.319395244,0,0.384736001,0.295756012
1.340366483,0.216011047,-1.048642635,-1.104744911,1.325920939,-0.220646635,1.048685908,1.105425596,-0.078972824,0.105815932,-0.31289202,0,0.394224197,0.296471864
1.314557672,0.213923052,-1.031922579,-1.230854154,1.303142428,-0.219363406,1.031878471,1.231254697,-0.108807936,0.113077179,-0.294847846,0,0.403053373,0.298586547
1.284118295,0.21455884,-1.016223907,-1.343260527,1.284118176,-0.22043255,1.01609695,1.343513966,-0.139610112,0.126333192,-0.267460942,0,0.411308527,0.302050769
1.2675488,0.216299132,-1.001502275,-1.415749311,1.267736435,-0.222412184,1.001305699,1.415910244,-0.171617493,0.145986989,-0.232929707,0,0.422801256,0.309669763
1.253125548,0.218181953,-0.987975478,-1.462142944,1.253413439,-0.224416599,0.987730563,1.462243199,-0.204854876,0.171965376,-0.193452299,0,0.429993927,0.316292405
