LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.423111439,0.212820575,-1.205733299,-0.424549818,1.395383716,-0.186372712,1.2152915,0.439584106,0.053984806,0.157040298,-0.170000032,0,0.300000012,0.300000012
1.432671547,0.217498794,-1.20486474,-0.424167424,1.406844735,-0.19555445,1.21055758,0.439344466,0.071528383,0.136205643,-0.169977322,-0.007573867,0.299534202,0.299636483
1.443444371,0.22292161,-1.206559062,-0.431183487,1.411244988,-0.199724182,1.207627773,0.459507585,0.062402818,0.151373416,-0.169818327,-0.027871832,0.298256963,0.298627853
1.460417867,0.23144123,-1.210390449,-0.445648193,1.406885266,-0.197350159,1.206145167,0.504316747,0.028478824,0.201178208,-0.169386774,-0.057258431,0.296348631,0.297096968
1.483692884,0.243202046,-1.216047049,-0.46675086,1.393200278,-0.187876269,1.205947995,0.573707044,-0.027011527,0.281691998,-0.16793026,-0.110426985,0.292697221,0.294090241
1.51225841,0.25780344,-1.22300005,-0.492836922,1.367086649,-0.169501036,1.207877159,0.719409943,-0.142271101,0.448417276,-0.166221052,-0.146630079,0.289999992,0.29179135
1.544388413,0.274470538,-1.23062861,-0.52187866,1.3290447,-0.129406437,1.213579059,0.836927235,-0.234504327,0.581487775,-0.163762331,-0.179197699,0.287302762,0.289400339
1.577849269,0.301066309,-1.241906524,-0.566230893,1.24612534,-0.093334027,1.220514297,0.971229672,-0.334154457,0.72475493,-0.160417736,-0.204494432,0.284785867,0.287039995
1.625617146,0.318767607,-1.247985959,-0.593436599,1.184274197,-0.060630761,1.22940588,1.10165453,-0.436906397,0.87177974,-0.156051055,-0.218884766,0.282629579,0.284833282
1.65370822,0.337180525,-1.251943827,-0.615082145,1.125503063,-0.030556478,1.239564538,1.223202348,-0.538275838,1.016062021,-0.149144471,-0.220644847,0.281014264,0.282903016
1.669682622,0.351180673,-1.254695177,-0.629981399,1.072629809,-0.003618704,1.25048995,1.329868793,-0.633514225,1.151070833,-0.132377952,-0.219108805,0.280120254,0.28137219
1.67061162,0.359505653,-1.255488396,-0.636378229,1.028840423,0.028120246,1.267373443,1.434666514,-0.756454885,1.32187283,-0.092068478,-0.212842911,0.293778092,0.280000001
1.645045042,0.358979523,-1.253712416,-0.628771842,0.986572623,0.04129383,1.278631568,1.474247813,-0.827042043,1.439944983,-0.041999247,-0.208843067,0.315437496,0.29896158
1.614083648,0.35014981,-1.251318455,-0.613693655,0.973936856,0.048764721,1.296443224,1.471751928,-0.919962823,1.495504856,-0.007882196,-0.204752013,0.343900859,0.35042873
1.575600028,0.326705396,-1.246713638,-0.580368996,0.978942931,0.046945456,1.309208035,1.420703173,-0.974119842,1.538265467,0.023545969,-0.200934678,0.376446724,0.426275194
1.510423779,0.306294203,-1.243288159,-0.553933918,0.991890192,0.041003097,1.322493911,1.338877082,-1.022167325,1.571004748,0.04947447,-0.197756082,0.410353273,0.518374443
1.466215849,0.28388384,-1.239818215,-0.526590884,1.010386467,0.032091584,1.335903168,1.235320687,-1.063923359,1.595621228,0.067092739,-0.195581287,0.442899108,0.618600011
1.427312613,0.262960136,-1.235484958,-0.500974,1.032156706,0.021335211,1.348910332,1.119718432,-1.099021435,1.613567352,0.073590063,-0.194775239,0.471362472,0.718825579
1.392269611,0.243299395,-1.232188225,-0.478425443,1.055062056,0.009824842,1.360907555,1.00206852,-1.12692821,1.626069546,0.073590063,-0.194775239,0.500449598,0.851387501
1.36404407,0.226763532,-1.230021596,-0.461541593,1.077067852,-0.001365497,1.371238828,0.892520905,-1.153691173,1.637031078,0.073590063,-0.194775239,0.506799996,0.91606009
1.345090866,0.215050086,-1.229105115,-0.452344418,1.096182585,-0.015193043,1.382133722,0.76576823,-1.161929727,1.640669346,0.073590063,-0.194775239,0.506799996,0.952290297
1.333485365,0.207413137,-1.229008436,-0.447489917,1.115321994,-0.021008203,1.385532618,0.71937263,-1.166106105,1.642553687,0.073590063,-0.194775239,0.506799996,0.957199991
1.323830605,0.200577483,-1.229197502,-0.446638107,1.122153997,-0.024510918,1.38686955,0.695841253,-1.168223381,1.643791795,0.073590063,-0.194775239,0.506799996,0.957199991
1.320305586,0.19789435,-1.22940588,-0.446492225,1.127764225,-0.027349344,1.387366414,0.680366457,-1.169614553,1.644136548,0.073590063,-0.194775239,0.506799996,0.957199991
1.318089962,0.19547683,-1.229658842,-0.446626008,1.129778385,-0.028350128,1.387353897,0.676051557,-1.170001984,1.644311428,0.073590063,-0.194775239,0.506799996,0.957199991
1.316193342,0.194525599,-1.229777694,-0.446784973,1.131023645,-0.028959837,1.387273669,0.673861563,-1.170198321,1.644400001,0.073590063,-0.194775239,0.506799996,0.957199991
1.315481424,0.193897486,-1.229863048,-0.446925491,1.131795526,-0.029332398,1.387187123,0.672749758,-1.170297861,1.644444942,0.073590063,-0.194775239,0.506799996,0.957199991
1.315025568,0.19348295,-1.229922533,-0.447036177,1.132274866,-0.029560674,1.387114763,0.672185242,-1.170348287,1.644467592,0.073590063,-0.194775239,0.506799996,0.957199991
1.314732552,0.193209529,-1.229963303,-0.447118193,1.132573009,-0.029700892,1.387060285,0.671898484,-1.170373917,1.644479156,0.073590063,-0.194775239,0.506799996,0.957199991
