LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.395907283,0.201833457,-1.218818665,-0.459878832,1.395904303,-0.201835454,1.215149045,0.450504303,0.049086981,0.129409984,-0.170000032,0,0.300000012,0.300000012
1.413712978,0.207007974,-1.209772587,-0.439740658,1.413712621,-0.207023948,1.209772348,0.441443235,0.079669453,0.114912413,-0.177259535,0,0.302127451,0.29979378
1.420332789,0.211601019,-1.201819062,-0.449763626,1.420344472,-0.214435682,1.195662975,0.465336859,0.080960587,0.107590348,-0.196205065,0,0.308127522,0.29925558
1.42151475,0.218873382,-1.178673863,-0.518109977,1.421592712,-0.219774842,1.178632379,0.518187284,0.070786051,0.103960015,-0.222587138,0,0.317427099,0.298506141
1.415879369,0.222788259,-1.156205058,-0.597193897,1.416038513,-0.22446917,1.156122327,0.597316802,0.051846933,0.102285542,-0.252156347,0,0.329452872,0.297666132
1.401604652,0.224052444,-1.131061435,-0.697793543,1.401840687,-0.226863399,1.13092792,0.697940648,0.026610296,0.101717137,-0.280663162,0,0.343631625,0.296856284
1.383792877,0.223765388,-1.10437429,-0.811100245,1.384111524,-0.227721453,1.10419488,0.81125319,-0.002575372,0.101854235,-0.303858161,0,0.35939014,0.296197414
1.364148378,0.222327083,-1.078795314,-0.927642465,1.364537358,-0.226537883,1.067020059,0.98446548,-0.048761461,0.103037938,-0.319395244,0,0.384736001,0.295756012
1.339426756,0.217713386,-1.057722807,-1.04421401,1.326478839,-0.221160665,1.048582315,1.105219364,-0.079119459,0.105880976,-0.31289202,0,0.402701557,0.298007697
1.314005733,0.214118823,-1.032016635,-1.23103106,1.303470731,-0.219643801,1.031810284,1.231150389,-0.110094897,0.113803931,-0.294847846,0,0.422053665,0.304547012
1.293034792,0.213757455,-1.016283989,-1.343362451,1.284312725,-0.22058776,1.016052723,1.343453884,-0.142290875,0.128307849,-0.267460942,0,0.442642063,0.315050334
1.267400384,0.216196537,-1.001540422,-1.4158144,1.26785183,-0.222498968,1.001277447,1.415873051,-0.175900131,0.149829715,-0.232929707,0,0.464316458,0.329194099
1.25303781,0.218123987,-0.987999499,-1.462185144,1.253481746,-0.22446543,0.987712681,1.462218285,-0.2109074,0.178267151,-0.193452299,0,0.486926645,0.346654743
1.24078095,0.219851106,-0.976040244,-1.49186039,1.241205573,-0.226186872,0.975740075,1.491880417,-0.247191951,0.213244349,-0.151227042,0,0.510322332,0.367108613
1.230851769,0.221341476,-0.966171682,-1.510852814,1.231251001,-0.227628678,0.965866685,1.510864139,-0.284579545,0.254246771,-0.108452283,0,0.534353375,0.390232086
1.223558664,0.222664312,-0.95897758,-1.523006916,1.223933339,-0.22885938,0.95867312,1.523016214,-0.322868913,0.300689787,-0.067326203,0,0.558869421,0.429215103
1.219127059,0.223904327,-0.954898119,-1.529313087,1.219484091,-0.229961798,0.954596877,1.52935636,-0.361844957,0.35195291,-0.03004702,0,0.596224189,0.457597077
1.216750979,0.224966884,-0.952768624,-1.517115355,1.217094541,-0.230836213,0.952473462,1.517207026,-0.401285768,0.407397836,0.001186794,0,0.608755589,0.472384661
1.215624332,0.225817338,-0.951307297,-1.478312373,1.215955496,-0.231440589,0.9510234,1.478434086,-0.460824341,0.496988088,0.031894065,0,0.646325886,0.518648565
1.21536541,0.226591021,-0.949939489,-1.412965178,1.215683699,-0.231905967,0.949674428,1.371648908,-0.500436485,0.560044765,0.038397245,0,0.671165109,0.550670862
1.216244221,0.2275199,-0.949462116,-1.325151205,1.216548324,-0.232462615,0.951950014,1.274874806,-0.539717913,0.625000954,0.038397245,0,0.695663095,0.583259583
1.222115517,0.228845388,-0.958353162,-1.221204996,1.222401738,-0.233350843,0.968424737,1.165639997,-0.578439772,0.691200674,0.038397245,0,0.719669461,0.616090953
1.235374928,0.231162041,-0.983225286,-1.108763456,1.244931698,-0.23658292,1.002177238,1.052114606,-0.616373122,0.75798738,0.038397245,0,0.743034005,0.648841381
1.267404556,0.236856788,-1.053616762,-0.943318605,1.267610073,-0.239950404,1.053518057,0.943381429,-0.653288841,0.82470417,0.038397245,0,0.765606284,0.681187212
1.293326735,0.242046461,-1.121136546,-0.847786427,1.293482542,-0.244451076,1.121069312,0.847823262,-0.688957751,0.89069432,0.038397245,0,0.787236333,0.712805152
1.321154237,0.248559788,-1.201899052,-0.775023043,1.32126987,-0.250154972,1.201852322,0.775044441,-0.72315079,0.955300868,0.038397245,0,0.807773829,0.743371427
1.348199725,0.256747097,-1.292958617,-0.733394086,1.348280072,-0.257439911,1.292927027,0.733405828,-0.755638719,1.017866731,0.038397245,0,0.836202741,0.786540866
1.371037722,0.270863235,-1.391360521,-0.726455927,1.371083379,-0.270696938,1.391342521,0.726461887,-0.800672352,1.106452346,0.038397245,0.049825929,0.853351235,0.813062072
1.386582494,0.29343769,-1.49391067,-0.751655877,1.38660574,-0.292611122,1.545649052,0.774660468,-0.827895045,1.161042452,0.038397245,0.093007222,0.868881464,0.837399185
1.394301891,0.323345184,-1.597164989,-0.803491533,1.394313693,-0.322133929,1.648022056,0.837244868,-0.852610588,1.211292624,0.038397245,0.124638893,0.882642806,0.859228373
1.396582603,0.358780563,-1.697821498,-0.915647984,1.396307349,-0.376474172,1.746136069,0.91564858,-0.874589801,1.256545663,0.038397245,0.149044991,0.894485176,0.878225923
1.395334721,0.41668126,-1.836663961,-1.001894832,1.393845081,-0.415510029,1.836663127,1.001895189,-0.893603563,1.296144724,0.038397245,0.158824965,0.90425837,0.894068658
1.389881492,0.454170436,-1.916267514,-1.087737083,1.389882565,-0.453263789,1.916267037,1.087737203,-0.909422696,1.329432726,0.038397245,0.134516388,0.911812067,0.906432629
1.385516644,0.487147748,-1.977251291,-1.164790511,1.38551724,-0.486543924,1.977251172,1.16479063,-0.921817899,1.355752826,0.038397245,0.079739913,0.916996062,0.914994478
1.381756663,0.512426436,-2.016281605,-1.224601269,1.381757021,-0.512089968,2.016281605,1.224601388,-0.930560172,1.374447942,0.038397245,0,0.920000017,0.920000017
