LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.44586575,0.223195016,-1.204983592,-0.419000089,1.44165647,-0.221878916,1.204851627,0.419527501,0.098527066,0.100993484,-0.170000032,0,0.300000012,0.300000012
1.444173336,0.223862424,-1.202998996,-0.420730442,1.441710114,-0.222983643,1.202612877,0.426120162,0.101180449,0.100270689,-0.171125621,0.001115581,0.296678513,0.294074833
1.444955826,0.221542194,-1.19799459,-0.481994539,1.442700267,-0.222110868,1.200670242,0.457692504,0.10742759,0.099744245,-0.17418088,0.004143589,0.287844837,0.277828425
1.446306229,0.207089722,-1.191657305,-0.578315198,1.442648053,-0.218368873,1.197684526,0.519020736,0.118690282,0.098989837,-0.178683311,0.008605915,0.275194973,0.253554374
1.44392693,0.188077301,-1.18381989,-0.71367681,1.44049716,-0.210698813,1.193880558,0.608894944,0.143026531,0.097402349,-0.18709527,0.016942894,0.252775013,0.207108676
1.437011719,0.162908092,-1.174991965,-0.87562108,1.434961319,-0.189249158,1.188109636,0.786600113,0.161794156,0.096108437,-0.193105221,0.022899304,0.238005057,0.172800049
1.425190449,0.133507371,-1.166025639,-1.135473847,1.412386656,-0.168294817,1.184750319,0.92363739,0.180240691,0.094713859,-0.198873997,0.028616659,0.225355208,0.138491422
1.398844957,0.078857377,-1.156908393,-1.282243848,1.384344339,-0.142548218,1.18229115,1.069715023,0.196176976,0.093307227,-0.203919142,0.033616856,0.216521457,0.106476426
1.364553213,0.053422023,-1.155134797,-1.376697659,1.358700275,-0.121208638,1.180938721,1.204864502,0.207343668,0.091982663,-0.207758307,0.037421785,0.213200003,0.079048596
1.346153498,0.035227023,-1.160627365,-1.437148809,1.336257339,-0.102512501,1.180343628,1.320985198,0.206065223,0.090837091,-0.209909022,0.039553344,0.222743392,0.058501616
1.335078597,0.025013138,-1.17892313,-1.462037325,1.318505764,-0.086212546,1.180593848,1.401490688,0.180444166,0.089968883,-0.203394189,0.039842196,0.267606676,0.045600101
1.329212904,0.019691247,-1.212362528,-1.458051085,1.306867242,-0.072482638,1.188142896,1.46764183,0.091313928,0.095921285,-0.184731841,0.039842203,0.312990755,0.061069556
1.326770663,0.017559873,-1.259992361,-1.417933941,1.306151509,-0.055254884,1.212848306,1.475485325,0.002696618,0.122108631,-0.156848013,0.0398422,0.366842926,0.103422254
1.326392055,0.017801166,-1.352230906,-1.377587318,1.317319036,-0.04535779,1.258345485,1.461210608,-0.102570012,0.172295958,-0.122377485,0.0398422,0.456163287,0.204049185
1.326924324,0.018962616,-1.422210574,-1.332010388,1.336139798,-0.036616251,1.323009968,1.430983067,-0.217515782,0.244946808,-0.083954923,0.0398422,0.486538112,0.286993921
1.327442408,0.02035488,-1.493596077,-1.285695434,1.360486269,-0.028886782,1.402830362,1.389889956,-0.33466652,0.335685611,-0.044215024,0.0398422,0.545674562,0.330942899
1.327626348,0.021674668,-1.561530471,-1.223863482,1.397965431,-0.020079136,1.538742542,1.319629669,-0.497580469,0.492777586,0.012101414,0.0398422,0.6240592,0.463570803
1.326856971,0.022990167,-1.646165609,-1.193471313,1.421797752,-0.016158644,1.630476594,1.273255825,-0.586160839,0.601803601,0.043607946,0.039842196,0.664545417,0.54503572
1.325660706,0.023106497,-1.684631824,-1.175777078,1.444274187,-0.013041445,1.714821935,1.232012153,-0.650699914,0.706108749,0.067210399,0.039842196,0.692990899,0.613840044
1.325551987,0.022513127,-1.711225986,-1.169821024,1.463324189,-0.010893854,1.811909676,1.189226389,-0.713645518,0.838038027,0.082030468,0.0398422,0.72459203,0.680000007
1.327776194,0.021299681,-1.73042798,-1.172948122,1.477463961,-0.0096284,1.852154732,1.17683208,-0.741918683,0.903347909,0.075136572,0.040228758,0.740172207,0.70313561
1.332583427,0.018638438,-1.750329614,-1.189946055,1.491928101,-0.009419539,1.87996161,1.174574137,-0.762909234,0.954601705,0.056424573,0.041277997,0.751974106,0.721879005
1.339689016,0.016541459,-1.759436131,-1.206680536,1.498936534,-0.009303445,1.899918199,1.179948688,-0.778376698,0.995008945,0.028849073,0.042824231,0.760521948,0.736692667
1.353348851,0.014376782,-1.766054749,-1.225625873,1.50453341,-0.009148804,1.914533615,1.190986156,-0.789508104,1.026623964,-0.004635613,0.044701815,0.766340017,0.752556205
1.363342404,0.012303398,-1.770675898,-1.245025635,1.509006739,-0.008930326,1.925263762,1.205984354,-0.797200143,1.05091548,-0.041074757,0.046745066,0.771095634,0.759568155
1.373049021,0.010476567,-1.773695469,-1.263145208,1.512525201,-0.008673844,1.933029532,1.223369598,-0.802202284,1.069055438,-0.077513911,0.049758166,0.772383094,0.764268517
1.381563306,0.009049186,-1.775462627,-1.278261662,1.515204906,-0.008423335,1.938477755,1.241625428,-0.80518961,1.086943388,-0.125709593,0.051490787,0.77277559,0.767119527
1.387951732,0.008173244,-1.776302099,-1.288657308,1.517143726,-0.008223447,1.942115188,1.259257793,-0.807277262,1.09401691,-0.149222702,0.052809235,0.772800028,0.768583655
1.391935587,0.007825566,-1.776575446,-1.294155359,1.518440366,-0.008059033,1.945108294,1.28126955,-0.807860017,1.098256826,-0.162394941,0.053547844,0.772800028,0.769122958
1.394367933,0.007730142,-1.776610851,-1.297783613,1.519410729,-0.008028711,1.946024895,1.290804386,-0.808155477,1.100544095,-0.164179981,0.053647932,0.772800028,0.769200027
1.396371484,0.007751639,-1.77653265,-1.298799992,1.51960218,-0.008041495,1.946489215,1.295865893,-0.808305264,1.101707339,-0.164179981,0.053647932,0.772800028,0.769200027
1.397090197,0.007792669,-1.776470542,-1.299318194,1.519641161,-0.008074504,1.946797013,1.2992239,-0.808403671,1.10247159,-0.164179981,0.053647932,0.772800028,0.769200027
