LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.434454203,0.216779813,-1.224661589,-0.445804864,1.458891749,-0.233833313,1.207983017,0.42397365,0.093567938,0.095663369,-0.170000032,0,0.300000012,0.300000012
1.427432537,0.218094915,-1.211716533,-0.429350346,1.451378942,-0.22948651,1.203961611,0.418185174,0.096745521,0.096924111,-0.168874934,0.004044045,0.305613101,0.302806556
1.396458745,0.217756182,-1.210581899,-0.423041999,1.44835484,-0.225977927,1.20303607,0.4158324,0.098379016,0.094409063,-0.165621102,0.01527489,0.321635813,0.310817927
1.32578063,0.214015558,-1.217586756,-0.422027171,1.445966959,-0.220935822,1.20279038,0.413276613,0.099245727,0.087841213,-0.160420716,0.03234059,0.3468436,0.323421806
1.221613288,0.20641382,-1.232406497,-0.426989257,1.443745017,-0.214018166,1.202932477,0.410102367,0.099738263,0.07735759,-0.153455973,0.053889215,0.380011708,0.340005845
1.041118145,0.196936354,-1.265695333,-0.455426216,1.441396832,-0.205142409,1.20330441,0.406209707,0.100054227,0.063305125,-0.140099242,0.091660261,0.442010492,0.371005237
0.851606131,0.191532657,-1.306589961,-0.484388083,1.438743472,-0.194374353,1.203814387,0.401650012,0.100292385,0.036542144,-0.12952067,0.118501447,0.489721566,0.394860804
0.67671138,0.188846186,-1.35129416,-0.515094221,1.435784459,-0.18220441,1.204376698,0.393961042,0.100602768,0.015661286,-0.117815427,0.145093769,0.541106582,0.420553267
0.530614376,0.187542483,-1.39955616,-0.547771871,1.432466745,-0.161691606,1.205272913,0.388342738,0.10080722,-0.00702011,-0.105165675,0.170085311,0.59494096,0.447470456
0.429835141,0.186944216,-1.450647831,-0.59978354,1.426727772,-0.147131592,1.205819726,0.382536948,0.101018555,-0.030949432,-0.091753639,0.192124069,0.649999976,0.475000024
0.379296422,0.186665326,-1.530433655,-0.635605097,1.422495961,-0.13233459,1.206326842,0.376630127,0.101238668,-0.055569079,-0.077761434,0.209858119,0.705059052,0.502529502
0.364152431,0.186670005,-1.584105611,-0.671519518,1.417865872,-0.117043652,1.206833124,0.370757937,0.101467088,-0.092567235,-0.056084026,0.225430608,0.784968674,0.542484283
0.380220056,0.18674387,-1.636800051,-0.706761539,1.412896752,-0.093879528,1.207549334,0.362396359,0.101821475,-0.116459467,-0.041438572,0.227433845,0.834669769,0.56733489
0.41042763,0.186853409,-1.687321782,-0.740541577,1.40496099,-0.078775406,1.207991719,0.357341886,0.102062151,-0.139077201,-0.021284059,0.227735549,0.880084455,0.590042233
0.450821668,0.187047869,-1.756389499,-0.786714733,1.399467111,-0.064355277,1.208410859,0.352865636,0.102303274,-0.159857959,0.023822729,0.22775875,0.919988275,0.609994113
0.498220116,0.187116086,-1.796188474,-0.813319325,1.39393425,-0.050955825,1.208803892,0.349089444,0.10254208,-0.178239107,0.064064369,0.228060439,0.953156471,0.626578212
0.549831986,0.187321678,-1.82957232,-0.835634768,1.388485789,-0.038928073,1.209170341,0.346126497,0.102775723,-0.19365795,0.070316076,0.229252085,0.978364229,0.639182091
0.629507601,0.187455311,-1.855323315,-0.852847934,1.38324523,-0.02865845,1.209517121,0.34408766,0.103001349,-0.205551788,0.066578291,0.231668189,0.994387031,0.649285614
0.680515766,0.187583208,-1.872223854,-0.864144981,1.378334284,-0.020562662,1.209854007,0.343083858,0.103216089,-0.213357851,0.059953883,0.235820428,0.999979138,0.649909556
0.730689764,0.187703252,-1.880910397,-0.863553762,1.373188138,-0.015601758,1.210059166,0.34343192,0.103417046,-0.218461588,0.046547804,0.237617686,0.999831259,0.649267912
0.813886285,0.187864393,-1.885549188,-0.822832346,1.36266613,-0.016241157,1.209767818,0.346968979,0.10368634,-0.21951285,0.036592681,0.236811474,0.999583423,0.648192406
0.873507261,0.187956542,-1.885790944,-0.771862566,1.353758097,-0.02163028,1.209259272,0.350842685,0.103840224,-0.219624773,0.026859652,0.230026275,0.999285519,0.646899998
0.932146728,0.18803443,-1.884968877,-0.710376561,1.344096541,-0.029674819,1.20865047,0.355252445,0.10397023,-0.219245419,0.018236825,0.221060798,0.998987556,0.645607591
0.984742701,0.188096285,-1.88373208,-0.648257196,1.334706664,-0.038740721,1.208085537,0.359524548,0.104073457,-0.218674481,0.011612413,0.213534802,0.99873966,0.644532084
1.025666833,0.188140363,-1.88256669,-0.596445322,1.326812625,-0.046921548,1.207712889,0.362936258,0.104147024,-0.21813646,0.007874625,0.205180898,0.998570979,0.64380002
1.050051451,0.188165769,-1.881834149,-0.564830601,1.321590185,-0.052387059,1.207655191,0.364842147,0.104201958,-0.217698127,0.007365778,0.205180898,0.998570979,0.64380002
1.062412977,0.188178644,-1.881462812,-0.548803747,1.317574978,-0.056490541,1.207839847,0.365870863,0.104217254,-0.217576057,0.007365778,0.205180898,0.998570979,0.64380002
1.06867969,0.18818517,-1.881218791,-0.538273215,1.31624496,-0.057813462,1.207970262,0.366076022,0.10422501,-0.217514172,0.007365778,0.205180898,0.998570979,0.64380002
1.072797179,0.188189462,-1.881150842,-0.535340607,1.315474868,-0.058563016,1.20807147,0.366143495,0.104228936,-0.217482805,0.007365778,0.205180898,0.998570979,0.64380002
1.073943853,0.188190654,-1.88111639,-0.533853948,1.31502831,-0.058987651,1.208142877,0.366156667,0.104230925,-0.217466906,0.007365778,0.205180898,0.998570979,0.64380002
