LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.405541658,0.202808872,-1.236743093,-0.43108809,1.414468527,-0.197246879,1.206073403,0.424238473,0.100197323,0.085201025,-0.170000032,-1.16E-10,0.300000012,0.300000012
1.420345426,0.209913895,-1.216183543,-0.430788219,1.425034523,-0.209564909,1.20436573,0.432876527,0.09364675,0.10197404,-0.168516964,0.000687492,0.328092545,0.285807401
1.428924203,0.215003893,-1.209875703,-0.445586205,1.429421544,-0.218198314,1.202386618,0.469342828,0.046618752,0.157994166,-0.161316797,0.003900198,0.372848302,0.263861477
1.437594533,0.22047846,-1.206355691,-0.476478994,1.43082428,-0.23307012,1.198640108,0.585328221,-0.013112277,0.224434614,-0.153746441,0.007126123,0.4326168,0.235607684
1.446369529,0.226067767,-1.204561472,-0.522528768,1.420653224,-0.243352845,1.197635651,0.697619677,-0.092287555,0.309672743,-0.144397318,0.010923197,0.502419114,0.204200014
1.454957366,0.233932093,-1.204240918,-0.613443196,1.406642675,-0.253274202,1.197704434,0.825953245,-0.185664564,0.406693131,-0.133644417,0.015037575,0.577276051,0.172792315
1.466713428,0.238407657,-1.205462337,-0.682674646,1.37981987,-0.262163579,1.201764107,0.962238908,-0.286988944,0.507167459,-0.12186268,0.019215412,0.652208328,0.144538566
1.472527385,0.241771236,-1.208108664,-0.753682733,1.348936796,-0.273120612,1.209790707,1.088332653,-0.389493436,0.602101684,-0.109427042,0.02320287,0.722236931,0.122592583
1.476658344,0.244210213,-1.212200165,-0.821407437,1.325060129,-0.286073565,1.226788163,1.219876051,-0.530052543,0.713653505,-0.090367801,0.028271805,0.807193518,0.108400002
1.479846001,0.246038988,-1.221119523,-0.905111909,1.307999372,-0.30547598,1.2460078,1.257780075,-0.604493201,0.760083795,-0.077937946,0.030672744,0.843179226,0.129344001
