LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.39195168,0.169917777,-1.195963144,-0.462884367,1.392974615,-0.169031203,1.189335346,0.465872765,0.095979832,0.109710149,-0.170000032,0,0.300000012,0.300000012
1.407497883,0.191493779,-1.196899295,-0.462890476,1.412097931,-0.190516129,1.1996696,0.450196356,0.10245534,0.096806183,-0.168104216,0.00261312,0.291843444,0.289943755
1.410129666,0.203334525,-1.177237391,-0.538791299,1.432213306,-0.201605424,1.200398564,0.47355938,0.117858723,0.069037601,-0.158376291,0.014371335,0.257760614,0.245171994
1.402386904,0.213434279,-1.120201826,-0.776655793,1.479087234,-0.215549231,1.196166515,0.563148439,0.160097256,-0.011322895,-0.147511676,0.025605876,0.228629947,0.203021288
1.343073606,0.206750646,-1.076410413,-0.991878271,1.518511415,-0.223268241,1.191619158,0.64958936,0.195024669,-0.08470042,-0.133311629,0.038093057,0.200897574,0.157019258
1.286697268,0.197880268,-1.037085772,-1.190076113,1.560789108,-0.229796618,1.186693549,0.746198714,0.228247568,-0.16542621,-0.115920305,0.050578035,0.180156559,0.092028022
1.245067477,0.193444312,-1.008762002,-1.314969301,1.601991892,-0.234921828,1.182039976,0.841952503,0.252724797,-0.24473004,-0.095481724,0.061806012,0.182943195,0.058863766
1.227370024,0.191769972,-1.014773846,-1.397641301,1.635739207,-0.238022283,1.178892016,0.924307048,0.255175114,-0.340398848,-0.057096116,0.073963635,0.257850409,0.039821073
1.236548901,0.191456079,-1.080498934,-1.42329061,1.660738707,-0.239376351,1.176992059,1.001146317,0.194746494,-0.374148309,-0.014354823,0.080298722,0.375366688,0.037199996
1.266037941,0.194744155,-1.265734196,-1.376423955,1.679530382,-0.233626127,1.189458966,1.013181567,0.122332111,-0.373265415,0.03775936,0.085745007,0.50178957,0.0372
1.323651314,0.198918879,-1.399917126,-1.321881294,1.684662104,-0.222286627,1.219689012,0.998812139,0.043699306,-0.340191483,0.090248369,0.090112582,0.6034168,0.0372
1.353413463,0.203242332,-1.496958733,-1.273155332,1.686078429,-0.207011223,1.264024138,0.965840518,-0.021973114,-0.286201805,0.134114116,0.093211539,0.674382567,0.037199996
1.373873591,0.208069861,-1.557768941,-1.234236956,1.684847474,-0.191432089,1.314372063,0.923742473,-0.073104352,-0.227049962,0.164060935,0.095065989,0.705921054,0.0372
1.388536215,0.213588327,-1.597310662,-1.202225327,1.682254076,-0.179240629,1.360144615,0.883077264,-0.13292633,-0.166293591,0.151509061,0.093873337,0.730001569,0.0372
1.399057269,0.220304325,-1.623737693,-1.175537348,1.679717064,-0.17193681,1.408137083,0.83713007,-0.164698854,-0.148917943,0.118751667,0.090760812,0.747610211,0.037199996
1.406693339,0.227118358,-1.64138937,-1.153464675,1.677661777,-0.166567281,1.429925799,0.814375937,-0.191060096,-0.140651882,0.07313627,0.086426541,0.759733081,0.0372
1.414024711,0.236735091,-1.657055378,-1.128111601,1.677690268,-0.165208071,1.445780039,0.796450973,-0.212352812,-0.137160689,0.022010271,0.081568688,0.767356277,0.037200004
1.416849494,0.242145583,-1.662671328,-1.116079092,1.678691149,-0.164954603,1.456964016,0.78255862,-0.228680447,-0.136139363,-0.027278893,0.076885343,0.771466136,0.037199996
1.418516755,0.246251345,-1.665800214,-1.107814431,1.680388689,-0.165432319,1.464472651,0.772117019,-0.240025103,-0.136311799,-0.067383707,0.073074676,0.773048401,0.037199996
1.419428587,0.24870199,-1.66740191,-1.103123665,1.682432175,-0.166340947,1.469160438,0.764668584,-0.24649705,-0.136923537,-0.090956673,0.070834838,0.773199975,0.0372
1.419921756,0.25004223,-1.66820693,-1.100746512,1.684422731,-0.167413667,1.471807122,0.759829044,-0.249777973,-0.137484521,-0.094247781,0.070522122,0.773199975,0.0372
1.420177937,0.250777453,-1.668614626,-1.099541426,1.686075687,-0.168870285,1.473591328,0.756054342,-0.251933724,-0.137879103,-0.094247781,0.070522122,0.773199975,0.0372
1.420307755,0.251260519,-1.668882608,-1.098749757,1.688026667,-0.169698805,1.474074125,0.754758835,-0.252534062,-0.137988985,-0.094247781,0.070522122,0.773199975,0.0372
