LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.415816069,0.202461168,-1.200107574,-0.440227091,1.432439327,-0.212356344,1.206204772,0.429839015,0.101008907,0.099775001,-0.170000032,0,0.300000012,0.300000012
1.422854662,0.209746838,-1.200511217,-0.434579313,1.435060382,-0.216016024,1.204852462,0.429858625,0.100505054,0.101696685,-0.167530745,0.001607857,0.297361642,0.295626819
1.41744709,0.212177873,-1.194910526,-0.441428959,1.439416528,-0.219384491,1.204434037,0.445908099,0.100047074,0.115311809,-0.155541778,0.00939373,0.28448981,0.274717569
1.400059462,0.211461142,-1.182840705,-0.462505311,1.445481658,-0.222514644,1.20493567,0.50578469,0.099659301,0.133008063,-0.142935485,0.017555352,0.270880014,0.253125012
1.343100786,0.201411679,-1.155115604,-0.522777975,1.456671834,-0.226180255,1.207456112,0.568364203,0.09902481,0.157144845,-0.127366051,0.027604457,0.253978759,0.226940602
1.286197543,0.188831151,-1.13102746,-0.580831766,1.464661717,-0.227472067,1.210272908,0.646081626,0.098006412,0.186676428,-0.109457329,0.039121609,0.234413058,0.197476327
1.207744837,0.169980794,-1.104375005,-0.657970726,1.472470641,-0.227572247,1.213893294,0.735484064,0.096474282,0.220286161,-0.089833111,0.05168736,0.212809816,0.166044116
1.110307336,0.149291903,-1.077311754,-0.746710241,1.479682922,-0.226422459,1.218202114,0.832708359,0.094302289,0.275146663,-0.058544803,0.07158459,0.177955925,0.118075818
1.008508682,0.130050868,-1.04852879,-0.886295795,1.485498548,-0.221453249,1.22674191,0.984300852,0.089573048,0.312448353,-0.037361022,0.084936798,0.154001594,0.073059373
0.844364405,0.101146422,-1.006464005,-0.981431544,1.488164306,-0.217768639,1.233039021,1.083066463,0.08525978,0.348504961,-0.016645137,0.104047567,0.118559986,0.046875
0.737094522,0.083422586,-0.978185773,-1.07597208,1.486994386,-0.213143542,1.240220189,1.219358325,0.076742537,0.39679268,0.012186842,0.115564719,0.09617307,0.025282502
0.636297107,0.066951878,-0.950217724,-1.167653441,1.484265089,-0.209815413,1.24840188,1.292642236,0.069520906,0.422801822,0.029003974,0.125613824,0.075510219,0.009593653
0.544255972,0.051720042,-0.923642933,-1.254064083,1.48305738,-0.208016202,1.261390328,1.346404552,0.060921714,0.442006916,0.043169778,0.133775443,0.057198383,0.001120663
0.463693708,0.037986603,-0.888418317,-1.368221045,1.482663035,-0.207604155,1.270370483,1.376517415,0.050822623,0.45317775,0.054060545,0.139630109,0.041864522,0.005048817
0.370884925,0.021417005,-0.869323015,-1.429573894,1.482611656,-0.207138881,1.279978395,1.378380656,0.039101321,0.45835337,0.061052494,0.142758474,0.030135548,0.042599551
0.331983417,0.013433565,-0.854818821,-1.470989943,1.482289433,-0.206321791,1.290542364,1.3514992,0.025635488,0.459899992,0.062614076,0.14287442,0.020672712,0.153358385
0.313432574,0.008146927,-0.845730722,-1.497497201,1.481457233,-0.204207256,1.308486342,1.264560938,0.00085315,0.458551496,0.055939548,0.142056823,0.027311387,0.252441764
0.313758522,0.005428177,-0.85877353,-1.495916843,1.479057193,-0.202187911,1.321719289,1.183189034,-0.028399892,0.456109732,0.044090837,0.140816435,0.08074075,0.362885088
0.344806224,0.004419286,-0.902623355,-1.430453777,1.476763606,-0.199761167,1.335716367,1.090302348,-0.074801639,0.453026831,0.02863354,0.139253274,0.174663931,0.477114975
