LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.397086263,0.199888557,-1.21641171,-0.434836537,1.429187179,-0.205582649,1.219710946,0.457045257,0.080029614,0.111597992,-0.170000032,0,0.300000012,0.300548315
1.415064692,0.207070857,-1.208030105,-0.428023458,1.432227969,-0.212814197,1.20238781,0.452590078,0.086754456,0.118617117,-0.164061621,0,0.307035387,0.304946423
1.420808434,0.209801719,-1.201256514,-0.423792541,1.437667012,-0.218788281,1.172327757,0.510498762,0.069877781,0.202772155,-0.132240713,0,0.318540454,0.313773155
1.42233181,0.210361958,-1.191395044,-0.419051737,1.442804694,-0.227618292,1.096226931,0.686721981,0.04120671,0.305392981,-0.095149942,0,0.334375024,0.327060163
1.420251608,0.20875378,-1.178093553,-0.410713524,1.441577077,-0.230549261,1.037597895,0.830620646,0.00052678,0.430191457,-0.036467705,0,0.353576899,0.344839275
1.415165424,0.205164567,-1.152360678,-0.40444237,1.432698607,-0.228767186,0.986226141,0.959686637,-0.049912669,0.559045792,0.040395334,0,0.375184059,0.3671422
1.407660007,0.196686685,-1.132264972,-0.3977938,1.41985321,-0.222542733,0.954168439,1.04171896,-0.107615471,0.726725936,0.150544643,0,0.409999996,0.410723418
1.393131375,0.189452693,-1.110730529,-0.390978903,1.405497193,-0.213567391,0.943334818,1.090444446,-0.202035993,0.828615069,0.19439128,0,0.433411062,0.44794035
1.38231945,0.181833401,-1.088558197,-0.384365976,1.381037712,-0.195724726,0.961620569,1.093465567,-0.266299129,0.929152012,0.188000023,0,0.455860078,0.4897919
1.365287185,0.169833899,-1.056291819,-0.374976069,1.363867998,-0.18351309,0.991712391,1.079148412,-0.328437358,1.029372811,0.052781459,0,0.485624969,0.557193518
1.354159594,0.16208455,-1.036795139,-0.369487077,1.342653513,-0.172182679,1.054239869,1.031849265,-0.411669195,1.176949978,-0.048921376,0,0.501459539,0.602500141
1.343878031,0.154988334,-1.019988894,-0.363072515,1.312912703,-0.158143893,1.100758433,0.977555573,-0.456504047,1.270646572,-0.095149942,0,0.512964606,0.645936012
1.331346869,0.146393731,-1.001845002,-0.360380232,1.292955756,-0.15025945,1.14840436,0.897804201,-0.48961091,1.357775688,-0.095149934,0,0.519999981,0.703516364
1.325979114,0.142824382,-0.995663226,-0.359252244,1.274150729,-0.143489838,1.193827868,0.798185289,-0.508372009,1.470374823,-0.095149942,0,0.517247975,0.734143496
1.323127389,0.140760481,-0.994676232,-0.359561056,1.258334637,-0.137828797,1.250550151,0.640280426,-0.508140504,1.529393554,-0.095149949,0,0.509503961,0.756394684
1.322857857,0.140025198,-0.998470664,-0.361127853,1.238797307,-0.130891293,1.277253628,0.554558516,-0.490526438,1.572337031,-0.095149934,0,0.497535944,0.768410802
1.325091124,0.1404403,-1.006467223,-0.365393788,1.229594469,-0.12804924,1.290272117,0.503065169,-0.460855663,1.594887972,-0.095149949,0,0.48211199,0.760555506
1.329568267,0.141899511,-1.024939537,-0.369241029,1.225761175,-0.127231851,1.268725753,0.482848883,-0.421067089,1.581840873,-0.095149942,0,0.463999987,0.694999993
1.339649796,0.145881534,-1.040605187,-0.373690128,1.227075696,-0.128111079,1.205022931,0.484319657,-0.37322396,1.524569511,-0.095149942,0,0.443967998,0.589444458
1.347951293,0.149627656,-1.058169007,-0.378583133,1.233422279,-0.130878747,1.109722614,0.499397427,-0.319452524,1.424573064,-0.095149942,0,0.42278403,0.470555544
1.357051611,0.154294953,-1.076914668,-0.383788794,1.244439125,-0.135681868,1.002712131,0.520759284,-0.261910915,1.28848362,-0.095149934,0,0.401216,0.36500001
1.366596103,0.159657583,-1.096151233,-0.389062077,1.25998044,-0.142065376,0.908529341,0.541385114,-0.202773616,1.125535607,-0.095149942,0,0.380031943,0.299444467
1.376223207,0.165265992,-1.115187049,-0.394166499,1.279018521,-0.148783997,0.853923798,0.55427587,-0.144223228,0.946282864,-0.095149949,0,0.360000044,0.290260822
1.385626197,0.170849979,-1.133292317,-0.398914188,1.300038218,-0.154622078,0.854894936,0.554229021,-0.088446423,0.761947334,-0.095149949,0,0.341887951,0.293365866
1.394466758,0.176164523,-1.149747849,-0.403122693,1.326105714,-0.160013139,0.904853225,0.540106058,-0.037632108,0.584090531,-0.095149942,0,0.320000052,0.296361566
1.402385116,0.180981308,-1.163841605,-0.406613797,1.365576863,-0.167721808,1.031867981,0.502643824,0.024493974,0.355144739,-0.095149942,0,0.310048044,0.299155205
1.411710739,0.18680048,-1.179006696,-0.410123646,1.386342764,-0.17285572,1.115215302,0.477151662,0.053319871,0.244995832,-0.095149942,0,0.304703951,0.300939143
1.415742278,0.189475328,-1.184303641,-0.41111818,1.399764538,-0.180306241,1.183395386,0.454654664,0.07509651,0.160946131,-0.095149942,0,0.30399999,0.301200002
1.41944468,0.192148462,-1.187629819,-0.411443561,1.410662293,-0.184338406,1.202207327,0.447489232,0.081160918,0.137539774,-0.095149942,0,0.30399999,0.301200002
1.420964956,0.19332312,-1.188488483,-0.411335468,1.414847255,-0.187460393,1.211621284,0.443341374,0.084235236,0.125674069,-0.095149942,0,0.30399999,0.301200002
1.422017097,0.194163412,-1.188885689,-0.411149859,1.417699218,-0.18979919,1.216294408,0.440869272,0.085793741,0.119658828,-0.095149942,0,0.30399999,0.301200002
