LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.404066563,0.200578198,-1.23694694,-0.446955204,1.416967154,-0.192059368,1.205769897,0.423890501,0.099999987,0.089323513,-0.170000032,0,0.300000012,0.298315883
1.415386677,0.206830025,-1.208106279,-0.442930907,1.42364502,-0.205614075,1.196230054,0.433422744,0.093201712,0.103839897,-0.147018686,-0.000577497,0.306759208,0.286481559
1.410460353,0.207669809,-1.170367837,-0.476289779,1.418100834,-0.208426818,1.139198065,0.501729786,0.045660704,0.122768477,-0.11390081,-0.001556163,0.316499799,0.267000467
1.391239405,0.203811496,-1.076520443,-0.585918069,1.385913968,-0.202157602,1.074967861,0.583963692,-0.01141396,0.15052709,-0.075211644,-0.002956009,0.327878922,0.244242132
1.331596136,0.185560063,-1.0014534,-0.686326206,1.34761405,-0.190658882,1.000822306,0.684509993,-0.082052261,0.185381666,-0.03837961,-0.004730962,0.338711888,0.222576246
1.273849607,0.163565412,-0.93036288,-0.792344511,1.292485476,-0.168676987,0.931256413,0.791405737,-0.157602727,0.224375531,-0.010832928,-0.006834946,0.346813858,0.206372321
1.213633299,0.139232174,-0.875797212,-0.884578109,1.236179471,-0.145714849,0.876937628,0.883585751,-0.228226647,0.263932228,0,-0.009221887,0.349999994,0.200000003
1.152767062,0.115036204,-0.84540832,-0.952213943,1.176352978,-0.121008873,0.846861959,0.9512918,-0.289397776,0.303297937,-0.000664713,-0.01184571,0.349999994,0.205739871
1.071216345,0.084915377,-0.835656524,-1.007872581,1.101112962,-0.092321515,0.835458755,1.004417181,-0.345963329,0.345737487,-0.002567643,-0.014660338,0.350000024,0.221005499
0.990939736,0.064591102,-0.833162725,-1.037619233,1.021073222,-0.070814654,0.832124889,1.034930348,-0.400063246,0.391719729,-0.005571982,-0.017619699,0.349999994,0.24286586
0.911151528,0.051037185,-0.836895049,-1.052103043,0.937396467,-0.05600806,0.835657239,1.048942447,-0.451678783,0.439832866,-0.00954092,-0.020677716,0.349999994,0.281610012
0.827891231,0.036609072,-0.848923624,-1.063880324,0.84985894,-0.040729836,0.847314179,1.060497642,-0.499696761,0.487711579,-0.01700367,-0.025348933,0.349999964,0.307134092
0.742827356,0.021399658,-0.866814733,-1.072437286,0.763438046,-0.025298484,0.864152491,1.06973505,-0.561248541,0.55278796,-0.022785567,-0.02845202,0.350000024,0.328994513
0.663024306,0.007234752,-0.887411833,-1.079265118,0.678124607,-0.010283876,0.884728312,1.079323411,-0.592400432,0.587116778,-0.029053219,-0.031492501,0.349999964,0.344260097
0.597884178,-0.00460384,-0.90710938,-1.085761786,0.608473659,0.007261962,0.913457155,1.086167693,-0.613170147,0.610415936,-0.035669826,-0.034424305,0.349999994,0.349999994
0.541507781,-0.016100405,-0.928864121,-1.094129205,0.547785163,0.014004176,0.926897228,1.092699766,-0.621840775,0.621181786,-0.042498574,-0.037201345,0.347490251,0.347468138
0.539279819,-0.017970936,-0.933904588,-1.092777371,0.544040918,0.014731818,0.932266951,1.096067429,-0.618784189,0.621639311,-0.049402654,-0.039777562,0.340940356,0.336491525
0.564815819,-0.014822227,-0.930156708,-1.083139539,0.568696082,0.009176222,0.928796291,1.094699025,-0.606077969,0.614385366,-0.059600763,-0.043164551,0.326754153,0.326549351
0.612817705,-0.007315636,-0.910515666,-1.054698586,0.645875573,-0.008549815,0.909626663,1.083590865,-0.575495243,0.594700813,-0.066094637,-0.045037124,0.31653142,0.316236585
0.708944798,0.009037616,-0.891416967,-1.029974937,0.711489558,-0.023739461,0.890958011,1.071640015,-0.552450001,0.579470813,-0.072185002,-0.046547599,0.307410598,0.307035416
0.77450639,0.020664996,-0.870885611,-1.004744411,0.776457667,-0.038759813,0.870940149,1.05811727,-0.531544685,0.56556195,-0.077735081,-0.047649913,0.300860733,0.298559844
0.82651639,0.030285873,-0.852505922,-0.982718825,0.829558492,-0.051003236,0.85266614,1.039479613,-0.512270927,0.552707374,-0.084888764,-0.048495032,0.298866093,0.298415631
0.856520236,0.03783606,-0.838707507,-0.964877963,0.863961279,-0.061868474,0.834595859,1.03171742,-0.510672569,0.551656485,-0.089644641,-0.048855703,0.302608639,0.302191168
0.856040776,0.047128879,-0.828568876,-0.9651407,0.856515348,-0.066128589,0.829516053,1.029348612,-0.517581165,0.556302905,-0.094606489,-0.049174003,0.309126526,0.308766454
0.826791823,0.051739559,-0.829645038,-0.974324524,0.825110674,-0.068145946,0.830793381,1.031968713,-0.531347156,0.565545022,-0.099710509,-0.049452566,0.317410529,0.317123443
0.775709927,0.055156469,-0.837233424,-0.990216613,0.773596287,-0.068166047,0.838352144,1.03892982,-0.549834669,0.577952385,-0.104892917,-0.049694043,0.32645148,0.326244056
0.712084055,0.057017442,-0.849967897,-1.011218429,0.709656477,-0.066291556,0.851018727,1.049409986,-0.581170678,0.598979771,-0.11267399,-0.049992532,0.339224458,0.339129537
0.643677771,0.057039436,-0.866217911,-1.034627438,0.607732654,-0.060340922,0.875999331,1.068634748,-0.600782275,0.612139106,-0.117773309,-0.05015289,0.345742345,0.345704854
0.579079807,0.055009838,-0.892616272,-1.067661762,0.548556328,-0.054675516,0.893516719,1.081356525,-0.61635524,0.622588336,-0.122727752,-0.050285436,0.349484861,0.349480331
0.509615898,0.047849447,-0.907303631,-1.082971334,0.507483661,-0.048028037,0.90809989,1.091317177,-0.624868274,0.628035843,-0.127473533,-0.050392825,0.343772292,0.343717396
0.495629847,0.040006224,-0.910420179,-1.083965063,0.494389981,-0.040438365,0.91108793,1.092090964,-0.620868862,0.622559249,-0.134061441,-0.050512515,0.327082008,0.326880097
0.513555467,0.030716039,-0.895597219,-1.065354586,0.513817072,-0.032850374,0.896165073,1.079100013,-0.587619185,0.58862257,-0.138006508,-0.050568581,0.302918494,0.302503675
0.562389374,0.021718126,-0.86132592,-1.026694655,0.564571619,-0.026623361,0.86192292,1.051472068,-0.550205231,0.551277995,-0.141519651,-0.050608754,0.274271041,0.273603797
0.637272835,0.011464382,-0.777984381,-0.937350929,0.687337041,-0.021475831,0.779179811,0.986409605,-0.5049963,0.506347239,-0.144537091,-0.050635688,0.244128942,0.24319616
0.78167665,0.007143135,-0.70799917,-0.864431798,0.788250923,-0.020519441,0.710140467,0.932582617,-0.456599772,0.458327621,-0.146995023,-0.050652027,0.202652425,0.201354206
0.877440393,0.00463831,-0.636048913,-0.788078308,0.884941638,-0.020705119,0.639590979,0.875260413,-0.409967363,0.412090927,-0.149493307,-0.05066245,0.181851849,0.180370361
0.964380562,0.003907813,-0.569638133,-0.689920485,1.00830853,-0.023444202,0.547690868,0.800806642,-0.35456565,0.357178509,-0.150273398,-0.050663885,0.170019209,0.168433487
1.060603023,0.008022561,-0.497501045,-0.647429287,1.06699419,-0.027898446,0.505224884,0.767551064,-0.334060431,0.336856574,-0.150373906,-0.050663937,0.168400005,0.166800007
