LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.393396139,0.20016861,-1.236885071,-0.441780388,1.420320868,-0.197942987,1.205659628,0.424654216,0.098146088,0.090415455,-0.169417635,0.00041416,0.302320063,0.302187294
1.40737474,0.204528168,-1.218962193,-0.44175598,1.426143408,-0.207883716,1.208333969,0.431072682,0.078302987,0.107398942,-0.16516161,0.003479552,0.319575518,0.318510085
1.421276093,0.212325886,-1.21780169,-0.456376195,1.430911779,-0.217078537,1.216211438,0.447878599,0.02930712,0.139115289,-0.157679945,0.008976842,0.35075134,0.348152369
1.427030444,0.21735543,-1.222477078,-0.485624731,1.43452096,-0.226342067,1.229526997,0.476618737,-0.049739949,0.187562644,-0.148047894,0.016244993,0.392367393,0.387980133
1.430328488,0.221611217,-1.231350422,-0.52810359,1.435756803,-0.236134455,1.247852921,0.517052948,-0.154532969,0.251075417,-0.137340605,0.024622962,0.440943658,0.459963858
1.430157304,0.224581555,-1.243377805,-0.581905246,1.434333682,-0.246303722,1.270069003,0.596093476,-0.34442094,0.366613746,-0.1216157,0.03782481,0.519245684,0.51154393
1.426900864,0.226242334,-1.257275224,-0.644309223,1.429192901,-0.261110872,1.307157278,0.657573521,-0.480466485,0.450451791,-0.112924427,0.046085298,0.569996953,0.562340736
1.422237277,0.226892203,-1.278540254,-0.746757209,1.424024701,-0.270324975,1.332199454,0.723127961,-0.613453805,0.533855081,-0.106921181,0.05314197,0.615528226,0.609219909
1.413747072,0.226414099,-1.291445374,-0.816234589,1.407040715,-0.281374693,1.358377695,0.794191778,-0.733978629,0.611568272,-0.104681179,0.058333788,0.666424513,0.665337801
1.403771996,0.224837005,-1.302882314,-0.884747028,1.393278837,-0.292223096,1.380827427,0.861736,-0.832512856,0.678248584,-0.107859641,0.063829407,0.683679879,0.68871218
1.393715024,0.223627701,-1.31138289,-0.946995676,1.383485317,-0.30071792,1.39755404,0.923621356,-0.899465263,0.745791793,-0.122418113,0.066889979,0.682259023,0.6972
1.387895226,0.221717075,-1.312975287,-1.000432253,1.377314925,-0.305307329,1.405952215,1.002857566,-0.927538931,0.76162827,-0.13666442,0.069493033,0.654653013,0.682438314
1.383130431,0.212228492,-1.2940166,-1.072322011,1.372312546,-0.299388975,1.39243412,1.050497413,-0.900833309,0.751661897,-0.152954012,0.071660012,0.605374932,0.642371178
1.381522298,0.200686187,-1.267018437,-1.11685884,1.370423555,-0.285742313,1.362122536,1.096093774,-0.84440577,0.718220592,-0.169924706,0.073412366,0.540617049,0.583324909
1.380729198,0.1856592,-1.230932713,-1.158817649,1.369158506,-0.265494853,1.317385912,1.13982439,-0.765578508,0.665724516,-0.186214328,0.074771546,0.466571003,0.511625648
1.38053751,0.168291986,-1.188822389,-1.197685957,1.36640501,-0.243287593,1.262814283,1.181025267,-0.672356606,0.599654794,-0.200460643,0.075758979,0.389428943,0.433600008
1.379383087,0.152509242,-1.144963264,-1.232429862,1.362676501,-0.22049205,1.202985048,1.218650937,-0.573091328,0.526030242,-0.215019107,0.076590039,0.281456023,0.318538666
1.378510356,0.137470976,-1.102801204,-1.262200356,1.359952569,-0.197048321,1.141992927,1.252175331,-0.431539506,0.415230453,-0.218197569,0.076741949,0.223663926,0.252375007
1.377702713,0.124561101,-1.066259503,-1.285933971,1.357043028,-0.17696394,1.061826348,1.2915169,-0.354651392,0.350526184,-0.218197569,0.076741949,0.184448063,0.20202741
1.376616836,0.115721315,-1.038629293,-1.302869916,1.354023218,-0.156382993,1.023266315,1.308962584,-0.301862329,0.300752223,-0.218197569,0.076741949,0.170000002,0.173822239
1.376116395,0.110196292,-1.017935038,-1.315516472,1.351653576,-0.14891845,1.000748277,1.318914175,-0.27402252,0.2712318,-0.218197569,0.076741949,0.170000002,0.170000002
1.375974894,0.10618522,-1.012352228,-1.319052577,1.351229072,-0.145045295,0.989490807,1.323898911,-0.259909272,0.256266594,-0.218197569,0.076741949,0.170000002,0.170000002
1.375985861,0.104917705,-1.009588718,-1.32086134,1.351128459,-0.1430123,0.983849704,1.326406837,-0.252754658,0.248680085,-0.218197569,0.076741949,0.170000002,0.170000002
1.376006007,0.104205683,-1.008221865,-1.32178998,1.351140618,-0.141940534,0.981018305,1.327671289,-0.249127671,0.244834155,-0.218197569,0.076741949,0.170000002,0.170000002
1.376020551,0.103804238,-1.007546902,-1.322268367,1.351182103,-0.14137508,0.979595304,1.328497767,-0.246744528,0.242307156,-0.218197569,0.076741949,0.170000002,0.170000002
1.376028061,0.103577115,-1.007214308,-1.322590351,1.351240277,-0.140986308,0.978668332,1.32872653,-0.246080875,0.241603419,-0.218197569,0.076741949,0.170000002,0.170000002
1.376030445,0.103406288,-1.007003784,-1.322682977,1.351267457,-0.140872911,0.978412151,1.328841805,-0.245744437,0.24124667,-0.218197569,0.076741949,0.170000002,0.170000002
1.376028895,0.103350677,-1.006948113,-1.322731376,1.351286173,-0.140813604,0.97828275,1.32889986,-0.245573878,0.24106583,-0.218197569,0.076741949,0.170000002,0.170000002
1.37602663,0.103318736,-1.006921053,-1.322756886,1.351298571,-0.140782729,0.978217244,1.328929067,-0.245487422,0.240974143,-0.218197569,0.076741949,0.170000002,0.170000002
1.376024365,0.103300281,-1.006908178,-1.322770357,1.351306558,-0.140766755,0.978184044,1.328943729,-0.245443597,0.240927666,-0.218197569,0.076741949,0.170000002,0.170000002
1.376022339,0.103289545,-1.006902099,-1.32277751,1.351311684,-0.140758559,0.978167176,1.328951001,-0.24542138,0.240904093,-0.218197569,0.076741949,0.170000002,0.170000002
