LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.44586575,0.223195016,-1.204983592,-0.419000089,1.44165647,-0.221878916,1.204851627,0.419527501,0.098527066,0.100993484,-0.170000032,0,0.300000012,0.299928516
1.443450451,0.224707007,-1.200293422,-0.427589625,1.441092968,-0.223745152,1.200376987,0.428157747,0.096788451,0.100508556,-0.190195918,0,0.3085168,0.299426287
1.440009594,0.226952493,-1.188710093,-0.465652972,1.438399434,-0.228311017,1.179717898,0.498020619,0.077987559,0.100287624,-0.219299778,0,0.321433246,0.298599511
1.432824135,0.22968556,-1.168587327,-0.537608087,1.426632881,-0.231874511,1.155879617,0.585744798,0.054458372,0.100426391,-0.253299594,0,0.337648928,0.297633648
1.418519497,0.230763867,-1.128130317,-0.70014745,1.408153415,-0.233131051,1.128060341,0.700576544,0.024245378,0.100833781,-0.285667419,0,0.355028391,0.296714127
1.386433959,0.229259133,-1.098458052,-0.83002615,1.386342049,-0.233001158,1.098312855,0.830381095,-0.009788068,0.101576559,-0.309875309,0,0.37143594,0.296026468
1.363389134,0.226580247,-1.070887208,-0.961137533,1.363575101,-0.231335372,1.070664763,0.961617351,-0.044343635,0.102734983,-0.319395244,0,0.384736001,0.295756012
1.33020854,0.218264893,-1.049573541,-1.100679278,1.33049047,-0.223784402,1.049378633,1.100982785,-0.07775028,0.1060009,-0.31235531,0,0.395322382,0.296638608
1.303619742,0.215368107,-1.030365705,-1.244781017,1.303961635,-0.221291617,1.030171037,1.244986653,-0.111430675,0.114878565,-0.292892098,0,0.405091017,0.299241453
1.281941772,0.215710402,-1.012495637,-1.352720618,1.282326341,-0.221852854,1.012272239,1.352853656,-0.14621222,0.131017163,-0.26349017,0,0.414159924,0.303496897
1.263613462,0.217274323,-0.996082902,-1.421802402,1.264019132,-0.223534003,0.995827317,1.421888351,-0.182383686,0.154872462,-0.226634219,0,0.42264691,0.312830865
1.248122931,0.219049096,-0.98152864,-1.46601522,1.248527288,-0.225355089,0.981250286,1.466070294,-0.219960853,0.204709083,-0.162809327,0,0.434544235,0.320922226
1.235581994,0.220690325,-0.969445407,-1.494312644,1.235970736,-0.226983875,0.969154596,1.494346976,-0.278673649,0.246575937,-0.118188746,0,0.44209227,0.330429703
1.223100066,0.222827345,-0.957640409,-1.518862247,1.223460555,-0.22899951,0.957343757,1.518877745,-0.319084883,0.29460457,-0.074810535,0,0.449470967,0.341285676
1.21893239,0.224071741,-0.954134345,-1.521189094,1.21928072,-0.230093792,0.953838766,1.521263957,-0.360236198,0.348081321,-0.035159353,0,0.456798285,0.353422612
1.216742873,0.225032806,-0.952152014,-1.495454431,1.217080355,-0.23084116,0.951862574,1.49556613,-0.401875794,0.406264216,-0.001719823,0,0.464192122,0.366773009
1.215819359,0.22580792,-0.950609326,-1.439335585,1.216145635,-0.231332466,0.950333953,1.439469814,-0.443745434,0.468396783,0.023023348,0,0.471770316,0.381269187
1.215808153,0.226656139,-0.949104846,-1.356238723,1.216121793,-0.231823549,0.948853433,1.356380343,-0.485583484,0.533715248,0.036585547,0,0.479650736,0.396843612
1.217077494,0.22792691,-0.948690176,-1.252737641,1.217375278,-0.232662424,0.948472857,1.252869844,-0.547705233,0.635987043,0.038131051,0,0.492295921,0.422079086
1.224316597,0.230002284,-0.959049106,-1.137279987,1.231455207,-0.23549825,0.970666409,1.078118443,-0.588310778,0.705908656,0.037355483,0,0.501447797,0.440053463
1.240192056,0.233467221,-0.987516999,-0.962981462,1.251292706,-0.238921642,1.009114146,0.963051319,-0.627960503,0.776323736,0.036105074,0,0.511314511,0.458869636
1.263556004,0.237993866,-1.067216635,-0.860916972,1.277278781,-0.243400961,1.067138076,0.860963345,-0.666389525,0.846461177,0.03441437,0,0.522013903,0.478459865
1.306919217,0.247705758,-1.142495871,-0.782310009,1.307049513,-0.24941127,1.142442107,0.782336593,-0.703332841,0.915549934,0.032317892,0,0.533663988,0.498756737
1.337406278,0.256474674,-1.231800556,-0.73709625,1.337496519,-0.257213622,1.231764317,0.737110674,-0.738525629,0.982818902,0.029850177,3.03E-05,0.546382546,0.5196926
1.364285827,0.271164328,-1.331680655,-0.728332818,1.364337087,-0.27097705,1.331660032,0.728340149,-0.771702886,1.047496796,0.027045762,0.000259478,0.560287535,0.541199923
1.383072734,0.294155508,-1.438453078,-0.775335729,1.388790846,-0.307284147,1.493154287,0.775338352,-0.817110002,1.137968063,0.022283362,0.000961031,0.592128336,0.58565855
1.394720316,0.341544062,-1.602732062,-0.837587178,1.394729733,-0.340125203,1.602728367,0.837588489,-0.84408915,1.192793727,0.018788273,0.001989333,0.610299885,0.608474791
1.395660758,0.378826618,-1.709157467,-0.915822089,1.395665646,-0.377386004,1.70915556,0.915822804,-0.868125319,1.264871597,0.013151743,0.002799446,0.638119996,0.63942194
1.393517256,0.41758123,-1.808401227,-1.001983047,1.393519759,-0.416309357,1.808400273,1.001983404,-0.898081899,1.305024743,0.009181821,0.003669357,0.710994184,0.713191271
1.389716387,0.454864919,-1.896416306,-1.127921462,1.387568474,-0.471179038,1.934265971,1.127921581,-0.913601279,1.337959051,0.005082401,0.004564893,0.804686844,0.80631429
