LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.414670706,0.196830213,-1.221159935,-0.420890629,1.390040517,-0.180174097,1.223998666,0.435882419,-0.037804425,0.197786316,-0.170000032,0,0.300000012,0.300000012
1.424236059,0.20885089,-1.207345009,-0.431983978,1.40869236,-0.197321117,1.209528565,0.439935476,0.047580399,0.135300308,-0.179519981,0,0.303963244,0.299729586
1.426035047,0.215456441,-1.192958713,-0.469949961,1.414833069,-0.207154661,1.194590449,0.475630462,0.061621159,0.117942289,-0.203727856,0,0.314429134,0.299041867
1.422691226,0.221233726,-1.171237469,-0.541343331,1.414667606,-0.215793222,1.172418594,0.545518517,0.054564882,0.109267995,-0.253299594,0,0.337648928,0.297633648
1.411469102,0.225696132,-1.12938416,-0.702685595,1.398428202,-0.224519461,1.129930973,0.705251455,0.019680848,0.10406106,-0.285667419,0,0.355028391,0.296714127
1.382635832,0.225776985,-1.099210143,-0.831834495,1.379920721,-0.227088794,1.099460959,0.833631396,-0.012102028,0.10321261,-0.309875309,0,0.37143594,0.296026468
1.360838532,0.224242538,-1.071379066,-0.96234709,1.359198928,-0.22734876,1.071463823,0.963547349,-0.045516685,0.103564374,-0.319395244,0,0.390138775,0.295978069
1.328712702,0.217002437,-1.049892068,-1.101285577,1.327929854,-0.221635878,1.04990232,1.173737168,-0.09491089,0.109896749,-0.304021358,0,0.400301546,0.297729254
1.302737951,0.214675695,-1.030568719,-1.245090485,1.302453756,-0.220113263,1.021327376,1.30530417,-0.128871739,0.122144364,-0.279278159,0,0.409705579,0.301166803
1.281419039,0.215324908,-1.012624502,-1.352919102,1.272123694,-0.222144708,1.004018545,1.391456723,-0.164227635,0.142056778,-0.245838687,0,0.418468773,0.306223243
1.255276322,0.218004003,-0.98860389,-1.446468592,1.255515218,-0.224180356,0.9883793,1.44659245,-0.201057151,0.169700474,-0.206187457,0,0.426709056,0.312830865
1.241324186,0.219801396,-0.975173473,-1.481801271,1.241622448,-0.226043284,0.974915206,1.481881857,-0.239269435,0.204728857,-0.162809327,0,0.434544235,0.320922226
1.230439544,0.221386641,-0.964589059,-1.504414797,1.230759501,-0.227616459,0.964312196,1.504466414,-0.278687805,0.246585965,-0.118188746,0,0.445795447,0.335693359
1.223050952,0.222797289,-0.957655847,-1.518887997,1.223376989,-0.22894834,0.957369745,1.518918633,-0.319092065,0.294609636,-0.074810535,0,0.453133702,0.347198248
1.218903542,0.224054515,-0.954143822,-1.521202922,1.219231486,-0.230064452,0.952759802,1.512263894,-0.381013572,0.376633406,-0.017507834,0,0.460479558,0.359950393
1.216725945,0.225022957,-0.952157736,-1.495461702,1.216460228,-0.231093317,0.95108676,1.471208453,-0.422799468,0.436885357,0.011894116,0,0.467950761,0.373882055
1.215809464,0.226197749,-0.949862361,-1.400806785,1.216021538,-0.231550023,0.949599504,1.400948286,-0.464685529,0.500706196,0.031357333,0,0.47566539,0.38892585
1.216073871,0.227217421,-0.948352814,-1.306544423,1.216376901,-0.232176647,0.948118389,1.306684256,-0.506408811,0.567329705,0.038397245,0,0.483741134,0.413428664
1.219666481,0.228824183,-0.951886833,-1.195927739,1.219952464,-0.233314052,0.951690435,1.196049809,-0.547705412,0.670838118,0.037804779,0,0.496789873,0.430956841
1.231191993,0.23155649,-0.970819652,-1.078025699,1.231452584,-0.235496998,0.987386882,1.019564509,-0.608271718,0.741102755,0.036787473,0,0.506284356,0.44936049
