LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.44586575,0.223195016,-1.204983592,-0.419000089,1.44165647,-0.221878916,1.204851627,0.419527501,0.098951265,0.100993484,-0.170000032,0,0.300000012,0.300000012
1.443179727,0.224024922,-1.204651237,-0.418666989,1.44081831,-0.222974837,1.204738855,0.419220507,0.100913838,0.086821698,-0.16320686,0.005733584,0.340144008,0.305372924
1.433244109,0.223575115,-1.218357444,-0.426392555,1.431579471,-0.222747073,1.218481064,0.426884532,0.115436919,0.038074315,-0.147007793,0.019534105,0.435872018,0.320447564
1.408026814,0.220732912,-1.249200106,-0.444506913,1.406768441,-0.220152214,1.249340653,0.458004981,0.166615278,-0.041054524,-0.127673417,0.036301211,0.550127983,0.343657553
1.325912476,0.208703145,-1.314895391,-0.486157596,1.324879408,-0.208593905,1.315072894,0.486578017,0.208843365,-0.13034229,-0.11147432,0.050934561,0.645856023,0.373436689
1.242179036,0.196761712,-1.352585793,-0.515870988,1.241401196,-0.196786448,1.352740288,0.516183615,0.242529899,-0.201585948,-0.104681179,0.058333788,0.68599999,0.408218622
1.145469427,0.189081207,-1.368267179,-0.531035721,1.145042419,-0.189084128,1.368356466,0.531194866,0.257237673,-0.236459568,-0.106837228,0.06019308,0.685589612,0.466345429
1.034447551,0.190812707,-1.35777986,-0.521772504,1.034231067,-0.190814182,1.35782516,0.508773208,0.244420305,-0.236750767,-0.116539448,0.06222694,0.68495506,0.506781816
0.921163082,0.202370167,-1.318291783,-0.490754932,0.863377035,-0.21107769,1.289294839,0.468574435,0.216535196,-0.21236743,-0.125810474,0.063154444,0.684138119,0.546739042
0.805445015,0.221303999,-1.216567039,-0.41430077,0.747599065,-0.232715607,1.216575384,0.414315522,0.177178323,-0.174637333,-0.136116385,0.063799202,0.683229983,0.584650695
0.69064796,0.257722855,-1.129879594,-0.352202684,0.635139465,-0.257722974,1.129883885,0.352210164,0.130129397,-0.128261521,-0.146422312,0.064212605,0.682321787,0.618950605
0.531688929,0.283327669,-1.036244273,-0.288860917,0.531678736,-0.283327729,1.036246419,0.288864732,0.079313129,-0.077646896,-0.155693337,0.064446092,0.681504965,0.660202086
0.443542957,0.306722164,-0.942880332,-0.231082663,0.443537772,-0.306722164,0.942881405,0.231084585,0.028727641,-0.003069129,-0.165395558,0.064571403,0.680649936,0.678619921
0.377364933,0.325080663,-0.85710454,-0.185775101,0.354635954,-0.331485748,0.819363236,0.16997169,-0.037884943,0.039669506,-0.167551607,0.064579971,0.680459976,0.687943995
0.336557955,0.338038951,-0.754822552,-0.153997138,0.336557031,-0.338038951,0.754822791,0.153997496,-0.072300032,0.074100167,-0.161073312,0.064579971,0.681207657,0.691718102
0.359923899,0.337121189,-0.701481164,-0.15708372,0.359923422,-0.337121189,0.701481283,0.157083899,-0.100240856,0.101966478,-0.14384383,0.064579971,0.683196306,0.694608808
0.421741962,0.330142885,-0.656971693,-0.175974488,0.421741694,-0.330142885,0.656971753,0.175974578,-0.123012125,0.124573402,-0.11917121,0.064579971,0.686043978,0.696733832
0.513398588,0.318743885,-0.619999349,-0.206712246,0.513398468,-0.318743885,0.619999349,0.206712291,-0.141414747,0.142739922,-0.09036351,0.064579971,0.689368963,0.698211074
0.623431206,0.304680318,-0.589812934,-0.244984448,0.623431206,-0.304680318,0.589812934,0.244984463,-0.155994192,0.157038674,-0.060728807,0.064579979,0.694415987,0.699469924
0.738933086,0.289767265,-0.565936565,-0.286298394,0.794490039,-0.282568038,0.556256413,0.306665719,-0.171585932,0.172195822,-0.021962455,0.064579979,0.697263718,0.699842989
0.892498195,0.269845188,-0.541238964,-0.343931824,0.892498195,-0.269845188,0.541238964,0.343931824,-0.178293198,0.178654462,-0.004732938,0.064579971,0.699252248,0.699980378
0.96124351,0.260911196,-0.531812549,-0.372700512,0.96124351,-0.260911196,0.531812549,0.372700512,-0.182412297,0.182599247,0.001745329,0.064579971,0.699999988,0.699999988
0.990388453,0.259883493,-0.529292345,-0.391469032,0.990388453,-0.259883493,0.529292345,0.391469032,-0.183395907,0.183512524,-0.003581636,0.064579971,0.699329913,0.699586511
0.980623901,0.271945,-0.53614819,-0.403936356,0.980623901,-0.271945,0.53614819,0.403936356,-0.179963484,0.180118755,-0.017857904,0.064579971,0.697534025,0.69847852
0.937593699,0.297585011,-0.55224514,-0.4124946,0.937593699,-0.297585011,0.55224514,0.4124946,-0.172123224,0.172413394,-0.038526535,0.064579971,0.694934011,0.69687438
0.86915946,0.334487587,-0.57585752,-0.418455601,0.86915946,-0.334487587,0.57585752,0.418455601,-0.160680354,0.161180064,-0.075921826,0.064579971,0.690230012,0.693971992
0.784306586,0.402573705,-0.619710088,-0.424118698,0.73869592,-0.402573705,0.619710088,0.424118698,-0.139465421,0.140361711,-0.101384729,0.064579971,0.687026858,0.69199574
0.647229135,0.449804872,-0.650196493,-0.426362127,0.647229135,-0.449804872,0.650196493,0.426362127,-0.124725126,0.125898808,-0.12429063,0.064579971,0.68292588,0.689465404
0.563726783,0.492788702,-0.677959204,-0.427748233,0.563726783,-0.492788702,0.677959204,0.427748233,-0.111304007,0.112730756,-0.142082751,0.064579971,0.681130052,0.688357413
0.498223275,0.526460767,-0.699713707,-0.428530425,0.498223275,-0.526460767,0.699713707,0.428530425,-0.100788161,0.102413371,-0.15358898,0.064579971,0.680459976,0.687943995
0.460871816,0.545655847,-0.712115824,-0.428735554,0.455567658,-0.548388362,0.71388042,0.428735554,-0.093940154,0.095694602,-0.149114281,0.064579971,0.681207657,0.688405275
0.459628254,0.539598823,-0.7081967,-0.427640527,0.472740173,-0.539598823,0.7081967,0.427640527,-0.096686959,0.098389424,-0.137213483,0.064579971,0.683196306,0.689632297
0.5232476,0.513709128,-0.691460311,-0.425427526,0.5232476,-0.513709128,0.691460311,0.425427526,-0.104775853,0.111891575,-0.110436738,0.064579964,0.687670588,0.692392886
0.599307895,0.474713355,-0.666252613,-0.422304571,0.599307895,-0.474713355,0.666252613,0.420505255,-0.124099396,0.125283659,-0.0899674,0.064579971,0.691091061,0.694503248
0.691040277,0.427679807,-0.635849476,-0.41861254,0.739388347,-0.402890027,0.619825065,0.416679084,-0.139398545,0.140293613,-0.070069306,0.064579964,0.694415987,0.69655472
0.787500024,0.35441643,-0.588491261,-0.412910253,0.833926618,-0.35441643,0.588491261,0.412910253,-0.154542834,0.155151635,-0.053027395,0.064579979,0.697263718,0.698311806
0.915853083,0.312409163,-0.561337292,-0.40965116,0.915853083,-0.312409163,0.561337292,0.40965116,-0.167666882,0.16802761,-0.04112659,0.064579964,0.699252248,0.699538589
0.973329365,0.28293851,-0.542287171,-0.407366633,0.973329365,-0.28293851,0.542287171,0.407366633,-0.176874191,0.179851398,-0.036651913,0.064579971,0.699999988,0.699999988
