LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.417916775,0.198625386,-1.211093545,-0.429190606,1.454663157,-0.214162201,1.233155847,0.452514917,0.115524448,0.105705798,-0.170000032,0,0.300000012,0.300000012
1.423864245,0.206476375,-1.206909895,-0.429138601,1.445465565,-0.219114974,1.210622549,0.442912906,0.11766734,0.09865953,-0.169147953,-0.00227074,0.299577057,0.299577057
1.426744342,0.218428984,-1.188097477,-0.486446768,1.444850802,-0.222942531,1.192717075,0.480957061,0.162194028,0.083784848,-0.166641578,-0.008309942,0.298379391,0.298379391
1.420471907,0.227319077,-1.162638545,-0.579060078,1.44558239,-0.227105707,1.167344332,0.560783505,0.248948604,0.056072697,-0.16255568,-0.016958077,0.296513915,0.295364141
1.398751616,0.234901145,-1.129730225,-0.711357713,1.445270658,-0.230708256,1.135191202,0.676545143,0.371993542,0.015061148,-0.153628856,-0.032285575,0.292697221,0.292697221
1.364360452,0.240540519,-1.091179132,-0.869839132,1.44237411,-0.232588336,1.098801255,0.817504406,0.599485934,-0.068967171,-0.145921394,-0.042383116,0.289629638,0.289629638
1.305942655,0.239142343,-1.053183436,-1.044310212,1.431703448,-0.228871554,1.04559505,1.047405839,0.759152293,-0.137281582,-0.136896223,-0.051031254,0.286268204,0.286268204
1.232270002,0.237044007,-1.019954205,-1.209183216,1.420670748,-0.223520234,1.015032887,1.187807322,0.907265246,-0.212847382,-0.126628041,-0.057070464,0.282719761,0.282719761
1.158048511,0.237757131,-0.993130386,-1.329940438,1.407582164,-0.217800766,0.994348705,1.298184156,1.027841568,-0.293281198,-0.115191728,-0.059341196,0.279091179,0.279091179
1.037684441,0.236927584,-0.981022179,-1.417860985,1.398036361,-0.209491655,0.988758385,1.405840158,1.147738099,-0.417684436,-0.090105832,-0.025677985,0.273731798,0.273731798
0.893811822,0.225267932,-1.028655052,-1.353083372,1.392778277,-0.198581353,1.011085868,1.450547695,1.200380802,-0.499486685,-0.067823753,0.025262101,0.270370364,0.270370364
0.773722291,0.210600108,-1.09764874,-1.233314037,1.39345932,-0.190837488,1.042777061,1.482142091,1.238066554,-0.577454865,-0.043696538,0.089026228,0.267302752,0.267302752
0.651447058,0.192513824,-1.182536721,-1.074397802,1.395940185,-0.182850763,1.083035469,1.504383326,1.264371872,-0.649071991,-0.019953853,0.157065153,0.264635921,0.264635921
0.532351494,0.17230472,-1.273638368,-0.896271408,1.399056792,-0.175180271,1.12677443,1.518866897,1.281916499,-0.711817563,0.010061509,0.24843666,0.261620581,0.261620581
0.42358619,0.15164718,-1.359733582,-0.72020334,1.401881933,-0.168509722,1.168408632,1.531432152,1.296405911,-0.783784628,0.023087714,0.289758742,0.260422945,0.260422945
0.333206803,0.132407546,-1.428821087,-0.568136752,1.40367496,-0.163427129,1.213902831,1.536355853,1.300886035,-0.813315809,0.027925268,0.305432618,0.25999999,0.25999999
0.268423498,0.116349727,-1.470424891,-0.459553182,1.403952479,-0.159312546,1.228493929,1.539258957,1.303164124,-0.828809381,0.027925266,0.305432618,0.259999961,0.259999961
0.224532589,0.103353582,-1.491515636,-0.360988915,1.403090239,-0.158014715,1.23597014,1.540802836,1.304319024,-0.836663723,0.02792527,0.305432618,0.25999999,0.25999999
0.182877064,0.088121943,-1.505373478,-0.320871741,1.402461767,-0.15727739,1.239810228,1.54161799,1.304904342,-0.840645432,0.02792527,0.305432647,0.25999999,0.25999999
0.165767163,0.080310121,-1.50923264,-0.293871075,1.401960492,-0.156853452,1.24178946,1.542046309,1.305201173,-0.842664003,0.02792527,0.305432677,0.25999999,0.25999999
0.154539138,0.0741577,-1.511188984,-0.276288033,1.401595712,-0.156607315,1.242814064,1.54233861,1.305396199,-0.843990207,0.027925266,0.305432588,0.25999999,0.25999999
0.147618607,0.067809574,-1.512474298,-0.261994243,1.401250482,-0.156415224,1.243509054,1.542423129,1.305450439,-0.844359577,0.027925266,0.305432588,0.25999999,0.25999999
0.142539501,0.065389037,-1.512832284,-0.257601917,1.401113629,-0.156349853,1.243711591,1.542467237,1.305477977,-0.844546854,0.027925268,0.305432618,0.25999999,0.25999999
0.158454925,0.065853767,-1.507030487,-0.267904758,1.401600003,-0.157982171,1.240602374,1.539791822,1.288464427,-0.832581162,0.020173628,0.293008804,0.259646446,0.256914228
0.225180715,0.07192266,-1.483862877,-0.315505594,1.404036283,-0.164569706,1.228100061,1.52929306,1.22227788,-0.785744488,-0.000442428,0.259966791,0.258706182,0.248707429
