LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.429783106,0.210277125,-1.201088667,-0.444773257,1.432834625,-0.214257672,1.199071527,0.446570814,0.09765704,0.09948051,-0.170000032,0,0.300000012,0.300000012
1.433526158,0.215391055,-1.201404929,-0.434526145,1.435424685,-0.217504397,1.200580716,0.434834868,0.100852504,0.096980959,-0.168978229,-0.004251532,0.296352684,0.296689957
1.440467119,0.221002221,-1.18887949,-0.477350146,1.441912889,-0.22254847,1.188505888,0.477601737,0.135526583,0.040187113,-0.156536311,-0.014880363,0.287234336,0.288414747
1.451520085,0.229366139,-1.160354733,-0.583697379,1.45277071,-0.230772659,1.141594529,0.65838176,0.184279308,-0.040817764,-0.144034311,-0.028697833,0.275380522,0.277657002
1.462768078,0.238828972,-1.120160937,-0.82768786,1.468683958,-0.244795278,1.09899199,0.830022931,0.244992614,-0.141905665,-0.131532267,-0.042515323,0.263526678,0.266899258
1.470063806,0.246552318,-1.056386948,-1.000245452,1.471386075,-0.248610884,1.057919979,1.003747344,0.305267394,-0.242333427,-0.121915333,-0.053144149,0.25440833,0.258624077
1.467034936,0.24373506,-1.025078058,-1.131367326,1.467948675,-0.246029228,1.027209878,1.135447145,0.350609183,-0.317898214,-0.118068561,-0.057395678,0.250761002,0.255313993
1.453745604,0.240197018,-1.007064223,-1.204975009,1.459741473,-0.242624938,1.009696484,1.209848762,0.371984839,-0.355402201,-0.125598133,-0.057395674,0.250761002,0.255313993
1.430968285,0.235738352,-0.995077252,-1.243367195,1.438744068,-0.238294393,0.997948945,1.24864316,0.373227805,-0.364821345,-0.145944893,-0.057395674,0.250761002,0.255313993
1.389602542,0.230200589,-0.986146927,-1.264630198,1.402122736,-0.23374784,0.988108337,1.268357038,0.358971059,-0.354709476,-0.193141058,-0.057395678,0.250761002,0.255313993
1.330294013,0.224667564,-0.979465604,-1.277275085,1.34213686,-0.227863669,0.981295168,1.281495452,0.333518147,-0.316351473,-0.230818331,-0.057395678,0.250761002,0.255313993
1.252994299,0.21881482,-0.977112293,-1.285601854,1.266256928,-0.222122654,0.977511108,1.29274559,0.283369899,-0.282590121,-0.269542813,-0.057395678,0.250761002,0.255313993
1.171233296,0.21400921,-0.975349069,-1.290601492,1.138992786,-0.214578211,0.975705683,1.297058225,0.247850299,-0.247455016,-0.305951595,-0.057395682,0.250761032,0.255314022
1.090672731,0.207726181,-0.974362195,-1.294886351,1.058647633,-0.210241184,0.975467324,1.299812198,0.21532695,-0.215126574,-0.336681902,-0.057395678,0.250761002,0.255313993
0.981170237,0.204382136,-0.976755083,-1.295925975,0.984498084,-0.206681162,0.978076756,1.300983191,0.189780504,-0.189678937,-0.358370781,-0.057395678,0.250761002,0.255313993
0.930469155,0.202204168,-0.978583038,-1.296424627,0.932274044,-0.203542024,0.980854034,1.301684976,0.169998184,-0.169961512,-0.372439295,-0.057395674,0.250761002,0.255313963
0.897301614,0.200771168,-0.980536997,-1.296610951,0.886170506,-0.202323511,0.98213011,1.301781058,0.164489165,-0.164470568,-0.377088845,-0.057395682,0.250761002,0.255313993
0.868654251,0.199491665,-0.981399179,-1.296576858,0.869054854,-0.201530546,0.983038902,1.301757097,0.161696389,-0.161686957,-0.379476428,-0.057395674,0.250760972,0.255313993
0.858627856,0.198999524,-0.982007027,-1.296503663,0.858492732,-0.201006368,0.983816803,1.301629305,0.160280615,-0.160275832,-0.380356073,-0.057395674,0.250760972,0.255313993
0.852646649,0.198677406,-0.982577085,-1.296362638,0.852578163,-0.200713649,0.984342158,1.301512599,0.159562901,-0.159560472,-0.38048175,-0.057395678,0.250761002,0.255314022
0.857562959,0.198514089,-0.982866049,-1.296291113,0.85763967,-0.200565249,0.984608471,1.301435947,0.167050123,-0.167049244,-0.358849853,-0.057395682,0.250761002,0.255313993
0.885617495,0.198474079,-0.98353833,-1.296042204,0.909900844,-0.200568154,0.985924661,1.300961733,0.184382826,-0.184382379,-0.325734437,-0.057395678,0.250761002,0.255313993
0.973922491,0.198872104,-0.985583305,-1.295274019,0.975704908,-0.200889766,0.987342179,1.300442457,0.211492985,-0.211492747,-0.283645779,-0.057395682,0.250760972,0.255313993
1.057232261,0.199475601,-0.987014115,-1.294813871,1.06018889,-0.201493233,0.988795698,1.299980283,0.245782644,-0.264507473,-0.214904547,-0.057395682,0.250761032,0.255313993
1.146153331,0.200583756,-0.989775598,-1.294203639,1.150365114,-0.203607202,0.993423641,1.299060345,0.302569449,-0.302569389,-0.17281583,-0.057395674,0.250761002,0.255313993
1.232650042,0.202796757,-0.993075371,-1.293709278,1.238070846,-0.206216797,0.996229172,1.298771501,0.337816149,-0.337816119,-0.139700443,-0.057395682,0.250761032,0.255314022
1.310280204,0.205639601,-0.99520272,-1.293885708,1.346137762,-0.209037527,0.9990924,1.299062252,0.365736932,-0.365736932,-0.120685779,-0.057395678,0.250761002,0.255313993
1.378749728,0.210164994,-0.998014569,-1.294118285,1.386185646,-0.212317795,1.000061274,1.299296737,0.381288558,-0.381288558,-0.120685779,-0.057395678,0.250761002,0.255313993
1.402453542,0.213249058,-0.997285247,-1.293955207,1.410220265,-0.215453431,0.998776734,1.298950672,0.391506821,-0.391506821,-0.120685779,-0.057395678,0.250761002,0.255313993
1.416830301,0.215761408,-0.996147513,-1.293611288,1.428998351,-0.218958154,0.997831345,1.298889875,0.394352436,-0.394352436,-0.120685779,-0.057395678,0.250761002,0.255313993
1.428209901,0.218298271,-0.994728804,-1.293239713,1.435021639,-0.220558584,0.997128129,1.298931837,0.395795017,-0.395795017,-0.120685779,-0.057395678,0.250761002,0.255313993
1.431936145,0.219372779,-0.994133174,-1.293160439,1.43888557,-0.221778035,0.996540785,1.298834682,0.396526307,-0.396526307,-0.120685779,-0.057395678,0.250761002,0.255313993
1.434341311,0.22018145,-0.993682563,-1.293037176,1.441381574,-0.222678423,0.996091843,1.298698664,0.396897018,-0.396897018,-0.120685779,-0.057395678,0.250761002,0.255313993
1.435903311,0.220773801,-0.993356526,-1.292915225,1.443003416,-0.223329082,0.99576503,1.298567533,0.397084981,-0.397084981,-0.120685779,-0.057395678,0.250761002,0.255313993
