LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.395492554,0.173421383,-1.208940864,-0.449378431,1.456821918,-0.210257009,1.237443089,0.455708921,-0.009290323,0.105665945,-0.170000032,0,0.300000012,0.300000012
1.411357164,0.192768782,-1.207404017,-0.439058572,1.445533276,-0.216436639,1.215016365,0.435595185,0.061715316,0.1049475,-0.169783458,0.005069497,0.292205751,0.294430733
1.422584176,0.197840005,-1.210484743,-0.472097993,1.44479835,-0.216396362,1.204225898,0.455068976,0.035920981,0.115601771,-0.168938279,0.018829562,0.271864653,0.279505074
1.439134836,0.185989112,-1.228405356,-0.623838484,1.448764205,-0.205236658,1.181692362,0.561657071,-0.030107962,0.137562171,-0.167171165,0.039107546,0.243539214,0.257896304
1.443420887,0.163335264,-1.249018908,-0.783470273,1.450357676,-0.189176366,1.162033677,0.679234624,-0.127491519,0.170228451,-0.164188907,0.063730828,0.211791888,0.232277617
1.44856286,0.132987365,-1.274167657,-0.968535244,1.449048162,-0.167498589,1.139817953,0.822258055,-0.244206235,0.211902574,-0.159698188,0.090526737,0.181185156,0.205322355
1.437510729,0.093571752,-1.301860809,-1.157095194,1.444528699,-0.141683057,1.116520643,0.977254212,-0.366634905,0.260329932,-0.153405815,0.117322654,0.15628162,0.179703727
1.419655919,0.056948826,-1.330408692,-1.296603203,1.435930729,-0.113236815,1.09470284,1.128752947,-0.4803527,0.312973857,-0.145018429,0.141945899,0.141643643,0.158094913
1.405084252,0.032275945,-1.356365561,-1.385888219,1.42327714,-0.08543472,1.077219367,1.259823084,-0.572119713,0.367154628,-0.134242848,0.162223935,0.14408049,0.143169254
1.394711494,0.017084094,-1.379739404,-1.438581347,1.403768778,-0.058117334,1.067007422,1.354543686,-0.64377439,0.420120031,-0.120785788,0.175983965,0.203871995,0.146579593
1.387944698,0.007530937,-1.401540399,-1.45262146,1.384986877,-0.039775141,1.062940001,1.396716237,-0.701609671,0.473268926,-0.104353935,0.18105346,0.273088008,0.210334688
1.384168029,0.001488483,-1.42213738,-1.440751672,1.366629839,-0.026839115,1.061200023,1.367576003,-0.76948458,0.563903987,-0.057049252,0.181053475,0.357136041,0.317191809
1.38267827,-0.002339319,-1.441533208,-1.412332296,1.348909497,-0.01741815,1.059253335,1.301690459,-0.804692805,0.63009876,-0.01085829,0.181053475,0.448599994,0.445599943
1.382813096,-0.004747255,-1.45951128,-1.352995157,1.324698329,-0.007811369,1.057723284,1.215429544,-0.833087981,0.695820212,0.038232997,0.18105346,0.540064037,0.574008107
