LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.420185328,0.198773831,-1.200555086,-0.451440305,1.420548439,-0.200844735,1.199823499,0.450977147,0.091718629,0.103377759,-0.169417635,0.00041416,0.302320063,0.302187294
1.424729586,0.205862775,-1.203298569,-0.441331565,1.425195813,-0.207541242,1.203501582,0.440666795,0.075313881,0.114030503,-0.16516161,0.003479552,0.319575518,0.318510085
1.428935409,0.212012127,-1.207366109,-0.446887672,1.431530833,-0.218646005,1.215214491,0.453004658,0.027791811,0.142477125,-0.157679945,0.008976842,0.35075134,0.348152369
1.433510303,0.219733655,-1.218399286,-0.484580129,1.434800744,-0.227115571,1.229037046,0.479267478,-0.050508127,0.189266905,-0.148047894,0.016244993,0.392367393,0.410734147
1.434809566,0.223657027,-1.229073644,-0.527067065,1.435871959,-0.236508161,1.247610807,0.51842618,-0.154922396,0.251939356,-0.137340605,0.029021557,0.466754347,0.459963858
1.433177471,0.226170853,-1.242103338,-0.581046879,1.434373975,-0.251448959,1.282030702,0.596608639,-0.344561487,0.366925538,-0.1216157,0.03782481,0.519245684,0.51154393
1.428871393,0.227384537,-1.256565571,-0.677142799,1.429194212,-0.261166811,1.307114601,0.657842159,-0.480537742,0.450609863,-0.112924427,0.046085298,0.569996953,0.562340736
1.420565248,0.227553606,-1.278236985,-0.746390522,1.424019575,-0.270350665,1.332178116,0.72326827,-0.613489926,0.533935249,-0.106921181,0.05314197,0.615528226,0.609219909
1.414410114,0.226849094,-1.291269183,-0.815992117,1.407038331,-0.281387866,1.358366847,0.794262946,-0.733996928,0.611608922,-0.104681179,0.058333788,0.652359128,0.649047613
1.40416801,0.225092873,-1.302779913,-0.884608209,1.393277645,-0.292229742,1.380821943,0.86177212,-0.832522154,0.678269207,-0.107859641,0.062120844,0.677009821,0.678689897
1.393935204,0.223763764,-1.311324716,-0.946925342,1.383484721,-0.300721288,1.397551179,0.923639715,-0.899469972,0.72851944,-0.116486877,0.065418221,0.68599999,0.6972
1.388023853,0.221791059,-1.312940359,-1.000397682,1.377314568,-0.305345058,1.406421781,0.977891505,-0.927799046,0.756959021,-0.129200697,0.068247356,0.654653013,0.682438314
1.384415507,0.216490254,-1.303335786,-1.04910183,1.373608589,-0.303345472,1.401347876,1.026989579,-0.918318689,0.751663864,-0.152954012,0.071660012,0.605374932,0.642371178
1.382250905,0.206972495,-1.281807184,-1.09488821,1.370423436,-0.28574264,1.362122178,1.096095443,-0.844406247,0.718221545,-0.169924706,0.073412366,0.540617049,0.583324909
1.381065011,0.193556324,-1.230926871,-1.158815026,1.369158506,-0.265495032,1.317385674,1.139825225,-0.765578747,0.665725052,-0.186214328,0.074771546,0.466571003,0.511625648
1.380548835,0.168297037,-1.188818812,-1.197684765,1.36640501,-0.243287697,1.262814164,1.181025743,-0.672356725,0.599655092,-0.200460643,0.076119997,0.351631969,0.394191772
1.37939024,0.152512297,-1.144961119,-1.232429266,1.362676501,-0.22049211,1.202985048,1.218651056,-0.573091388,0.48834464,-0.215019107,0.076590039,0.281456023,0.318538666
1.378514767,0.137472898,-1.102799892,-1.262199998,1.359952569,-0.197048351,1.141992927,1.25217545,-0.47630924,0.415230483,-0.218197569,0.076741949,0.223663926,0.252375007
1.377705455,0.124562331,-1.066258788,-1.285933733,1.357043028,-0.176963955,1.086049438,1.280095816,-0.354651421,0.350526214,-0.218197569,0.076741949,0.184448063,0.20202741
1.376618505,0.115722165,-1.038628817,-1.302869797,1.354023218,-0.156383008,1.023266315,1.308962584,-0.301862329,0.300752252,-0.218197569,0.076741949,0.170000002,0.173822239
1.376117468,0.110196866,-1.022592425,-1.312626362,1.352125406,-0.148918465,1.000748277,1.318914175,-0.27402252,0.27123183,-0.218197569,0.076741949,0.170000002,0.170000002
