LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.420185328,0.202394471,-1.201722026,-0.443822056,1.422855735,-0.204044923,1.201183319,0.443399012,0.094103657,0.102404959,-0.16723308,8.20E-05,0.29939428,0.303477377
1.426531792,0.208638266,-1.20290041,-0.437107891,1.425550699,-0.209197298,1.204261541,0.435612828,0.088467151,0.127467528,-0.146814749,0.000718431,0.294873863,0.328888893
1.429364562,0.214312807,-1.203320503,-0.444919556,1.422360182,-0.212134764,1.210660934,0.445197225,0.028017381,0.186604589,-0.110367075,0.001942424,0.286664754,0.373559713
1.430240154,0.219644219,-1.203802586,-0.484701097,1.401567221,-0.210398689,1.226379037,0.466017187,-0.050244741,0.280931383,-0.062469907,0.003702846,0.275634915,0.43106997
1.426947832,0.226606816,-1.204469681,-0.527451634,1.371046066,-0.202819154,1.239416003,0.498650163,-0.153415501,0.402834296,-0.007703003,0.005948607,0.262652278,0.495000005
1.418957472,0.230025738,-1.206201911,-0.580567837,1.331354141,-0.190670863,1.250225663,0.54050529,-0.273422897,0.540931404,0.049353823,0.008628622,0.248584718,0.558930039
1.408874154,0.232487932,-1.208273053,-0.639966607,1.285231352,-0.174629584,1.254846692,0.616706848,-0.464075387,0.749497354,0.129214212,0.013351108,0.227347746,0.640781879
1.397345424,0.233953372,-1.210642457,-0.7018435,1.18932879,-0.139840335,1.243540406,0.680618763,-0.58345443,0.869664133,0.171959192,0.016893238,0.214365065,0.67662549
1.385185122,0.234473199,-1.214659691,-0.790537238,1.122178555,-0.114500314,1.21360743,0.740388036,-0.684740245,0.95959425,0.2009646,0.02069081,0.203335196,0.689999998
1.36781466,0.233691454,-1.217612028,-0.840901017,1.060378551,-0.087893516,1.153346062,0.794924617,-0.758020222,1.007587194,0.211650848,0.024692733,0.195126131,0.469999999
1.358237982,0.232310921,-1.220789552,-0.879388988,1.003193498,-0.060444925,1.069138765,0.844933808,-0.793867946,1.015405774,0.208032325,0.028847929,0.19060576,0.469189763
