LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.432,0.153,-1.151,-0.390,1.495,-0.124,1.503,0.478,-0.128,-0.013,-0.181,-0.015,0.133,0.239
1.427,0.151,-1.172,-0.374,1.491,-0.124,1.493,0.507,-0.124,-0.044,-0.181,-0.015,0.187,0.289
1.419,0.148,-1.210,-0.346,1.482,-0.124,1.475,0.563,-0.116,-0.105,-0.181,-0.015,0.263,0.407
1.408,0.145,-1.262,-0.309,1.466,-0.122,1.449,0.645,-0.106,-0.194,-0.180,-0.013,0.389,0.506
1.394,0.142,-1.320,-0.266,1.442,-0.120,1.416,0.749,-0.094,-0.305,-0.180,-0.012,0.465,0.611
1.378,0.139,-1.377,-0.225,1.411,-0.116,1.379,0.869,-0.083,-0.500,-0.180,-0.010,0.519,0.716
1.363,0.137,-1.424,-0.192,1.363,-0.110,1.343,1.002,-0.071,-0.638,-0.180,-0.008,0.540,0.814
1.351,0.135,-1.453,-0.172,1.306,-0.106,1.295,1.196,-0.067,-0.773,-0.180,0.005,0.540,0.898
1.339,0.133,-1.474,-0.159,1.233,-0.106,1.268,1.304,-0.065,-0.896,-0.181,0.035,0.540,0.961
1.334,0.131,-1.479,-0.156,1.197,-0.109,1.248,1.386,-0.064,-0.999,-0.182,0.093,0.540,1.000
1.331,0.129,-1.483,-0.155,1.174,-0.115,1.240,1.434,-0.063,-1.105,-0.184,0.130,0.540,1.000
1.328,0.128,-1.484,-0.155,1.165,-0.128,1.269,1.459,-0.063,-1.148,-0.185,0.158,0.540,1.000
1.326,0.127,-1.486,-0.155,1.173,-0.160,1.387,1.476,-0.063,-1.175,-0.187,0.169,0.540,1.000
1.325,0.125,-1.486,-0.155,1.183,-0.184,1.486,1.480,-0.063,-1.191,-0.187,0.145,0.540,1.000
1.324,0.125,-1.486,-0.155,1.190,-0.203,1.566,1.483,-0.063,-1.200,-0.188,0.084,0.540,0.986
1.323,0.124,-1.486,-0.155,1.191,-0.208,1.568,1.484,-0.063,-1.197,-0.188,-0.036,0.540,0.896
1.323,0.123,-1.487,-0.155,1.176,-0.180,1.483,1.484,-0.063,-1.184,-0.188,-0.108,0.540,0.774
1.323,0.123,-1.487,-0.155,1.161,-0.154,1.377,1.484,-0.063,-1.167,-0.188,-0.153,0.540,0.684
1.323,0.123,-1.487,-0.155,1.154,-0.136,1.310,1.483,-0.063,-1.157,-0.187,-0.156,0.540,0.689
1.323,0.122,-1.487,-0.155,1.169,-0.135,1.353,1.469,-0.066,-1.164,-0.187,-0.106,0.540,0.846
1.322,0.122,-1.487,-0.155,1.203,-0.148,1.417,1.461,-0.068,-1.174,-0.186,-0.052,0.540,0.903
1.322,0.122,-1.487,-0.155,1.214,-0.159,1.475,1.457,-0.069,-1.182,-0.185,0.008,0.540,0.940
1.322,0.122,-1.487,-0.155,1.218,-0.170,1.527,1.456,-0.069,-1.188,-0.184,0.067,0.540,0.969
1.322,0.122,-1.487,-0.155,1.219,-0.181,1.571,1.457,-0.070,-1.192,-0.182,0.114,0.540,0.988
1.322,0.122,-1.487,-0.155,1.218,-0.190,1.603,1.458,-0.070,-1.195,-0.181,0.142,0.540,0.999
1.321,0.123,-1.487,-0.156,1.217,-0.195,1.621,1.456,-0.070,-1.186,-0.177,0.137,0.540,0.984
1.321,0.124,-1.487,-0.156,1.222,-0.198,1.617,1.435,-0.070,-0.970,-0.154,0.038,0.540,0.787
1.320,0.125,-1.487,-0.156,1.243,-0.199,1.564,1.347,-0.070,-0.686,-0.131,-0.054,0.540,0.590
1.320,0.127,-1.487,-0.156,1.265,-0.198,1.506,1.257,-0.070,-0.398,-0.104,-0.130,0.540,0.393
1.320,0.127,-1.487,-0.156,1.290,-0.196,1.437,1.154,-0.070,-0.110,-0.076,-0.162,0.540,0.241
1.320,0.127,-1.487,-0.156,1.316,-0.193,1.365,1.050,-0.070,0.066,-0.050,-0.130,0.540,0.191
1.321,0.126,-1.487,-0.156,1.339,-0.186,1.295,0.902,-0.070,0.344,-0.022,-0.033,0.540,0.255
1.321,0.125,-1.487,-0.155,1.362,-0.165,1.188,0.812,-0.070,0.404,-0.015,-0.001,0.540,0.361
1.323,0.124,-1.487,-0.155,1.368,-0.153,1.132,0.744,-0.070,0.390,-0.013,-0.001,0.540,0.402
1.323,0.123,-1.487,-0.155,1.372,-0.139,1.075,0.676,-0.069,0.325,-0.012,-0.001,0.539,0.444
1.324,0.122,-1.487,-0.154,1.380,-0.131,1.048,0.646,-0.068,0.272,-0.011,-0.001,0.539,0.482
1.324,0.121,-1.487,-0.154,1.386,-0.125,1.028,0.626,-0.066,0.221,-0.011,-0.001,0.539,0.514
1.325,0.121,-1.487,-0.154,1.392,-0.120,1.014,0.612,-0.065,0.178,-0.011,-0.001,0.538,0.535
1.325,0.120,-1.487,-0.154,1.397,-0.117,1.005,0.604,-0.064,0.141,-0.011,-0.001,0.538,0.541
1.325,0.120,-1.487,-0.153,1.400,-0.115,0.999,0.598,-0.063,0.130,-0.011,-0.001,0.538,0.541
1.325,0.120,-1.487,-0.153,1.403,-0.115,0.997,0.596,-0.063,0.125,-0.011,-0.001,0.538,0.541
1.325,0.120,-1.486,-0.153,1.404,-0.115,0.996,0.595,-0.063,0.122,-0.011,-0.001,0.538,0.541
