LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.426585197,0.214632943,-1.198843122,-0.42535764,1.390031338,-0.189113989,1.202576756,0.443268597,0.089224152,0.102433398,-0.170000032,7.28E-12,0.300000012,0.300000012
1.431244493,0.216722131,-1.201224208,-0.422741383,1.403637767,-0.197519958,1.203294039,0.448300302,0.09523239,0.095830046,-0.153989062,7.28E-12,0.285849869,0.2858693
1.434931278,0.216237217,-1.203966975,-0.419409662,1.388946891,-0.205097273,1.184266567,0.506057262,0.093784295,0.076047167,-0.112204336,7.28E-12,0.248921379,0.248991534
1.438388467,0.211773619,-1.212032914,-0.411091328,1.335534573,-0.200326458,1.158285975,0.621177673,0.088677578,0.040880568,-0.054018151,7.28E-12,0.197497636,0.197638422
1.443489671,0.197931454,-1.220543146,-0.403712928,1.234591603,-0.181976706,1.126850843,0.794253826,0.08100576,-0.006168652,0.011197269,7.28E-12,0.139861584,0.140081525
1.446652412,0.18532005,-1.231336355,-0.395795375,1.099304795,-0.158056125,1.096122622,0.996321201,0.072064765,-0.059062421,0.074069634,7.28E-12,0.084296279,0.084592536
1.449452162,0.172275826,-1.243971229,-0.388457954,0.966121495,-0.134931028,1.067499638,1.185798764,0.063253134,-0.110476486,0.125226557,7.28E-12,0.039084855,0.03944321
1.451554537,0.159513459,-1.257923722,-0.382632494,0.846965134,-0.112391897,1.048116565,1.314973474,0.056021404,-0.152434692,0.155295879,7.28E-12,0.00880003,0.00919998
1.45281148,0.149208561,-1.272699594,-0.379765362,0.774598122,-0.09420523,1.037682891,1.39764607,0.051772915,-0.1777758,0.150825366,7.28E-12,0.022553628,0.036382381
1.452232838,0.140611693,-1.289278865,-0.382900923,0.750492752,-0.078920238,1.039945722,1.450298905,0.051885735,-0.192881316,0.127296358,7.28E-12,0.059884828,0.110163182
1.449029446,0.133018628,-1.308280945,-0.39382416,0.767314553,-0.058500506,1.067021012,1.450491309,0.055788644,-0.19502838,0.092622004,7.28E-12,0.114899233,0.218892813
1.442796707,0.125759587,-1.32951045,-0.41235745,0.851218641,-0.045929883,1.09791398,1.41189909,0.0620717,-0.193826944,0.05051747,7.28E-12,0.181702435,0.350921631
1.427788377,0.114490412,-1.364000916,-0.451476097,0.928879857,-0.035958551,1.137236357,1.35475421,0.070035361,-0.190675825,0.004697815,7.28E-12,0.254400015,0.567167282
1.414577246,0.106452286,-1.38732326,-0.482178837,1.018102527,-0.027519897,1.180353522,1.28785193,0.078932591,-0.18649292,-0.062870681,7.28E-12,0.361604393,0.706477046
1.399649143,0.098098464,-1.409574151,-0.513790667,1.107213616,-0.021321712,1.224810839,1.218661785,0.092338562,-0.179722801,-0.101724535,7.28E-12,0.42325002,0.828312516
1.384025455,0.089742273,-1.429523826,-0.543683469,1.189905524,-0.016848594,1.284305692,1.125220776,0.100171149,-0.175656721,-0.131290585,7.28E-12,0.47015959,0.921023965
1.368952155,0.08181379,-1.445900917,-0.579255879,1.291866899,-0.016294111,1.312439084,1.07897234,0.106197312,-0.172501981,-0.147853762,7.28E-12,0.496438801,0.972961724
1.350421548,0.071707815,-1.46119225,-0.593138695,1.327466249,-0.017375212,1.328454614,1.053431988,0.10977152,-0.170626462,-0.150098324,7.28E-12,0.5,0.980000019
1.341670752,0.066510029,-1.466189504,-0.600770175,1.355984211,-0.020344852,1.337349057,1.036855102,0.112119973,-0.169394135,-0.150098324,7.28E-12,0.5,0.980000019
1.332743526,0.060874943,-1.470056295,-0.606357634,1.367175937,-0.022392191,1.339085221,1.031969905,0.112773977,-0.169050962,-0.150098324,7.28E-12,0.5,0.980000019
1.328813195,0.058275379,-1.471403718,-0.60815233,1.374656916,-0.024171496,1.339557409,1.029337645,0.113203697,-0.168825477,-0.150098324,7.28E-12,0.5,0.980000019
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
