LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.405103803,0.189081818,-1.220221877,-0.439085364,1.411494493,-0.188942462,1.211286426,0.451917738,0.100446299,0.091081321,-0.170000032,0,0.300000012,0.300000012
1.41541934,0.202284172,-1.208306551,-0.446325034,1.415677905,-0.198205322,1.204540968,0.455737293,0.104221791,0.090430453,-0.153989062,0,0.324296325,0.324296325
1.40992558,0.205980211,-1.197044134,-0.505129278,1.410964012,-0.202464521,1.188658118,0.512446404,0.119424991,0.073309876,-0.112204336,0,0.387703717,0.387703717
1.388792515,0.202571332,-1.181223989,-0.618129432,1.392436385,-0.199063778,1.162856579,0.626372516,0.147027925,0.039492916,-0.054018151,0,0.52503705,0.52503705
1.297453046,0.171490908,-1.157892704,-0.878941596,1.32308042,-0.171595961,1.115136027,0.883917212,0.204814136,-0.032822937,0.04351208,0,0.623999953,0.623999953
1.20902729,0.142190576,-1.145554423,-1.077821255,1.238114357,-0.135570347,1.0862993,1.089384556,0.246815071,-0.085696355,0.101698264,0,0.712296247,0.712296247
1.167361617,0.115488343,-1.135402918,-1.245373011,1.168612599,-0.107583307,1.059121728,1.253269911,0.284553856,-0.133280158,0.143483058,0,0.775703788,0.775703788
1.070209265,0.091620848,-1.129139543,-1.35310173,1.115187645,-0.082456894,1.041612267,1.358155608,0.311554521,-0.167345017,0.159493953,0,0.800000012,0.792420149
1.040799141,0.070796981,-1.131417871,-1.421364903,1.086830854,-0.061046161,1.04703021,1.44490099,0.326713949,-0.189591035,0.133972913,0,0.737349927,0.737349927
1.042204261,0.051618624,-1.147722006,-1.430760622,1.093761921,-0.033670232,1.076568604,1.444244027,0.324429005,-0.193552583,0.09490367,0,0.641441047,0.641441047
1.070296526,0.025898166,-1.198139787,-1.390274405,1.126010418,-0.018159159,1.123828173,1.404863596,0.315451592,-0.192876741,0.045247901,0,0.519544065,0.519544065
1.143562555,0.011668682,-1.244805813,-1.327533126,1.17341423,-0.005077047,1.183399558,1.340889215,0.302132934,-0.189524367,-0.00894488,0,0.386509329,0.386509329
1.20493865,-0.000801353,-1.295983672,-1.253775597,1.229176641,0.005482538,1.248841643,1.264567256,0.286655128,-0.184829444,-0.061625376,0,0.257187068,0.257187068
1.267727733,-0.010939666,-1.345879912,-1.17950666,1.286174059,0.01369213,1.313179851,1.187117219,0.271114647,-0.17980814,-0.106744051,0,0.1464279,0.1464279
1.320896864,-0.017556585,-1.388719201,-1.115553141,1.331577182,0.018184859,1.368974566,1.120596886,0.257564396,-0.175315499,-0.138251543,0,0.047579966,0.047579966
1.3564291,-0.020452505,-1.42703259,-1.058611393,1.372240305,0.020204611,1.419235229,1.060982704,0.245090902,-0.171138003,-0.150098324,0,0.039999999,0.039999999
1.385195971,-0.02061474,-1.437196374,-1.042215943,1.387745738,0.019745046,1.433012247,1.043530464,0.241501793,-0.169935003,-0.150098324,0,0.039999999,0.039999999
1.396436095,-0.019643849,-1.441843867,-1.03368187,1.397847652,0.018756229,1.439582229,1.034501076,0.239682317,-0.169325143,-0.150098324,0,0.039999999,0.039999999
1.403953552,-0.018496415,-1.443850279,-1.029193878,1.404539108,0.017149765,1.443434477,1.028355718,0.238486826,-0.168924436,-0.150098324,0,0.039999999,0.039999999
1.410930276,-0.01694,-1.444781303,-1.026059747,1.410691977,0.016232666,1.444297194,1.026546717,0.23815389,-0.168812856,-0.150098324,0,0.039999999,0.039999999
