LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.418859363,0.197404683,-1.197790861,-0.449427962,1.422173023,-0.202451691,1.197612405,0.449092329,0.092309617,0.108874604,-0.170000032,0,0.300000012,0.300000012
1.423821688,0.20472753,-1.201066971,-0.437096328,1.426336527,-0.208085582,1.200865865,0.436507881,0.096101403,0.104498923,-0.170000032,0,0.300000012,0.300000012
1.421411157,0.206047297,-1.20912981,-0.433591783,1.428146482,-0.208333328,1.206920505,0.434449196,0.120739043,0.074495234,-0.165933594,-0.003659901,0.343740016,0.309951365
1.398401499,0.194118649,-1.234165788,-0.445607841,1.42162776,-0.196426883,1.224348307,0.450965762,0.26915288,-0.108281985,-0.150449857,-0.008471994,0.401250005,0.323035508
1.35420835,0.168218091,-1.274792075,-0.478419572,1.402076125,-0.15761362,1.267269135,0.514519632,0.427299976,-0.305430174,-0.139345363,-0.013284083,0.458759964,0.336119652
1.252297401,0.105471835,-1.346912146,-0.571476877,1.342499733,-0.125565365,1.294375777,0.578225434,0.592842162,-0.515911698,-0.131994516,-0.016469555,0.496829987,0.344781011
1.200067997,0.069354624,-1.377071738,-0.654496551,1.275256157,-0.095455028,1.309449792,0.653090298,0.724131703,-0.690507948,-0.135340646,-0.016943987,0.496549934,0.343442589
1.162415504,0.039922606,-1.394291878,-0.756989539,1.176872253,-0.068472855,1.313399076,0.742683232,0.814686477,-0.821000695,-0.166547343,-0.016943987,0.454738408,0.310836047
1.135802269,0.016857933,-1.404507399,-0.879481018,1.041392565,-0.043099076,1.313636065,0.850542605,0.875154853,-0.918025613,-0.217918366,-0.016943989,0.385910302,0.277021825
1.116688967,-0.000403784,-1.410939455,-1.013547063,0.847830176,-0.017375829,1.317364216,0.978708506,0.913899064,-0.988577902,-0.277931243,-0.016943986,0.305503547,0.241502717
1.103119135,-0.012592955,-1.415351033,-1.145683289,0.64510715,0.001271568,1.324561834,1.099372387,0.938122869,-1.037807703,-0.335063487,-0.016943987,0.196954638,0.211098403
1.090365648,-0.021834584,-1.418543935,-1.261420012,0.473680943,0.012520958,1.329023719,1.201922894,0.961619258,-1.080754757,-0.390155256,-0.016943987,0.155143097,0.192628399
1.070484638,-0.030316306,-1.420863867,-1.368258476,0.317642838,0.022021927,1.335594296,1.294011235,0.977517188,-1.094328284,-0.394596249,-0.016943987,0.15145345,0.189999998
1.032420635,-0.032389708,-1.416062474,-1.395804167,0.300803155,0.024634676,1.338757992,1.328035831,1.006580949,-1.103246808,-0.394596249,-0.016943987,0.157283023,0.189999998
0.951084375,-0.032812331,-1.405112147,-1.403077006,0.40777421,0.025620505,1.339623094,1.33754766,1.027970195,-1.105730534,-0.394596279,-0.016943989,0.165254056,0.190000013
0.758459806,-0.031519096,-1.381444335,-1.395769358,0.52925545,0.024713716,1.342842817,1.340766311,1.049305797,-1.106989622,-0.394596249,-0.016943987,0.17393893,0.189999998
0.597874522,-0.028916374,-1.367454171,-1.383472919,0.670609832,0.022655249,1.345131278,1.342116475,1.06896317,-1.107627869,-0.394596279,-0.016943987,0.181909978,0.189999998
0.451308399,-0.02593936,-1.354393601,-1.370740056,0.805433512,0.019992514,1.34638238,1.342848182,1.085235596,-1.107951403,-0.394596279,-0.016943989,0.187739566,0.189999998
0.343673021,-0.024115687,-1.345522761,-1.360798597,0.902415454,0.016957624,1.347575068,1.343395233,1.096374393,-1.108115435,-0.394596249,-0.016943987,0.189312756,0.189999998
0.29875654,-0.024336679,-1.344759822,-1.35603869,0.939865291,0.013592324,1.346805334,1.344349742,1.099620581,-1.1082232,-0.394596219,-0.016943987,0.184483528,0.189999983
0.336773992,-0.027455442,-1.350086927,-1.359641433,0.91033721,0.01168879,1.343120217,1.345844865,1.085759878,-1.108253241,-0.394596279,-0.016943989,0.176533878,0.189999998
