LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.392072082,0.147667125,-1.182714462,-0.477325946,1.363352895,-0.138678789,1.18560648,0.464473367,-0.002071656,0.141187146,-0.170000032,0,0.300000012,0.300000012
1.401573777,0.178367019,-1.204595089,-0.451689988,1.389404774,-0.1696098,1.200187445,0.447878093,0.048260644,0.105422959,-0.169751525,0,0.35167408,0.325841933
1.389610887,0.190855131,-1.234615088,-0.456157118,1.399026394,-0.180745408,1.203735113,0.42855826,0.081365936,0.077221155,-0.168858156,0,0.431577533,0.365801245
1.348158002,0.197543204,-1.323321342,-0.497745752,1.401232719,-0.17726925,1.204092145,0.416192114,0.090621047,0.040721297,-0.166876957,0,0.534447193,0.417245805
1.197806239,0.19473134,-1.413051724,-0.560982108,1.395730615,-0.166939631,1.203918338,0.403823376,0.095348671,-0.003105849,-0.163374424,0,0.648800015,0.474433005
1.056947231,0.191889375,-1.517006993,-0.630745769,1.386045337,-0.151685536,1.203626513,0.391849279,0.097781867,-0.051184729,-0.157917097,0,0.763152838,0.531620204
0.911143601,0.190409347,-1.623224139,-0.700739145,1.37434411,-0.134788364,1.203135252,0.381031811,0.099049032,-0.099372759,-0.150071502,0,0.866022527,0.583064795
0.782473862,0.189908221,-1.71858418,-0.764124811,1.361458063,-0.117375866,1.202990413,0.371924907,0.099718533,-0.161535189,-0.132876843,0,0.97367692,0.636902153
0.68307668,0.18980968,-1.792832017,-0.81366998,1.34908855,-0.101682566,1.203304291,0.363419503,0.100182898,-0.188945144,-0.11716412,0,0.997600019,0.648865998
0.626108885,0.189799398,-1.837083817,-0.843230963,1.338846087,-0.085343458,1.204784393,0.36153993,0.100314587,-0.203422442,-0.09370748,0,0.997600019,0.648865938
0.61864543,0.189792648,-1.866159678,-0.86265415,1.32764256,-0.078382537,1.206290722,0.361134678,0.100381352,-0.210761622,-0.060872328,0,0.997600079,0.648865938
0.691743314,0.18979077,-1.87425673,-0.868063152,1.322308183,-0.073427901,1.208031058,0.361334652,0.100415193,-0.214482173,-0.022181248,0,0.997600019,0.648865998
0.78272593,0.189789832,-1.878361583,-0.870805204,1.318275213,-0.069891356,1.209874272,0.361736894,0.100432351,-0.216368288,0.018843293,0,0.997600019,0.648865998
0.893217564,0.189789355,-1.8804425,-0.872195303,1.315266132,-0.067372434,1.2117033,0.362165481,0.100441054,-0.217324436,0.058678653,0,0.997600138,0.648866057
1.009704232,0.189789101,-1.881497264,-0.872900009,1.313052416,-0.065584913,1.213408351,0.3625516,0.100445457,-0.217809156,0.093802333,0,0.997599959,0.648866057
1.118149996,0.189788982,-1.882032156,-0.873257279,1.311444998,-0.064315453,1.214882851,0.362874806,0.100447692,-0.218054891,0.129947811,0,0.997599959,0.648865938
1.204253912,0.189788908,-1.882303238,-0.873438358,1.310285091,-0.063399062,1.216020346,0.363242328,0.100449152,-0.21821633,0.137881011,0,0.997600019,0.648865998
1.255898118,0.189788878,-1.882440686,-0.873530209,1.309106588,-0.062425848,1.216966629,0.363419652,0.10044957,-0.218261302,0.129112124,0,0.997599959,0.648865998
1.282078743,0.189788863,-1.882530928,-0.873590529,1.308578849,-0.061965574,1.217275858,0.363553971,0.100449778,-0.218284085,0.109373219,0,0.997600019,0.648865998
1.298887134,0.189815328,-1.882666349,-0.873604417,1.308195114,-0.061618827,1.217458963,0.363654703,0.100449882,-0.218295649,0.088515908,0,0.997600198,0.648866057
1.30400002,0.18928732,-1.880940318,-0.871824324,1.307916641,-0.061359465,1.217570543,0.363729715,0.100920305,-0.218303233,0.067407846,0,0.979737401,0.648865998
1.312612295,0.182942078,-1.862105966,-0.853255689,1.307714701,-0.061166517,1.217665672,0.36380738,0.11073862,-0.218305349,0.053101212,0,0.933120251,0.648865998
1.32878828,0.16787754,-1.817508578,-0.809378743,1.307510734,-0.060966805,1.217702508,0.363842607,0.125475764,-0.218306422,0.038786307,0,0.868204951,0.648865998
1.35108614,0.133708984,-1.710325718,-0.702869177,1.307420254,-0.060876198,1.217727184,0.363868564,0.145269454,-0.218306959,0.025422815,0,0.79544729,0.648865998
1.389253378,0.1085063,-1.625516176,-0.618185818,1.30735445,-0.060809545,1.217743993,0.363887608,0.167550921,-0.218307242,0.013970569,0,0.72530359,0.648865998
1.401690364,0.090807058,-1.54453373,-0.541241765,1.307306767,-0.060760587,1.217755795,0.363901585,0.18922013,-0.218307376,0.005389305,0,0.668230295,0.648865998
1.409388304,0.079273,-1.478501439,-0.481314331,1.307272077,-0.060724683,1.21776402,0.363911837,0.206907749,-0.21830745,0.000638812,0,0.634683609,0.648865998
1.416760445,0.073382184,-1.437805533,-0.444961935,1.307236791,-0.060687996,1.217772126,0.363922298,0.220794693,-0.21830751,0,0,0.629999995,0.648865998
1.426243782,0.07175798,-1.409969091,-0.420328736,1.307221055,-0.060671527,1.217777133,0.363928854,0.225807086,-0.21830751,0,0,0.629999995,0.648865998
1.431198478,0.072628886,-1.401737809,-0.41292882,1.307205081,-0.060654718,1.217779279,0.363931805,0.227202952,-0.21830751,0,0,0.629999995,0.648865998
1.43512094,0.074655138,-1.395913363,-0.407448173,1.307198048,-0.06064719,1.217780828,0.363933951,0.227910578,-0.21830751,0,0,0.629999995,0.648865998
1.439417005,0.075978003,-1.394104838,-0.405597389,1.307192922,-0.060641695,1.217781901,0.3639355,0.228269309,-0.21830751,0,0,0.629999995,0.648865998
1.44146359,0.077129692,-1.393081903,-0.404453218,1.307187676,-0.060636096,1.217783093,0.36393711,0.228505015,-0.21830751,0,0,0.629999995,0.648865998
1.44302237,0.078489974,-1.392286897,-0.403443068,1.307185292,-0.060633589,1.21778357,0.363937825,0.228570655,-0.21830751,0,0,0.629999995,0.648865998
1.444686413,0.079173736,-1.392006636,-0.403031111,1.307183504,-0.060631767,1.217783928,0.363938332,0.228603929,-0.21830751,0,0,0.629999995,0.648865998
1.445468426,0.079710171,-1.391829371,-0.402740836,1.307182193,-0.060630426,1.217784166,0.363938719,0.228620797,-0.21830751,0,0,0.629999995,0.648865998
