LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.410680294,0.196896955,-1.214607239,-0.447647214,1.425636768,-0.206047729,1.211495757,0.446573764,0.102423616,0.112158723,-0.170000032,0,0.300000012,0.300000012
1.426800609,0.205760255,-1.219514728,-0.446588039,1.43445909,-0.210071355,1.218689919,0.446657628,0.101407662,0.101623617,-0.169913441,0.000228665,0.28406921,0.28406921
1.453771234,0.20855549,-1.259382367,-0.479330093,1.459322572,-0.211215332,1.257554889,0.484422743,0.10147503,0.081513658,-0.169671059,0.000899726,0.217501163,0.217501163
1.496264458,0.207031921,-1.331900835,-0.546298623,1.500387669,-0.207689166,1.328623414,0.559345543,0.102349482,0.050009746,-0.169072032,0.002686813,0.160605356,0.160605356
1.576962233,0.193797231,-1.476230264,-0.689542949,1.578270555,-0.191291928,1.471479535,0.713358641,0.104475185,-0.010025907,-0.16855368,0.004365866,0.106440589,0.106440589
1.62767601,0.17914781,-1.571076274,-0.790775776,1.627918243,-0.175253287,1.566184998,0.816040039,0.105938584,-0.048843563,-0.167970374,0.006408918,0.065930769,0.065930769
1.666443467,0.163448095,-1.640606761,-0.876677454,1.665595174,-0.159988597,1.637463808,0.893013477,0.107030369,-0.077395715,-0.167348117,0.008793566,0.050000001,0.050000001
1.682018399,0.1499805,-1.669783711,-0.935802817,1.687553883,-0.149095938,1.678013325,0.934744298,0.106932536,-0.095298842,-0.166398495,0.012962033,0.074744828,0.05092654
1.645579457,0.135073423,-1.638926625,-0.984865546,1.705230117,-0.138397634,1.709074259,0.96217525,0.102165751,-0.096561283,-0.16579245,0.016102675,0.112835266,0.052492019
1.580136299,0.125237003,-1.577159047,-0.999822676,1.712103367,-0.133226395,1.720509291,0.969290018,0.095451824,-0.092174649,-0.165238366,0.019506518,0.188200787,0.056065816
1.486655235,0.112896048,-1.492002249,-1.007007003,1.716916442,-0.128914416,1.728462815,0.972145736,0.086051092,-0.083475448,-0.164762199,0.025056774,0.242337197,0.05915102
1.373494506,0.096779086,-1.393561482,-1.011456847,1.720451951,-0.125142559,1.734460235,0.972635686,0.067649961,-0.064164862,-0.164250851,0.029020611,0.29297933,0.062706836
1.229467034,0.063040376,-1.249028206,-1.032183051,1.724261165,-0.120136455,1.741368055,0.970987976,0.053131502,-0.047982495,-0.164083123,0.033169243,0.334462762,0.066654839
1.091953993,0.040797889,-1.166537404,-1.04839015,1.726132512,-0.117113367,1.745083213,0.968993425,0.037206568,-0.029712923,-0.16406092,0.037480272,0.361628473,0.070916608
0.916748822,0.019916782,-1.090008736,-1.069828033,1.727619767,-0.114296027,1.748281956,0.966575027,0.019077996,-0.00978227,-0.16406095,0.041931309,0.375792295,0.075413674
0.826878428,0.000857655,-1.013471842,-1.096968889,1.72880125,-0.111667298,1.751051426,0.96387738,-0.001697676,0.022347728,-0.164060935,0.048821356,0.383432209,0.082428902
0.75271827,-0.016559273,-0.937963665,-1.128196597,1.72973156,-0.109219797,1.754515648,0.959519446,-0.036977839,0.044686552,-0.164060935,0.05352439,0.386553735,0.087171093
0.687498689,-0.032256387,-0.867962897,-1.175994396,1.730742216,-0.105884172,1.75641799,0.956514239,-0.062099017,0.067310274,-0.16406095,0.058289021,0.393777013,0.091874056
0.632367551,-0.04464997,-0.781154513,-1.203149438,1.731204748,-0.103885166,1.758028507,0.953502178,-0.087366574,0.089835577,-0.16406095,0.06309285,0.409969866,0.096459374
0.560226083,-0.056569465,-0.743733048,-1.222058535,1.731528521,-0.102068156,1.75937295,0.950540841,-0.111719519,0.111880168,-0.164060935,0.067913488,0.439999998,0.100848585
0.514681697,-0.058837131,-0.72504288,-1.216802001,1.731736779,-0.100435406,1.760476112,0.94768554,-0.134988517,0.133062258,-0.163096607,0.072728507,0.492781788,0.104963273
0.469198525,-0.054675985,-0.719366968,-1.163515925,1.731851101,-0.09898936,1.761361957,0.944990396,-0.158371866,0.153000399,-0.160333306,0.077515535,0.567435384,0.108724996
0.424180835,-0.044158466,-0.722437441,-1.060318112,1.731892109,-0.097732477,1.762054443,0.942509115,-0.182468608,0.17974095,-0.153240666,0.084594578,0.698936343,0.113534182
0.380830169,-0.028696578,-0.731266558,-0.91892314,1.731859922,-0.096207224,1.762782335,0.939304888,-0.220249623,0.19490087,-0.146830738,0.08921361,0.785291433,0.11607033
0.34089306,-0.001712814,-0.750372648,-0.677499354,1.731804609,-0.095434025,1.763095021,0.937591732,-0.246403784,0.207482293,-0.139302552,0.093726225,0.859135926,0.11797896
0.286765009,0.015654517,-0.763146996,-0.531209469,1.731744885,-0.094858661,1.763297558,0.936279297,-0.273109972,0.217103958,-0.130850524,0.09811008,0.910646796,0.119181655
0.26453197,0.028283533,-0.772191823,-0.426621974,1.731699705,-0.094483785,1.763413668,0.93542099,-0.300129056,0.223384723,-0.121669188,0.102342695,0.930000007,0.119599998
0.252858132,0.034991249,-0.776982188,-0.371171564,1.731677294,-0.094278745,1.763471723,0.934970438,-0.327201396,0.226674572,-0.106955163,0.108359151,0.930000007,0.119599998
0.246940136,0.038391683,-0.779410601,-0.343061328,1.731666803,-0.094168983,1.763499975,0.934741855,-0.367318004,0.228836194,-0.096801393,0.1121158,0.930000067,0.119599998
0.24394004,0.040115517,-0.780641735,-0.324797988,1.731660724,-0.094091609,1.763517499,0.93459177,-0.393332154,0.229438171,-0.08659903,0.115642838,0.929999948,0.119599998
0.251370698,0.041248169,-0.785414338,-0.322006702,1.731659174,-0.094068155,1.76352191,0.934550166,-0.418437362,0.229743332,-0.076542519,0.118917875,0.930000007,0.119599991
0.314084619,0.041563593,-0.795035601,-0.32569316,1.73165834,-0.094055377,1.763523936,0.934529185,-0.442354023,0.229898036,-0.066826358,0.121918514,0.930000067,0.119600005
0.392092913,0.041723493,-0.811183751,-0.33553794,1.731657863,-0.094048403,1.763524771,0.934518576,-0.464802206,0.22997646,-0.057645023,0.124622352,0.929999948,0.119599991
0.491693646,0.041804556,-0.833991408,-0.351399541,1.731657624,-0.094044559,1.763525128,0.934513271,-0.485501587,0.230016217,-0.04919298,0.127007008,0.930000007,0.119599998
0.60301578,0.041845649,-0.86315906,-0.373226732,1.731657505,-0.09404242,1.763525367,0.934510648,-0.504171729,0.230036378,-0.041664794,0.129050076,0.930000067,0.119600005
0.713892043,0.040958837,-0.901461124,-0.402231067,1.731657505,-0.094041236,1.763525367,0.934509337,-0.52053225,0.230046585,-0.035254933,0.131425142,0.907687545,0.119599998
0.843094349,0.031785503,-0.960847139,-0.449884862,1.731657386,-0.09404058,1.763525367,0.934508741,-0.534302652,0.230051771,-0.028162234,0.132516205,0.85860002,0.119599998
0.985571086,0.015259095,-1.039233446,-0.51447463,1.731657386,-0.0940402,1.763525367,0.934508443,-0.545202434,0.230054393,-0.02539894,0.133187279,0.809512436,0.119599998
1.109260201,0.003075659,-1.11739254,-0.578980625,1.731657386,-0.094039999,1.763525367,0.934508204,-0.555555999,0.230056107,-0.024434609,0.133415937,0.787199974,0.119599998
1.193046808,-0.004657463,-1.166546583,-0.621159315,1.731657386,-0.094039835,1.763525367,0.934508204,-0.558731318,0.230056599,-0.024434609,0.133415937,0.787199974,0.119599998
1.247575164,-0.00521663,-1.196970463,-0.652731776,1.731657386,-0.094039783,1.763525367,0.934508204,-0.560341001,0.230056852,-0.024434609,0.133415937,0.787199974,0.119599998
1.266059279,-0.00411819,-1.204541802,-0.661647499,1.731657386,-0.094039753,1.763525367,0.934508204,-0.561398685,0.230057001,-0.024434609,0.133415937,0.787199974,0.119599998
