LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.400250196,0.201176181,-1.212895751,-0.447972775,1.440888524,-0.224233195,1.203013659,0.413982511,0.098112948,0.09702611,-0.170000032,0,0.300000012,0.300000012
1.417072058,0.207193658,-1.207663536,-0.43994534,1.442935348,-0.224370465,1.202256918,0.427052319,0.092665784,0.106242239,-0.16597344,0.000687492,0.295369774,0.293429375
1.425446868,0.208646089,-1.205135942,-0.461577922,1.446791887,-0.223711044,1.201245785,0.471048146,0.066537432,0.135527223,-0.154677346,0.002580741,0.282674104,0.275820047
1.432044864,0.206188828,-1.202936292,-0.509936273,1.452042222,-0.220870808,1.200157642,0.553086519,0.016389478,0.189602911,-0.137287229,0.0054259,0.263705224,0.250325948
1.436389446,0.198934779,-1.201169848,-0.583244026,1.456940889,-0.214447409,1.199618578,0.669090986,-0.056021322,0.310068697,-0.102347106,0.010923197,0.227410376,0.204200014
1.43694365,0.179575652,-1.200000763,-0.729121208,1.45917666,-0.197199285,1.201335073,0.884303331,-0.195865706,0.406893879,-0.074864678,0.015037575,0.200600013,0.172792315
1.434047818,0.162252888,-1.199992299,-0.841292262,1.456213117,-0.181461707,1.204676747,1.036416769,-0.30077827,0.507269204,-0.045402419,0.019215412,0.173789635,0.144538566
1.428575993,0.143266037,-1.200929403,-0.956629038,1.447125554,-0.164464131,1.21064806,1.178910017,-0.406921595,0.602153301,-0.015135819,0.02320287,0.148771614,0.122592583
1.416903138,0.120875224,-1.203483224,-1.069404602,1.434947848,-0.149069369,1.220543981,1.292650938,-0.507014036,0.682190597,0.014759624,0.026746102,0.118525915,0.108400002
1.402132034,0.099808298,-1.208321571,-1.168612123,1.426000237,-0.13839756,1.23427844,1.360088587,-0.593639493,0.739193618,0.043108337,0.030672744,0.105830178,0.129344001
1.389642954,0.077778727,-1.21917367,-1.269610524,1.421087623,-0.128380522,1.266205072,1.384170532,-0.681945205,0.791576445,0.080160201,0.031994835,0.101199999,0.186191991
1.377809525,0.069559976,-1.232036114,-1.296725512,1.423605084,-0.124179855,1.295730948,1.362778187,-0.709100962,0.813362181,0.100160986,0.032172002,0.127208188,0.319148988
