LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.395127177,0.173536137,-1.209022522,-0.449403465,1.456484318,-0.210327774,1.237469912,0.455795109,0.071160018,0.105665945,-0.170000032,0,0.300000012,0.300000012
1.410930395,0.193004906,-1.207000613,-0.436884671,1.445382357,-0.217968702,1.211551785,0.44020316,0.082937285,0.10936074,-0.16597344,0.000687492,0.295369774,0.293429375
1.419831991,0.200738788,-1.205374122,-0.461748511,1.446470141,-0.219225988,1.206181407,0.478532732,0.061605625,0.137108147,-0.154677346,0.002580741,0.282674104,0.275820047
1.427433133,0.203253314,-1.203572273,-0.510386348,1.451022267,-0.217669919,1.20280993,0.5574525,0.013889331,0.190404356,-0.137287229,0.0054259,0.263705224,0.250325948
1.433213234,0.200186715,-1.201210141,-0.583543897,1.455808043,-0.212137148,1.20105505,0.671702623,-0.057288766,0.266063184,-0.114978544,0.008969132,0.240255445,0.220100939
1.436325312,0.185663804,-1.200298309,-0.676938057,1.457930923,-0.202346921,1.201281309,0.81048584,-0.146722212,0.357697457,-0.088926837,0.012956589,0.214117199,0.188299045
1.434877634,0.16986227,-1.200016975,-0.784652174,1.457087398,-0.188531354,1.203264713,0.961584568,-0.248046935,0.457297295,-0.060307585,0.017134422,0.187082842,0.144538566
1.431053042,0.152266711,-1.200363636,-0.899264336,1.453159928,-0.173264921,1.207433701,1.109488249,-0.354312092,0.602190912,-0.015135819,0.02320287,0.148771614,0.122592583
1.416520953,0.120501116,-1.20353663,-1.069531441,1.434471726,-0.148696139,1.22070539,1.292885661,-0.5070737,0.682209671,0.014759624,0.026746102,0.127338216,0.110108376
1.401870608,0.099581428,-1.20836699,-1.168685794,1.425678015,-0.138169304,1.23438108,1.360218763,-0.593669713,0.739203334,0.043108337,0.029591257,0.111281849,0.113822997
1.389465809,0.083670929,-1.215164423,-1.243634582,1.421306372,-0.130994722,1.253921628,1.384749532,-0.659328938,0.77730304,0.068735056,0.031484511,0.102394953,0.153841004
1.380405426,0.072981186,-1.224434018,-1.287239552,1.421664,-0.125998333,1.280253768,1.376590252,-0.697972119,0.803460777,0.090464078,0.032172002,0.127208188,0.269967914
1.376445889,0.067099929,-1.242736459,-1.298639894,1.426271558,-0.122554518,1.312648773,1.320234895,-0.721403718,0.828486621,0.11914067,0.032172002,0.196910277,0.371696025
1.380980492,0.065511316,-1.294479966,-1.265125871,1.439115286,-0.119337812,1.369177818,1.263251781,-0.725362241,0.838910937,0.136611238,0.032172002,0.356080532,0.538312912
1.389758945,0.068059482,-1.343215585,-1.217713356,1.450084686,-0.118013933,1.40896678,1.164773464,-0.723115623,0.848746181,0.157475859,0.032172002,0.480399996,0.645650983
1.401596904,0.072469011,-1.399063349,-1.158043504,1.461814046,-0.116870522,1.465551019,1.099432945,-0.718962193,0.853031218,0.166150302,0.032172002,0.6047194,0.73952502
1.415109634,0.077948362,-1.457166195,-1.060931921,1.478762984,-0.116526693,1.497394443,1.041384935,-0.714102149,0.856619835,0.169296935,0.032172002,0.716554761,0.810958982
1.428924561,0.086492397,-1.536850452,-1.00155735,1.486977458,-0.116285406,1.521507978,0.997236431,-0.70941937,0.860410154,0.157685354,0.032172006,0.803422272,0.850977004
1.447273254,0.091276854,-1.576845765,-0.954879224,1.492401481,-0.116428077,1.53544724,0.971664906,-0.70566076,0.865176916,0.126566291,0.032172002,0.852837861,0.853938699
1.456093073,0.094403215,-1.600158572,-0.927282691,1.496539593,-0.116879053,1.538761258,0.962162197,-0.703567088,0.870713711,0.08151333,0.032172002,0.857078612,0.836480081
1.462073445,0.095221214,-1.606761575,-0.916936517,1.499628901,-0.117374413,1.533296585,0.964257121,-0.704094946,0.876431525,0.028099922,0.032172002,0.825387359,0.790113509
1.465371966,0.094111726,-1.600315809,-0.919032514,1.501905441,-0.117775902,1.521833062,0.974155486,-0.707315326,0.884301543,-0.055503406,0.032172002,0.791816235,0.75443083
1.467614174,0.091586441,-1.585072756,-0.928931296,1.503601551,-0.118016236,1.500602603,0.996122599,-0.71540463,0.888457239,-0.105433114,0.032172002,0.755441427,0.721875668
1.469070077,0.088296823,-1.565672636,-0.943090081,1.505575299,-0.118003309,1.488933444,1.010748267,-0.721157014,0.891273499,-0.144215912,0.032172002,0.722392797,0.698400021
1.470066667,0.083828062,-1.53941977,-0.964956582,1.50673902,-0.117752597,1.481572628,1.023160577,-0.725511253,0.892737091,-0.1662779,0.032172002,0.698800027,0.681224167
1.471345305,0.082114965,-1.52849865,-0.976718605,1.507712245,-0.117383666,1.476852059,1.034397364,-0.727798164,0.893412411,-0.168445587,0.032171998,0.681828558,0.663802922
1.47200048,0.081153326,-1.521095991,-0.987034142,1.508465528,-0.116935998,1.473648071,1.045093894,-0.728824198,0.893646717,-0.162113696,0.032171998,0.656243861,0.637877822
1.472422957,0.080665164,-1.515797853,-0.996570587,1.509008288,-0.116431884,1.471367836,1.055480957,-0.729106486,0.89355284,-0.143437237,0.032172002,0.63950789,0.621177375
1.472611308,0.080474913,-1.511852264,-1.00560534,1.509364009,-0.115606382,1.469020724,1.07049787,-0.728832424,0.893327534,-0.126729518,0.032172002,0.623353004,0.605299115
1.472586751,0.080513649,-1.507617116,-1.018353105,1.509607077,-0.115032971,1.467939138,1.079985499,-0.728351474,0.893033326,-0.1081063,0.032172002,0.608057082,0.590548158
1.472220778,0.080657974,-1.505603194,-1.026252627,1.509614944,-0.114460126,1.46713829,1.088874459,-0.727747917,0.892704725,-0.0888445,0.032171998,0.593898356,0.577229559
1.471467257,0.080847576,-1.504110098,-1.033713698,1.509528637,-0.113904648,1.466560483,1.096984982,-0.727082908,0.892368317,-0.070221297,0.032172002,0.581154883,0.565648496
1.470706582,0.081098534,-1.503033996,-1.040414095,1.509371758,-0.113383532,1.466161728,1.104126215,-0.726406157,0.892046928,-0.053513557,0.032172002,0.570104718,0.556109846
1.469967842,0.081361867,-1.502291322,-1.046240926,1.509166598,-0.112913735,1.465905547,1.110102177,-0.725761354,0.891761422,-0.039998412,0.032172002,0.561026037,0.548918903
1.469285846,0.0816027,-1.501812935,-1.051066875,1.508933902,-0.112512097,1.46575892,1.114713788,-0.725189388,0.891531706,-0.030952826,0.032172002,0.554196954,0.544380546
1.468698025,0.081794113,-1.501536489,-1.054756999,1.508693933,-0.112195201,1.465690851,1.11776042,-0.724729419,0.891377091,-0.027653869,0.032172002,0.549895525,0.542800009
1.468250632,0.081909172,-1.501405001,-1.057116508,1.508471012,-0.111967161,1.465670109,1.119387388,-0.724428296,0.891295791,-0.027653869,0.032172002,0.548779666,0.542800009
1.467951417,0.081953496,-1.501357198,-1.058683157,1.508208156,-0.111748636,1.465675235,1.120486259,-0.724230409,0.891242385,-0.027653869,0.032172002,0.548779666,0.542800009
