LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.420313835,0.195501566,-1.217600465,-0.455025941,1.42537415,-0.19950372,1.215623617,0.447706193,0.076819137,0.115845725,-0.170000032,0,0.300000012,0.300000012
1.425278306,0.206273004,-1.208433032,-0.435255915,1.430187702,-0.211422622,1.204064846,0.44004485,0.08121825,0.103315078,-0.15418759,0.00033924,0.31063056,0.302211106
1.419950604,0.211285114,-1.188585997,-0.421761841,1.43258357,-0.216434076,1.190636277,0.466884255,0.045424357,0.080905378,-0.112920932,0.001224575,0.338373721,0.308713764
1.406381369,0.211074233,-1.162961006,-0.411735058,1.432102919,-0.22059226,1.167768478,0.522890031,-0.024581216,0.044619385,-0.055456176,0.002457423,0.37700671,0.319312215
1.385908961,0.208212689,-1.129487634,-0.400755227,1.425896764,-0.222949207,1.136217237,0.602451921,-0.120355487,-0.004304433,0.008950654,0.003839208,0.420306802,0.333810657
1.361240864,0.203215644,-1.092267275,-0.389693141,1.411336422,-0.222367927,1.098017573,0.696203411,-0.22882317,-0.061973415,0.071043484,0.005171347,0.462051153,0.362442255
1.335935831,0.196924329,-1.056363702,-0.379758239,1.381954193,-0.215723217,1.057021499,0.794065177,-0.334560573,-0.123149291,0.121566124,0.006642078,0.508138478,0.385833859
1.312129855,0.190210551,-1.027778983,-0.372712076,1.316814303,-0.198810369,0.994106829,0.917925179,-0.451529831,-0.208437994,0.155408651,0.006981317,0.518769026,0.412440002
1.291304946,0.183231547,-1.006964087,-0.36833176,1.235363364,-0.174084827,0.955999315,0.979416311,-0.4852795,-0.254183978,0.151331887,0.006981317,0.515262425,0.447014362
1.285264373,0.182019845,-1.005574465,-0.368282408,1.123074293,-0.141523927,0.914822936,1.020204067,-0.491099417,-0.29145667,0.141139925,0.006981317,0.500962079,0.516064167
1.282493472,0.183151379,-1.010640025,-0.369202346,0.98247993,-0.099117592,0.871749759,1.047117352,-0.47816807,-0.321771175,0.121074528,0.006981316,0.489236921,0.567106903
1.281530261,0.186070636,-1.01927495,-0.370507479,0.82861495,-0.050398253,0.830668569,1.070066929,-0.442001373,-0.357500374,0.108971581,0.006981316,0.478826702,0.6169976
1.281710863,0.189635962,-1.028539062,-0.37181145,0.61240083,0.020517744,0.787381649,1.076785803,-0.41843161,-0.377024084,0.101455033,0.006981317,0.472361445,0.661314189
1.282197118,0.192645133,-1.037915468,-0.372996002,0.524978399,0.049027234,0.774127066,1.077319741,-0.403588355,-0.403505564,0.100372143,0.006981317,0.471430004,0.71583581
1.282631755,0.195027515,-1.040638685,-0.373272777,0.49000752,0.056946561,0.776067257,1.052216411,-0.393835515,-0.42058903,0.100372136,0.006981317,0.471430004,0.7532956
1.282796621,0.195812181,-1.042017341,-0.373376638,0.495116353,0.046280958,0.806114614,0.943208098,-0.39111954,-0.437382817,0.100372143,0.006981317,0.471430033,0.790820181
1.282907724,0.196270347,-1.042713523,-0.373406291,0.5551368,0.003530007,0.840300798,0.827907681,-0.389742672,-0.453634799,0.100372136,0.006981316,0.471430004,0.826849878
1.283013701,0.196632355,-1.043166518,-0.373397976,0.616549432,-0.036360592,0.881444693,0.690293729,-0.389044702,-0.468929678,0.100372136,0.006981317,0.471430004,0.85982573
1.283058643,0.19675833,-1.043290257,-0.373384953,0.68510443,-0.07990481,0.925280333,0.543669462,-0.388690829,-0.48276931,0.100372136,0.006981317,0.471429974,0.888187885
1.283090115,0.196835175,-1.043351531,-0.373372495,0.755604625,-0.125628889,0.966238201,0.402757049,-0.388511449,-0.494613647,0.100372128,0.006981317,0.471429974,0.910377264
1.283112168,0.19688262,-1.043381453,-0.373362273,0.815147281,-0.164328322,1.001475215,0.282757282,-0.388420522,-0.503901362,0.100372136,0.006981317,0.471430004,0.928676128
1.283127546,0.196912244,-1.043395877,-0.373354465,0.856404126,-0.191165924,1.033663273,0.17359297,-0.388360798,-0.511948705,0.100372143,0.006981317,0.471430004,0.930000007
1.283138275,0.196930945,-1.043402672,-0.373348743,0.884641349,-0.209535956,1.042917967,0.14221625,-0.388344169,-0.514250696,0.100372136,0.006981317,0.471430004,0.930000007
1.283145666,0.196942866,-1.043406487,-0.37334314,0.892504871,-0.214651674,1.047609687,0.126310021,-0.388335705,-0.515417695,0.100372136,0.006981317,0.471430004,0.930000067
1.283152699,0.196953267,-1.043407202,-0.373340786,0.89649123,-0.217245057,1.049988151,0.118246451,-0.388331413,-0.516009271,0.100372136,0.006981317,0.471430004,0.930000007
1.284705043,0.197183222,-1.045937419,-0.374083072,0.90710479,-0.218140811,1.053678036,0.119637974,-0.380492985,-0.505564034,0.091355421,0.006981316,0.46367389,0.899444997
