LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.429912925,0.211144358,-1.216466904,-0.450849831,1.436102033,-0.217317656,1.21449554,0.451504618,0.067443751,0.123009995,-0.170981288,-0.002267663,0.298902959,0.298902959
1.432382822,0.214164943,-1.209567547,-0.446322531,1.436791778,-0.218382969,1.204964042,0.45598048,0.077051081,0.120249592,-0.178009734,-0.018510457,0.290932238,0.290932238
1.437670231,0.219497293,-1.19987309,-0.503898263,1.443505764,-0.222021922,1.19720149,0.50329417,0.056940928,0.135431156,-0.18996726,-0.04614431,0.277050704,0.277050704
1.447705626,0.22208716,-1.191850662,-0.584384561,1.449249983,-0.224020079,1.186894774,0.583822131,0.016873866,0.167049512,-0.204663128,-0.09787868,0.249847367,0.249847367
1.452949524,0.222620785,-1.182161689,-0.689511538,1.453625202,-0.224278599,1.166254759,0.747414172,-0.075162053,0.240445629,-0.227049232,-0.1318409,0.230592325,0.230592325
1.454630136,0.220323905,-1.164772987,-0.867325366,1.453738332,-0.219776109,1.149349332,0.867221296,-0.153330907,0.302958637,-0.239006758,-0.159474716,0.212949306,0.212949306
1.452069879,0.210407436,-1.151618958,-0.980755091,1.446851492,-0.212173775,1.130506873,0.980562627,-0.241053939,0.373164952,-0.246035174,-0.175717473,0.199067801,0.199067801
1.436978102,0.200194657,-1.137248278,-1.072737217,1.435591578,-0.202042848,1.109664798,1.07248354,-0.334866554,0.448269308,-0.236923471,-0.177985176,0.191097096,0.191097096
1.422066092,0.188791275,-1.121867776,-1.129223943,1.422637582,-0.193362474,1.087090373,1.127083778,-0.431252122,0.525444984,-0.169156462,-0.177985191,0.196062818,0.196062818
1.405504346,0.178496033,-1.106030107,-1.14674449,1.404999256,-0.182006329,1.063667536,1.145294428,-0.526667774,0.601849437,-0.066785023,-0.177985191,0.238666356,0.238666356
1.389450431,0.169363618,-1.089585781,-1.132039785,1.387973905,-0.172398835,1.039400101,1.13100183,-0.617557049,0.674631834,0.035586391,-0.177985162,0.308798373,0.349271715
1.373747945,0.160513684,-1.072583795,-1.095232725,1.371413112,-0.163314566,1.014310002,1.094508886,-0.70035702,0.740937591,0.103353441,-0.177985176,0.390728205,0.431201696
1.358357191,0.15157634,-1.055223584,-1.047225475,1.354941249,-0.154412866,0.988730073,1.047046781,-0.771501124,0.797909975,0.108853839,-0.177985162,0.501333594,0.501333594
1.34330821,0.142437503,-1.037774444,-0.999377966,1.338433146,-0.145562366,0.963145554,0.979752183,-0.84855628,0.85961622,0.050218601,-0.177985162,0.543937147,0.543937147
1.328531027,0.13372992,-1.020628095,-0.963405013,1.322794795,-0.132803097,0.925335407,0.952548862,-0.87329644,0.879828274,-0.013436528,-0.177985176,0.546465397,0.546561182
1.314751506,0.124256596,-1.003974199,-0.93739897,1.302224874,-0.123220354,0.901096582,0.940753758,-0.85948211,0.872966349,-0.084781483,-0.177985162,0.520785272,0.521576643
1.301720023,0.111969434,-0.988175035,-0.929982543,1.289742351,-0.110899501,0.878277838,0.939982593,-0.799966276,0.83540082,-0.153563172,-0.177985191,0.476061493,0.478064299
1.283340335,0.087433115,-0.966729403,-0.926971436,1.27802825,-0.095681712,0.857336521,0.947030246,-0.699968636,0.731117368,-0.229500696,-0.177985162,0.388417304,0.392794222
1.272327065,0.068946548,-0.954099,-0.927157938,1.267023683,-0.068846278,0.830456734,0.966545522,-0.50011903,0.641661227,-0.247016445,-0.177985176,0.326381087,0.332438469
1.262383223,0.050081149,-0.943153679,-0.934060156,1.251991987,-0.049966935,0.816217005,0.98208797,-0.355680048,0.548002362,-0.247016445,-0.177985176,0.269538522,0.27713567
1.249619722,0.025379166,-0.933193564,-0.938795567,1.245054722,-0.037886165,0.807881951,0.991646171,-0.22167024,0.461064458,-0.247016445,-0.177985176,0.209161371,0.218394011
1.243861794,0.015483739,-0.93033886,-0.948828757,1.238656044,-0.026633136,0.802716732,1.00139153,-0.115426317,0.367980987,-0.247016445,-0.177985176,0.195600003,0.205200002
1.239680767,0.009701747,-0.929746389,-0.965864003,1.231612086,-0.016297206,0.800321341,1.011314511,-0.032866396,0.338550717,-0.247016445,-0.177985176,0.195600003,0.205200002
1.23453331,0.004776875,-0.93101418,-0.971855819,1.228268385,-0.012382692,0.800785244,1.016710281,-0.00306688,0.319213361,-0.247016445,-0.177985176,0.195600003,0.205200002
1.231878281,0.002878362,-0.932156205,-0.976847708,1.224651814,-0.008830577,0.801465511,1.01890552,0.005231755,0.31382826,-0.247016445,-0.177985176,0.195600003,0.205200002
1.228911161,0.00113201,-0.933656931,-0.978701055,1.222929835,-0.007372851,0.802144408,1.020417333,0.009438697,0.311098307,-0.247016445,-0.177985176,0.195600003,0.205200002
1.227483273,0.000408226,-0.934432983,-0.979896963,1.221615076,-0.006355075,0.802738011,1.021472096,0.011571382,0.309714377,-0.247016445,-0.177985176,0.195600003,0.205200002
1.226396322,-9.87E-05,-0.935038388,-0.980682373,1.220614433,-0.005633338,0.80322516,1.022216797,0.012652534,0.3090128,-0.247016445,-0.177985176,0.195600003,0.205200002
1.225576043,-0.000457815,-0.935500443,-0.981206954,1.219855189,-0.005115089,0.803611279,1.022748232,0.013200617,0.30865714,-0.247016445,-0.177985176,0.195600003,0.205200002
1.224961281,-0.000714335,-0.935848534,-0.981562734,1.219280362,-0.004739236,0.803910971,1.023130894,0.013478464,0.308476835,-0.247016445,-0.177985176,0.195600003,0.205200002
1.224320412,-0.000970541,-0.936212242,-0.981899917,1.218670964,-0.004355835,0.804233968,1.023517966,0.013661026,0.308358371,-0.247016445,-0.177985176,0.195600003,0.205200002
