LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.406007767,0.207731053,-1.218640447,-0.424168527,1.396299958,-0.205766305,1.218366027,0.423965752,0.070361272,0.125197276,-0.170000032,0,0.300000012,0.300000012
1.416904807,0.210908443,-1.211510897,-0.425037324,1.410620451,-0.209794134,1.208068967,0.42976585,0.082363099,0.114214189,-0.161145747,-0.001147607,0.298717856,0.298717856
1.42145586,0.2130519,-1.205801487,-0.438157499,1.416947007,-0.208760232,1.1990484,0.452951849,0.079179779,0.113791712,-0.13676244,-0.004423503,0.295186967,0.295186967
1.418133497,0.211054593,-1.195334315,-0.49861595,1.409496427,-0.202164873,1.185853362,0.498899698,0.062284991,0.122137442,-0.100119367,-0.009577299,0.289880812,0.289880812
1.396317601,0.204462752,-1.186511755,-0.567557812,1.392270684,-0.189139754,1.168496251,0.567561805,0.033489108,0.137822032,-0.054485761,-0.016358614,0.283272773,0.283272773
1.365276933,0.190784335,-1.177870512,-0.657887399,1.36575985,-0.169490367,1.147755742,0.655979753,-0.005226796,0.159600183,0.023670251,-0.029034451,0.271955311,0.271955311
1.32691586,0.173642009,-1.16827774,-0.763109267,1.327415109,-0.14084366,1.125843287,0.760478318,-0.051795129,0.201186463,0.077477016,-0.038789108,0.264163703,0.264163703
1.272210121,0.149984315,-1.160277367,-0.882044911,1.28271091,-0.109333798,1.102578163,0.874565899,-0.131745771,0.233255193,0.128831834,-0.049294926,0.256727189,0.256727189
1.209904432,0.12644361,-1.15426147,-1.002392769,1.219536424,-0.068711348,1.072876453,1.054496288,-0.188662171,0.267544717,0.174465448,-0.060301516,0.25011915,0.25011915
1.153525472,0.107099757,-1.148942947,-1.161374807,1.134486556,-0.018809434,1.05645597,1.158021808,-0.245966032,0.302990019,0.211108431,-0.071558498,0.244813055,0.244813055
1.085333109,0.084845111,-1.143054366,-1.243889689,1.088590503,0.007256169,1.043924809,1.241287947,-0.301505089,0.33853054,0.235491842,-0.082815468,0.24128215,0.24128215
1.055156946,0.075079553,-1.14110148,-1.29953897,1.055246711,0.026009701,1.036681533,1.29719007,-0.353124797,0.37310791,0.244346097,-0.093822077,0.248918489,0.248918489
1.056908607,0.068190679,-1.151303411,-1.328782678,1.037213445,0.040574364,1.060185909,1.314622402,-0.425600231,0.448243141,0.17928642,-0.11408253,0.362785161,0.362785161
