LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.443333507,0.224583253,-1.203815222,-0.4182657,1.404174685,-0.191317081,1.197458863,0.443814903,0.094250038,0.108928002,-0.170000032,0,0.300000012,0.300000012
1.442953467,0.224561065,-1.20292604,-0.418605238,1.412991881,-0.20098573,1.20271492,0.437876821,0.092406034,0.113254786,-0.161111102,0,0.303112507,0.316303521
1.443137765,0.224855959,-1.203040838,-0.421676666,1.41463697,-0.210634142,1.209757686,0.443983048,0.075172015,0.174128816,-0.119820528,0,0.318188667,0.39203608
1.443569064,0.225825995,-1.204269528,-0.432456881,1.400035381,-0.226125762,1.225926399,0.477586657,0.016512975,0.253944099,-0.078673363,0,0.333997607,0.467505634
1.444413066,0.226698637,-1.205760121,-0.443536937,1.377469182,-0.236655965,1.239251494,0.514941037,-0.04177051,0.359411895,-0.030644404,0,0.353468955,0.555597305
1.444955349,0.227622017,-1.207740426,-0.457185,1.347679019,-0.245915845,1.251934171,0.56125015,-0.111221805,0.482209563,0.020825408,0,0.387772918,0.697595775
1.445394754,0.228486344,-1.210154772,-0.47277233,1.304004192,-0.253717691,1.263221264,0.617397368,-0.226611644,0.677436054,0.096954837,0,0.412860066,0.789631844
1.445688725,0.229192078,-1.212936163,-0.489595145,1.249110937,-0.261600554,1.270341754,0.705115199,-0.304042578,0.799820185,0.141973078,0,0.438777387,0.872201443
1.445821762,0.229652852,-1.217628479,-0.515498936,1.185778737,-0.266152352,1.257730842,0.756838441,-0.37610358,0.90391463,0.178389028,0,0.464715689,0.938993275
1.445744157,0.229731843,-1.220981717,-0.532070339,1.159263134,-0.260942608,1.224410534,0.799250185,-0.43777445,0.979765713,0.202761948,0,0.489865661,0.98369658
1.44555366,0.229306385,-1.22441566,-0.547142744,1.149419904,-0.247024983,1.160757065,0.82867378,-0.484007746,1.018009305,0.211650848,0,0.524342537,0.99623996
1.444696903,0.228255466,-1.228021741,-0.560069501,1.126181602,-0.230246425,1.098338366,0.844729543,-0.509728789,1.029251456,0.198481873,0,0.543981552,0.970479965
1.44401288,0.227051064,-1.231521845,-0.569807172,1.090408564,-0.217884704,1.070151925,0.852965236,-0.49873516,1.045115471,0.177190974,0,0.560000002,0.930000007
1.443480015,0.225749418,-1.234945774,-0.575627506,1.052833676,-0.187796861,1.023855925,0.866062105,-0.462111235,1.049261332,0.148265928,0,0.573658705,0.880920112
1.44347775,0.224461585,-1.240653872,-0.577313542,0.997139573,-0.158811301,0.971686304,0.894421339,-0.423708856,1.044330955,0.113742433,0,0.586695433,0.823759973
1.444976211,0.222929224,-1.24512887,-0.574501216,0.957498074,-0.123219267,0.905771792,0.944203794,-0.393295616,1.0307374,0.07565634,0,0.604878664,0.729695022
1.446926236,0.222216293,-1.250127077,-0.569173276,0.916972399,-0.086096533,0.788593471,1.053729534,-0.368256569,0.997487247,0.016300548,0,0.615949392,0.665984988
1.449593782,0.221694201,-1.258291125,-0.557618797,0.854583561,-0.026846403,0.70591706,1.141584277,-0.364286631,0.9697932,-0.021785516,0,0.626069307,0.605114877
1.454676032,0.221753299,-1.263919592,-0.548324406,0.81420964,0.009501388,0.625985265,1.231905937,-0.368064195,0.94041425,-0.056309048,0,0.635144651,0.550205052
1.458544374,0.222144514,-1.269472599,-0.538390756,0.771793962,0.029030448,0.559025407,1.311604023,-0.376937628,0.911817193,-0.085234098,0,0.643081367,0.504374981
1.462575078,0.222857356,-1.274751782,-0.528363943,0.731910765,0.038898505,0.508261204,1.375827432,-0.388062239,0.886518836,-0.106525049,0,0.649785697,0.470744967
1.466583371,0.223845035,-1.279546857,-0.518782198,0.70079422,0.046675935,0.473453999,1.423052907,-0.398500144,0.867061317,-0.119693987,0,0.657325864,0.449999988
1.470404625,0.225010753,-1.28363204,-0.510173798,0.683330297,0.056498118,0.44642055,1.46303916,-0.406258523,0.852104783,-0.119693987,0,0.660538077,0.449999988
1.473849893,0.226266444,-1.286788464,-0.500267267,0.674314082,0.072067268,0.436738014,1.477741241,-0.401587844,0.84793967,-0.119693987,0,0.662189186,0.449999988
1.476707697,0.227531523,-1.289380789,-0.496354729,0.673034847,0.08128351,0.430467635,1.487843752,-0.39042151,0.845828176,-0.119693987,0,0.662400007,0.449999988
1.479750037,0.229219273,-1.290017724,-0.494077116,0.673204243,0.08921428,0.426068604,1.495146513,-0.384760797,0.844757795,-0.119693987,0,0.662400007,0.449999988
1.481150866,0.230098024,-1.2902776,-0.49270907,0.673961341,0.095825605,0.422800988,1.500607014,-0.381891131,0.844215155,-0.119693987,0,0.662400007,0.449999988
1.482190132,0.230782956,-1.290363789,-0.491860479,0.674900651,0.101254299,0.420265913,1.504798532,-0.380436361,0.843940079,-0.119693987,0,0.662400007,0.449999988
1.482958198,0.231304079,-1.290374398,-0.491317511,0.675836802,0.108829983,0.416293174,1.510490656,-0.379480511,0.843759298,-0.119693987,0,0.662400007,0.449999988
1.483524084,0.231850639,-1.290342569,-0.490828156,0.678160489,0.11309246,0.414076209,1.513602614,-0.379214317,0.843708992,-0.119693987,0,0.662400007,0.449999988
1.484104753,0.23209995,-1.290315151,-0.490628749,0.678737283,0.115614422,0.413091332,1.515331864,-0.379079372,0.843683481,-0.119693987,0,0.662400007,0.449999988
1.484366298,0.232283562,-1.290290475,-0.490490407,0.678982317,0.11712043,0.412681699,1.516306877,-0.379010975,0.843670547,-0.119693987,0,0.662400007,0.449999988
