LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.435606003,0.206072658,-1.194151282,-0.417130411,1.438264251,-0.195687264,1.249711871,0.42968899,0.075498961,0.088798992,-0.170000032,-5.82E-11,0.300000012,0.300000012
1.437631845,0.215345487,-1.199789047,-0.419848651,1.433658719,-0.210254639,1.222463846,0.43012774,0.080599852,0.107234493,-0.156911865,-5.82E-11,0.304662555,0.324005514
1.43920362,0.219035164,-1.201852322,-0.424801648,1.426563144,-0.21964851,1.221820951,0.444596112,0.059262171,0.160595596,-0.121835582,-5.82E-11,0.317644745,0.388340175
1.440851092,0.221877828,-1.20377326,-0.434016317,1.409876466,-0.230531037,1.230477095,0.475795537,0.011003187,0.255537808,-0.07105352,-5.82E-11,0.337438166,0.481481433
1.442431808,0.224237785,-1.205991745,-0.447432339,1.381943226,-0.242001072,1.243754029,0.522418678,-0.059713922,0.385338187,-0.010847935,-5.82E-11,0.376600206,0.649999976
1.443818569,0.226225451,-1.208680272,-0.464327335,1.345748663,-0.252028257,1.25619173,0.580323517,-0.145851418,0.536202967,0.083386853,-5.82E-11,0.406823248,0.764746249
1.444918752,0.22782965,-1.211863995,-0.483630449,1.282824993,-0.260069668,1.267807841,0.686728418,-0.285505891,0.763984919,0.139665931,-5.82E-11,0.438578606,0.867969871
1.445681691,0.228986889,-1.215484262,-0.514311314,1.202262282,-0.264943868,1.253361821,0.749712169,-0.372373372,0.890129626,0.183380425,-5.82E-11,0.470358074,0.948148191
1.446187139,0.229715779,-1.221490622,-0.53389132,1.167809606,-0.256864816,1.20802319,0.799232483,-0.443501383,0.975243628,0.2082479,-5.82E-11,0.500653327,0.993758559
1.446153045,0.229441658,-1.225681663,-0.551072598,1.145731449,-0.238439277,1.129623532,0.829634726,-0.489789635,1.009699345,0.209468365,-5.82E-11,0.527956128,0.993973255
1.445229411,0.228332132,-1.230051517,-0.564545035,1.104337215,-0.222598553,1.08527565,0.845288754,-0.502406776,1.028879523,0.193296477,-5.82E-11,0.550758123,0.955669641
1.444446087,0.226920485,-1.234305501,-0.572680295,1.058903933,-0.201755345,1.049372315,0.855917454,-0.476296395,1.042459846,0.164244309,-5.82E-11,0.568318844,0.902012885
1.444360375,0.22540471,-1.238896132,-0.575463414,1.014523625,-0.170406848,0.992981672,0.881833553,-0.435000956,1.043198943,0.125746623,-5.82E-11,0.584248066,0.837144315
1.445374131,0.224072278,-1.244134784,-0.57365936,0.968287826,-0.131030425,0.918320358,0.934248805,-0.399511635,1.031329274,0.081238151,-5.82E-11,0.59911263,0.764607906
1.447394371,0.223039478,-1.250056744,-0.568141043,0.920937717,-0.088482261,0.82975775,1.012302876,-0.376968563,1.0090307,0.034153655,-5.82E-11,0.612768352,0.6894328
1.450365305,0.222345397,-1.256471515,-0.559776962,0.872321606,-0.042621598,0.734700203,1.109118581,-0.367944837,0.979470134,-0.012072243,-5.82E-11,0.62507093,0.616648197
1.454118609,0.222066507,-1.263105869,-0.549454808,0.824965775,0.000672443,0.641120672,1.213036776,-0.369980872,0.946314812,-0.054004617,-5.82E-11,0.635876358,0.52295506
1.458404064,0.222236589,-1.269652009,-0.538079321,0.774555266,0.020729598,0.563948691,1.342628241,-0.385235101,0.898456037,-0.101339571,-5.82E-11,0.648961961,0.478149891
1.46292305,0.222858667,-1.275786281,-0.526564062,0.728578269,0.034247905,0.487558901,1.402740717,-0.396940559,0.873731196,-0.117511481,-5.82E-11,0.655393839,0.453337312
1.467376828,0.223874763,-1.281163216,-0.511002898,0.686885059,0.045055889,0.461370558,1.440021634,-0.404192358,0.85890305,-0.119693987,-5.82E-11,0.659823656,0.449999988
1.473320603,0.225834802,-1.286998749,-0.503075063,0.676600516,0.057499222,0.44682914,1.462281942,-0.401776582,0.851386011,-0.119693987,-5.82E-11,0.662107706,0.449999988
1.476351738,0.227232531,-1.288965583,-0.498007894,0.672859013,0.068982765,0.437612534,1.476724267,-0.390517175,0.847575307,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.478624344,0.228498057,-1.289856553,-0.495082617,0.672063828,0.078909531,0.4312796,1.486808062,-0.384809285,0.84564352,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.480319262,0.229542106,-1.290231705,-0.49334079,0.672518313,0.087347001,0.42678833,1.494183898,-0.381915718,0.844374239,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.482077599,0.23069872,-1.290388942,-0.491892606,0.673987687,0.097358689,0.422019094,1.502055168,-0.380014479,0.844020724,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.482876539,0.231243998,-1.290390372,-0.491344869,0.675038874,0.10252206,0.419671088,1.505872726,-0.379328221,0.843788505,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.483464837,0.231651589,-1.290366173,-0.490982175,0.676703751,0.108104073,0.415156782,1.511939287,-0.379137129,0.843723774,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.48389709,0.231953681,-1.290335894,-0.49064371,0.678448021,0.114183955,0.413558513,1.514400601,-0.379040241,0.843690991,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.484339476,0.232264429,-1.290294528,-0.490501702,0.678865731,0.116263457,0.412866473,1.515777826,-0.378991157,0.843674362,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.484538317,0.232404456,-1.290272832,-0.490401566,0.679033935,0.117509648,0.412591845,1.516559482,-0.378966242,0.843665898,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.484683871,0.232507005,-1.290255785,-0.490330249,0.6790874,0.118262187,0.412501693,1.517008901,-0.378953636,0.843661606,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.484790325,0.232581988,-1.290237546,-0.490259141,0.679086685,0.118876711,0.412492365,1.517357469,-0.378945321,0.843658805,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.484898806,0.232658386,-1.290229082,-0.490227789,0.679070652,0.119096123,0.412510246,1.517476201,-0.378943026,0.84365809,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.484947443,0.232692599,-1.290222883,-0.49020505,0.679054022,0.119231433,0.412529737,1.51754725,-0.378941864,0.843657672,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.484982967,0.232717589,-1.290218234,-0.490188539,0.679039896,0.119315267,0.412546277,1.517590165,-0.378941268,0.843657494,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.485008836,0.232735828,-1.290214777,-0.490176558,0.679029047,0.119367428,0.412558913,1.517616272,-0.37894097,0.843657374,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.48502779,0.232749119,-1.290212274,-0.490167826,0.67902112,0.119399987,0.412568063,1.517632246,-0.378940821,0.843657315,-0.119693987,-5.82E-11,0.662400007,0.449999988
1.485041618,0.232758835,-1.290210485,-0.490161479,0.679015517,0.119420379,0.41257444,1.51764226,-0.378940731,0.843657315,-0.119693987,-5.82E-11,0.662400007,0.449999988
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
