LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.433738947,0.191386491,-1.242669702,-0.464236498,1.508545876,-0.239536256,1.241345763,0.437583655,0.109106041,0.085293956,-0.170000032,0,0.300000012,0.300000012
1.431141019,0.200389579,-1.224704146,-0.44450298,1.475993752,-0.235566869,1.214848518,0.430889308,0.088665903,0.094595626,-0.170000032,0,0.289778829,0.299234688
1.432125807,0.200426906,-1.22894299,-0.458649606,1.464660406,-0.232305199,1.206678152,0.448415101,0.026296444,0.106542155,-0.170000032,0,0.263787717,0.297199279
1.434202194,0.177874163,-1.250169992,-0.496942222,1.456509471,-0.227507249,1.201301813,0.490201026,-0.080657199,0.124417201,-0.170000032,0,0.229035586,0.294284582
1.4329108,0.149882033,-1.280606389,-0.55671072,1.448624492,-0.220127612,1.197036624,0.552582204,-0.218018979,0.148960084,-0.170000032,0,0.192531273,0.290881336
1.429185867,0.11798311,-1.313314319,-0.632736027,1.439163089,-0.209378481,1.193091393,0.671823144,-0.430151939,0.196883321,-0.170000032,0,0.149821177,0.285715461
1.421504736,0.08539398,-1.341642261,-0.71772325,1.427169085,-0.187372252,1.187000394,0.757795036,-0.535338461,0.234349906,-0.170000032,0,0.139599994,0.282800764
1.410154581,0.05918688,-1.360333085,-0.851203382,1.404457569,-0.169578061,1.182581306,0.847187936,-0.595485985,0.274356037,-0.170000032,0,0.196571425,0.280765295
1.387381792,0.035944443,-1.352686167,-0.952455878,1.388792992,-0.152205467,1.177391648,0.94769913,-0.629905701,0.315147966,-0.170000032,0,0.280000001,0.280000001
1.365050793,0.028461521,-1.331271648,-1.065808177,1.363157272,-0.128736526,1.173848867,1.062795877,-0.650839746,0.354911387,-0.170000032,0,0.337785125,0.303920001
1.339296937,0.026623156,-1.300147772,-1.183216929,1.335685015,-0.106782913,1.17084372,1.18185699,-0.664520681,0.391801119,-0.170000032,0,0.399058312,0.360960007
1.315583467,0.028888592,-1.263476849,-1.293906093,1.312351346,-0.08845742,1.167595983,1.293382883,-0.674134731,0.423956513,-0.170000032,0,0.454438806,0.429039955
1.293847084,0.032946397,-1.226309896,-1.383744717,1.293602943,-0.072895721,1.16409111,1.383468509,-0.681323588,0.449508965,-0.170000032,0,0.505941153,0.503560007
1.277274609,0.036775809,-1.194016933,-1.441658378,1.280012727,-0.059880402,1.160234094,1.441482186,-0.686945975,0.466585904,-0.170000032,0,0.508237898,0.508237898
1.26826489,0.038750123,-1.168939233,-1.478724122,1.271160364,-0.049287695,1.155366778,1.47860992,-0.691463768,0.478216857,-0.170000032,0,0.495087534,0.495087534
1.266321421,0.038892496,-1.13933444,-1.505957961,1.263117671,-0.036905494,1.144233823,1.50592494,-0.69671005,0.481455863,-0.170000032,0,0.471206516,0.471206516
1.271129251,0.037645768,-1.122816682,-1.513120174,1.259710193,-0.030513091,1.13418901,1.513237834,-0.69939816,0.483097881,-0.170000032,0,0.439119756,0.439119756
1.279593349,0.03566958,-1.108280063,-1.516157031,1.257192016,-0.025349697,1.122508407,1.516435981,-0.701550603,0.48393029,-0.170000032,0,0.401352048,0.401352048
1.290711164,0.03320913,-1.095569491,-1.516832471,1.255259395,-0.019536249,1.103198767,1.517076731,-0.70393163,0.484477222,-0.170000032,0,0.339571774,0.339571774
1.310361147,0.029121608,-1.079627872,-1.515151381,1.253032327,-0.016725073,1.09014678,1.515755653,-0.705044687,0.484629512,-0.170000032,0,0.29864794,0.29864794
1.322445869,0.026729396,-1.071200609,-1.512948155,1.251860976,-0.014620283,1.077687502,1.513356328,-0.705845714,0.48470673,-0.170000032,0,0.260880202,0.260880202
1.332925081,0.024641937,-1.067112684,-1.511122942,1.250076652,-0.014095365,1.068817019,1.510335684,-0.706390142,0.48474586,-0.170000032,0,0.228793383,0.228793383
1.342833042,0.023086134,-1.063426256,-1.50781548,1.248740435,-0.013763167,1.060906291,1.506402731,-0.70673269,0.484765708,-0.170000032,0,0.204912394,0.204912394
1.351179719,0.022182295,-1.06041944,-1.503033996,1.247859597,-0.01352679,1.054743767,1.501430988,-0.706927598,0.484775782,-0.170000032,0,0.189999998,0.189999998
1.356540442,0.021347051,-1.058151722,-1.491687179,1.246969819,-0.012634201,1.050884962,1.490049601,-0.707058489,0.484782398,-0.170000032,0,0.189999998,0.189999998
1.355051756,0.015726285,-1.056019783,-1.432749748,1.242488861,-0.006578873,1.047857523,1.373794436,-0.707094908,0.484784245,-0.170000032,0,0.189999998,0.189999998
1.346458673,0.004844722,-1.053986192,-1.308178306,1.228186011,0.010991987,1.047043562,1.219044328,-0.707113385,0.484785169,-0.170000032,0,0.189999998,0.189999998
1.328295588,-0.013659934,-1.051424026,-1.049362898,1.217925191,0.022905817,1.046718836,1.039159298,-0.707122743,0.484785646,-0.170000032,0,0.189999998,0.189999998
1.326675773,-0.014211514,-1.04881072,-0.88570118,1.21972847,0.021269903,1.044239759,0.874834239,-0.707127512,0.484785885,-0.170000032,0,0.189999998,0.189999998
1.332301974,-0.005975746,-1.045721292,-0.793170333,1.228871346,0.011534479,1.040368319,0.782160878,-0.707129955,0.484786004,-0.170000032,0,0.189999998,0.189999998
1.336479783,0.001144606,-1.043439984,-0.738296747,1.235655308,0.004933299,1.037479162,0.727187514,-0.707131147,0.484786063,-0.170000032,0,0.189999998,0.189999998
1.340125918,0.007362441,-1.041781902,-0.709778368,1.238775015,0.001502261,1.034828544,0.691745818,-0.707131922,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.344473243,0.014519672,-1.040158153,-0.690157652,1.242394686,-0.002577095,1.033735871,0.681528986,-0.707132161,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.346642375,0.017934676,-1.03947258,-0.68428266,1.24413836,-0.004550303,1.032987833,0.67616421,-0.70713228,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.348311424,0.020471985,-1.038997054,-0.681074858,1.24544251,-0.006018412,1.032475114,0.673321903,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.349571228,0.022324938,-1.038667321,-0.679290175,1.24639976,-0.007086648,1.031990767,0.671325088,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.35050869,0.023662556,-1.03843832,-0.678275943,1.247362614,-0.008147259,1.03178966,0.670713603,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.351470947,0.024991112,-1.038217902,-0.677488148,1.247782469,-0.00860323,1.03165102,0.670373976,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.351900578,0.025566727,-1.038124561,-0.677214026,1.248080611,-0.008923422,1.031555176,0.670181751,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.352211714,0.02597503,-1.038058877,-0.677044451,1.248291373,-0.009147343,1.031488776,0.670070648,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.352435946,0.026264163,-1.038012624,-0.676937044,1.24843967,-0.009303504,1.031442881,0.669982791,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.352597117,0.02646869,-1.03797996,-0.676867604,1.248543739,-0.009412182,1.031399012,0.669951737,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
1.352712512,0.026613276,-1.037956953,-0.676821828,1.248616695,-0.009516342,1.031380653,0.669932365,-0.707132339,0.484786093,-0.170000032,0,0.189999998,0.189999998
