LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.43757689,0.19944118,-1.199685216,-0.458711147,1.437553287,-0.199431747,1.199687362,0.458718628,0.032884307,0.15612787,-0.170000032,0,0.300000012,0.300000012
1.435421467,0.206804559,-1.201927185,-0.439482868,1.435397983,-0.209429711,1.203686476,0.438947797,0.055747524,0.133468539,-0.165112644,0.001063647,0.310808003,0.308487892
1.436105728,0.209568337,-1.207945466,-0.447826356,1.436405301,-0.211868659,1.210101485,0.445204794,0.032147076,0.139452577,-0.151711747,0.004021969,0.340144008,0.331862181
1.436755419,0.204365581,-1.216102719,-0.474241018,1.437633872,-0.210426748,1.221657157,0.467809707,-0.035335429,0.170558766,-0.13168925,0.008526032,0.383376002,0.387980133
1.436162829,0.193050176,-1.227748036,-0.517230213,1.438016295,-0.20023638,1.24848175,0.529666483,-0.201372042,0.254419893,-0.09337844,0.01741712,0.464146495,0.434859335
1.433780909,0.176572263,-1.250196338,-0.606693625,1.435748219,-0.188178778,1.271351099,0.586440861,-0.339861572,0.327826142,-0.065078922,0.024258979,0.521853447,0.485655993
1.427045822,0.143304721,-1.266581297,-0.677798271,1.432091951,-0.172316894,1.296638966,0.652474165,-0.486831903,0.409123421,-0.036779385,0.031425323,0.57724452,0.537236154
1.424198389,0.117861219,-1.282582998,-0.753183424,1.426654339,-0.152916804,1.322802663,0.724690259,-0.629914224,0.492969185,-0.010371751,0.038567238,0.62568748,0.586465836
1.413602948,0.090559252,-1.296975374,-0.828428447,1.420745134,-0.1327326,1.347759604,0.837366045,-0.809635282,0.611725509,0.02155393,0.048470996,0.675191998,0.649047613
1.40566957,0.063296951,-1.308297157,-0.898943186,1.409137726,-0.100090981,1.380518556,0.910328209,-0.887595475,0.678328276,0.034954842,0.054025244,0.68599999,0.678689897
1.398034692,0.037925642,-1.314615726,-0.988536656,1.400506616,-0.07839638,1.396758199,0.977489114,-0.921779335,0.728549361,0.0398422,0.058333788,0.671551943,0.695012689
1.387539387,0.003800349,-1.305724144,-1.040654421,1.392063975,-0.057710033,1.40587616,1.035795927,-0.91526705,0.756852925,0.036949445,0.061724767,0.63233608,0.6929726
1.381161332,-0.017030843,-1.284990191,-1.089096069,1.383544564,-0.037256047,1.400831461,1.08661437,-0.874352336,0.758440554,0.029055648,0.064761221,0.574543893,0.661920071
1.375330687,-0.0365863,-1.254020691,-1.134342313,1.374774814,-0.01618595,1.377932549,1.13206017,-0.806518793,0.733416378,0.017337529,0.067446575,0.504368007,0.606886506
1.370069265,-0.054822363,-1.215592861,-1.176196694,1.365961552,0.005641785,1.338332057,1.172979236,-0.719853103,0.68561244,0.002971804,0.069784269,0.428000003,0.535250664
1.365408301,-0.071575679,-1.172998548,-1.214123249,1.35744071,0.027746834,1.285732388,1.209550858,-0.622747838,0.620750487,-0.012864823,0.072646424,0.315383017,0.412808627
1.361329198,-0.086450145,-1.130112529,-1.247205615,1.349493384,0.0495141,1.225013614,1.241701007,-0.476236492,0.50622654,-0.036803626,0.074129969,0.250625014,0.331949383
1.358276844,-0.094926216,-1.096256733,-1.271940589,1.342437744,0.064546734,1.145149946,1.27646029,-0.39058885,0.428937346,-0.051169336,0.075277857,0.201346993,0.260313451
1.356437564,-0.097765416,-1.062992334,-1.29761076,1.333639622,0.077163838,1.100082636,1.293878317,-0.324682921,0.359604746,-0.06288746,0.076093532,0.173741043,0.205279782
1.355286121,-0.099763118,-1.051566482,-1.30800271,1.328819036,0.084664106,1.064542055,1.307230234,-0.285591274,0.305802315,-0.070781268,0.07658042,0.170000002,0.174227342
1.354652643,-0.099918008,-1.046750307,-1.313986301,1.325827479,0.090111822,1.042982697,1.315939188,-0.265773982,0.273791939,-0.073674016,0.076741949,0.170000002,0.170000002
1.354518294,-0.099680506,-1.044983268,-1.317366481,1.324115038,0.093889266,1.031769395,1.321255088,-0.255727738,0.257564455,-0.073674016,0.076741949,0.170000002,0.170000002
1.354460597,-0.099332757,-1.044503927,-1.319819212,1.322597027,0.097554952,1.024139047,1.325763583,-0.249126792,0.246902078,-0.073674016,0.076741949,0.170000002,0.170000002
1.354442954,-0.09883555,-1.044591904,-1.320547938,1.321913004,0.099130608,1.021922112,1.327485442,-0.24728854,0.243932799,-0.073674016,0.076741949,0.170000002,0.170000002
1.354460001,-0.09856613,-1.044773579,-1.320913672,1.321371555,0.100252621,1.020761609,1.328627467,-0.246356651,0.242427543,-0.073674016,0.076741949,0.170000002,0.170000002
1.354492903,-0.098349236,-1.044941425,-1.321079731,1.320930362,0.101056471,1.020156741,1.329401851,-0.24588424,0.241664454,-0.073674016,0.076741949,0.170000002,0.170000002
1.354536533,-0.098177806,-1.045072913,-1.321138501,1.320567608,0.101636335,1.019844651,1.329938293,-0.245644748,0.241277605,-0.073674016,0.076741949,0.170000002,0.170000002
