LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.376242757,0.162120983,-1.227814794,-0.453264594,1.385867476,-0.171694085,1.227634311,0.452984422,0.117144033,0.074924842,-0.170000032,0,0.300000012,0.300000012
1.396438479,0.184485927,-1.209183693,-0.451476097,1.40141964,-0.187318653,1.214835644,0.448872715,0.105538845,0.087523714,-0.167064935,0.002745679,0.319754213,0.304701269
1.39673245,0.192082465,-1.171034575,-0.482370853,1.420400858,-0.205305114,1.19818902,0.471824259,0.088470355,0.094745189,-0.158710614,0.010531235,0.369986355,0.317647725
1.382120609,0.192779094,-1.10898304,-0.547874033,1.445105672,-0.2283535,1.173852324,0.524852753,0.061374869,0.099780262,-0.145613506,0.022679443,0.437150627,0.337103635
1.350610614,0.185667992,-1.02754426,-0.641358376,1.475126743,-0.256963938,1.141421914,0.605260193,0.023222525,0.104149126,-0.128450096,0.047600318,0.540013671,0.37469548
1.296211243,0.166098073,-0.937228441,-0.753654599,1.50957036,-0.291158646,1.080272794,0.765235245,-0.05280913,0.110801756,-0.096560478,0.067692325,0.590245843,0.402830601
1.182989836,0.121101536,-0.806372583,-0.925377905,1.571029544,-0.354774773,1.032782316,0.888558984,-0.113414302,0.11557211,-0.072190881,0.08977671,0.610000014,0.431399673
1.084699631,0.08196409,-0.737520099,-1.024426818,1.614013076,-0.402062148,0.984583199,1.016146779,-0.179353178,0.120586753,-0.046122618,0.113176242,0.596796036,0.458666861
0.982133389,0.043313377,-0.678175926,-1.108397722,1.650027633,-0.447070003,0.940242052,1.138620257,-0.248193085,0.125728771,-0.019032154,0.137213707,0.539052725,0.493329406
0.878296614,0.0041399,-0.626000524,-1.182351947,1.68283546,-0.488281548,0.900009096,1.250146151,-0.317417055,0.130841434,0.022040393,0.17298463,0.486071348,0.509747624
0.773142338,-0.037361979,-0.582584143,-1.249099374,1.708453774,-0.522101879,0.867738128,1.340629101,-0.384465456,0.138065368,0.048726812,0.195654094,0.430145651,0.518788457
0.673144281,-0.077358596,-0.547311366,-1.308313966,1.729182005,-0.546316564,0.835283995,1.42820847,-0.475309253,0.142356396,0.074067771,0.216591194,0.378685713,0.519732714
