LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.395153642,0.178896859,-1.209270597,-0.448399633,1.456142545,-0.215180531,1.238502264,0.45519346,-0.009290308,0.107957795,-0.170000032,0,0.300000012,0.300000012
1.411739588,0.195951983,-1.206953883,-0.436288923,1.445655107,-0.21975863,1.211779594,0.439759463,0.06526015,0.10936074,-0.16597344,0.000687492,0.295369774,0.293429375
1.420598984,0.202633515,-1.205306649,-0.461292654,1.446832061,-0.220347151,1.206273675,0.47819069,0.052644312,0.137108147,-0.154677346,0.002580741,0.282674104,0.275820047
1.428086281,0.204494566,-1.202609539,-0.510030389,1.451345205,-0.218391433,1.202839494,0.55719614,0.009346446,0.190404356,-0.137287229,0.0054259,0.263705224,0.250325948
1.435665965,0.197195172,-1.201032996,-0.583459079,1.456070781,-0.212614387,1.201058865,0.671513915,-0.059591755,0.266063184,-0.114978544,0.008969132,0.240255445,0.220100939
1.436872721,0.18606323,-1.200185776,-0.676831067,1.458135843,-0.202667877,1.201275468,0.810351372,-0.147889704,0.357697457,-0.088926837,0.012956589,0.214117199,0.188299045
1.435264349,0.170157656,-1.199944735,-0.784552932,1.457242012,-0.188747153,1.203256011,0.96149087,-0.248638779,0.457297295,-0.060307585,0.017134422,0.187082842,0.158074096
1.431335092,0.152481213,-1.200312972,-0.899183214,1.4532758,-0.173407912,1.207423329,1.179283023,-0.407252818,0.602190912,-0.015135819,0.02320287,0.148771614,0.122592583
1.424538016,0.133004591,-1.201942682,-1.013140321,1.434537649,-0.148761421,1.220695019,1.29285872,-0.507182002,0.682209671,0.014759624,0.026746102,0.127338216,0.110108376
1.401986241,0.099657357,-1.20834291,-1.168657303,1.42572248,-0.13820827,1.234372973,1.360203743,-0.593724668,0.739203334,0.043108337,0.029591257,0.111281849,0.113822997
1.389543533,0.083718672,-1.215147018,-1.243618011,1.421336174,-0.131018043,1.253915429,1.384741306,-0.659356833,0.77730304,0.068735056,0.031484511,0.102394953,0.153841004
1.380457282,0.073011369,-1.22442174,-1.287230015,1.421683908,-0.12601231,1.280249119,1.376585722,-0.697986245,0.803460777,0.090464078,0.032172002,0.107962139,0.22527501
1.376480341,0.067118995,-1.242727995,-1.298634529,1.42628479,-0.122562893,1.312645435,1.343734503,-0.716619432,0.821617782,0.109767713,0.032172002,0.157377779,0.319148988
1.378188252,0.065217905,-1.274050117,-1.282107234,1.434231162,-0.120220892,1.349615216,1.293132186,-0.724157155,0.834188998,0.128136352,0.032172002,0.297822237,0.4824
1.384917259,0.066509202,-1.317678809,-1.243380308,1.44445014,-0.118613273,1.389063239,1.231379867,-0.725410283,0.842815459,0.151424512,0.032172002,0.417460084,0.593104005
1.395391703,0.070086636,-1.370536923,-1.188975811,1.455918431,-0.117535569,1.428563952,1.164772987,-0.723116577,0.851033449,0.162432283,0.032172002,0.543339968,0.694831848
1.4082371,0.075126193,-1.42815578,-1.125796318,1.467668653,-0.116871685,1.465550303,1.06912303,-0.716561258,0.854855597,0.168486357,0.032172002,0.662977874,0.778608084
1.422068357,0.08085081,-1.485411763,-1.060931683,1.478764892,-0.116527408,1.497393966,1.01696229,-0.711689889,0.858434856,0.16627793,0.032172006,0.76388973,0.835456014
1.435527325,0.086493596,-1.536849737,-1.001557231,1.486978769,-0.116295464,1.529865026,0.98212117,-0.707381189,0.86265415,0.144215897,0.032172002,0.833591819,0.856400013
1.447275281,0.091277599,-1.576845288,-0.954879105,1.494617462,-0.116635464,1.538346291,0.965205908,-0.704341471,0.867889166,0.105433211,0.032172002,0.859600008,0.847050667
1.456094384,0.095113926,-1.605347395,-0.920297027,1.498201013,-0.117132246,1.536967754,0.962007821,-0.703472555,0.873582006,0.055503387,0.032172002,0.83920604,0.807267368
1.463870287,0.094872698,-1.604915261,-0.916777432,1.500854611,-0.117592372,1.528118491,0.968452156,-0.707315326,0.881845117,-0.028100047,0.032172002,0.809335351,0.772253275
