LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.420313835,0.195501566,-1.217600465,-0.455025941,1.42537415,-0.19950372,1.215623617,0.456858814,0.067442618,0.131257355,-0.170000032,0,0.300000012,0.300000012
1.423884749,0.203257352,-1.211232424,-0.440303624,1.427357674,-0.208281234,1.208820701,0.435608238,0.087602802,0.111267813,-0.167687759,0,0.30000791,0.303054422
1.427530527,0.207512885,-1.21190238,-0.425556302,1.428888202,-0.208407596,1.211448669,0.428007305,0.08685597,0.105243295,-0.151637837,0,0.300212502,0.324809641
1.430976272,0.202890351,-1.222366929,-0.414587021,1.424969554,-0.201520383,1.222142458,0.423146486,0.074932203,0.100212187,-0.125794783,0,0.300983787,0.361471474
1.430327058,0.192975894,-1.240713954,-0.402056724,1.415329337,-0.18826808,1.240417004,0.421277136,0.055132385,0.092983782,-0.096687309,0,0.304029644,0.428781182
1.426039338,0.179646641,-1.265532613,-0.389202803,1.400106192,-0.171294808,1.264379263,0.423785686,0.032251544,0.071963139,-0.061187081,0,0.307870388,0.471443594
1.417981982,0.166102365,-1.294601917,-0.378313243,1.379429936,-0.153628439,1.306094885,0.438178957,0.004410388,0.047418918,-0.05248205,0,0.313600004,0.504000008
1.403919935,0.154048741,-1.326584101,-0.383689463,1.338237405,-0.131924927,1.335699081,0.461805552,0.011779627,0.004149022,-0.068170354,0,0.330294609,0.523555398
1.361979365,0.13976106,-1.384707928,-0.437214226,1.298211098,-0.119707257,1.369534612,0.507262588,0.067347541,-0.070635989,-0.102684617,0,0.360528767,0.534960806
1.315675974,0.128577024,-1.43074429,-0.53172493,1.245505333,-0.107500985,1.407704234,0.571599126,0.166319415,-0.173410714,-0.13719888,0,0.39492774,0.542688847
1.23116076,0.110662401,-1.482901573,-0.654678822,1.159727216,-0.093073457,1.451603889,0.652568579,0.286869526,-0.290946841,-0.15288718,0,0.424116999,0.551212013
1.137520909,0.093937315,-1.535692811,-0.776694417,1.082521081,-0.081408523,1.494465709,0.727243423,0.41845572,-0.42052269,-0.151601687,0,0.449369073,0.562706172
1.049920082,0.07904961,-1.588398695,-0.893860817,1.010557413,-0.069406331,1.53749299,0.799458385,0.568242013,-0.569289863,-0.148773625,0,0.47442624,0.574458361
0.972001672,0.065337531,-1.636724353,-0.998957276,0.946781754,-0.057172514,1.577216387,0.864335954,0.717602909,-0.718134105,-0.145945534,0,0.499243528,0.586312056
0.907461643,0.053737782,-1.67445159,-1.075088978,0.893774509,-0.046340656,1.608453631,0.91132921,0.831680775,-0.867520809,-0.144660041,0,0.501276016,0.587293029
0.871324599,0.047145467,-1.69505775,-1.115303278,0.863983631,-0.040158045,1.630769849,0.943378747,0.910782337,-0.910879552,-0.144660041,0,0.501276016,0.587293029
0.851825297,0.043498255,-1.705843568,-1.141474485,0.842781842,-0.035669323,1.637278795,0.952179372,0.932810724,-0.932860017,-0.144660041,0,0.501276016,0.587293029
0.838048398,0.040838771,-1.71320498,-1.148676395,0.83633554,-0.034272175,1.640698791,0.956588089,0.943977892,-0.944002867,-0.144660026,0,0.501276016,0.587293029
0.833891034,0.040008299,-1.71534586,-1.152291179,0.832842827,-0.033501718,1.64249742,0.958794296,0.949639022,-0.949651659,-0.144660041,0,0.501276016,0.587293029
0.831650674,0.039549589,-1.716468692,-1.154103994,0.830950439,-0.033077143,1.6434443,0.959897101,0.952508867,-0.952515304,-0.144660056,0,0.501276016,0.587293029
0.830990016,0.039243259,-1.71795094,-1.153920889,0.830153286,-0.032800511,1.644598246,0.959316909,0.954344273,-0.956131399,-0.141639993,0,0.506768465,0.589762151
0.841862977,0.037930194,-1.737434387,-1.131180406,0.83426255,-0.031706333,1.658955216,0.935492158,0.96343565,-0.963436902,-0.133546278,0,0.531484544,0.600873291
0.859800041,0.036137901,-1.767082453,-1.09522903,0.841465235,-0.03021067,1.680773139,0.898142099,0.976298809,-0.984640419,-0.11506363,0,0.55510211,0.611490548
0.885109901,0.032309711,-1.832285285,-1.015693545,0.857521772,-0.026981367,1.728796124,0.815580726,1.004262567,-1.004262686,-0.100627832,0,0.581355989,0.623293042
0.931526542,0.029353727,-1.883704782,-0.952871442,0.870156825,-0.02446297,1.76670599,0.750361264,1.026249409,-1.026249409,-0.086192019,0,0.607609987,0.635095417
0.963711798,0.02642375,-1.935727239,-0.889284253,0.882879794,-0.021945288,1.805095673,0.6843279,1.048482299,-1.048482299,-0.073205873,0,0.631227493,0.645712733
0.992181182,0.024307098,-1.983153462,-0.831615865,0.894373894,-0.019693114,1.840011477,0.624292493,1.068684459,-1.077289581,-0.059615642,0,0.655943573,0.656823814
1.014120579,0.023240803,-2.019845963,-0.786541343,0.903296709,-0.0179643,1.876913428,0.560887933,1.090013266,-1.090013266,-0.05659562,0,0.661436021,0.659292996
1.027730942,0.022848902,-2.042119503,-0.759615719,0.910046458,-0.016670343,1.888565779,0.540897667,1.096734405,-1.096734405,-0.05659562,0,0.661436021,0.659292996
1.037268162,0.022873633,-2.056590319,-0.741896868,0.911860645,-0.016326567,1.894483924,0.530757964,1.100141644,-1.100141644,-0.05659562,0,0.661436021,0.659292936
1.04014957,0.022982808,-2.060558796,-0.736952186,0.912754178,-0.016158724,1.897490144,0.525614381,1.101868987,-1.101868987,-0.056595631,0,0.661436081,0.659293056
1.042363286,0.023315812,-2.060777664,-0.733424842,0.913948834,-0.016256241,1.897669077,0.522809863,1.097404957,-1.097404957,-0.056513567,0,0.649746895,0.653907537
1.05029428,0.025938569,-2.043164015,-0.721473157,0.922422767,-0.018072408,1.884213686,0.516871929,0.984608054,-0.984608054,-0.055443518,0,0.618659079,0.639584839
1.068532228,0.032451723,-1.998756409,-0.695163488,0.943170428,-0.026380014,1.825555086,0.509940863,0.81076926,-0.81076926,-0.054244529,0,0.574141085,0.619074523
1.097549319,0.043050546,-1.886308432,-0.630555511,0.997173488,-0.035699625,1.763767004,0.500810802,0.570398688,-0.570398688,-0.052844591,0,0.52216208,0.595126808
1.156464934,0.06483525,-1.791514039,-0.576622069,1.044176459,-0.047263138,1.690741062,0.490278423,0.288684905,-0.288684905,-0.051404472,0,0.468690902,0.570491612
1.200622916,0.081174813,-1.692419291,-0.520530403,1.094731569,-0.059937946,1.61426878,0.479404658,0.000684962,-0.000684962,-0.050084911,0,0.398743033,0.538265228
1.243413568,0.09685801,-1.60014236,-0.468619108,1.16531682,-0.07795953,1.511984468,0.465094924,-0.389924228,0.389924228,-0.048683297,0,0.367655009,0.523942351
1.283027887,0.114049166,-1.501023412,-0.418563902,1.200210094,-0.087059058,1.465286136,0.458757281,-0.554670572,0.554670572,-0.048368484,0,0.355966002,0.518557012
1.297578812,0.122015126,-1.468984723,-0.403486103,1.220811963,-0.092601739,1.432270885,0.454659879,-0.677955687,0.677955687,-0.048368484,0,0.355966002,0.518557012
1.307747602,0.127993897,-1.452195525,-0.392809391,1.235355616,-0.096926115,1.42255187,0.454613984,-0.716120839,0.716120839,-0.048368484,0,0.355966002,0.518557012
1.314801812,0.134107351,-1.440590739,-0.389412135,1.240655184,-0.098880537,1.417260051,0.454462767,-0.735468447,0.735468447,-0.048368484,0,0.355966002,0.518557012
1.319661498,0.136787802,-1.437116981,-0.38743487,1.244243741,-0.100372486,1.414338827,0.454288125,-0.74527663,0.74527663,-0.048368484,0,0.355966002,0.518557012
1.324234366,0.138683662,-1.435229063,-0.386251599,1.246666074,-0.101478294,1.412701249,0.454127371,-0.75024879,0.75024879,-0.048368484,0,0.355966002,0.518557012
1.326106906,0.140011445,-1.434188128,-0.385525852,1.24829793,-0.102281377,1.411767721,0.453993917,-0.752769411,0.752769411,-0.048368484,0,0.355966002,0.518557012
1.327378154,0.140934333,-1.433604598,-0.385071218,1.249396086,-0.102856003,1.411045313,0.453847229,-0.754425585,0.754425585,-0.048368484,0,0.355966002,0.518557012
1.328239441,0.141572088,-1.433271646,-0.38478145,1.250134706,-0.10341797,1.410797477,0.453779638,-0.754886806,0.754886806,-0.048368484,0,0.355966002,0.518557012
