LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.396473169,0.190123782,-1.24197793,-0.422067314,1.373277068,-0.173799604,1.240651846,0.435727447,-0.057661179,0.204201832,-0.170000032,0,0.300000012,0.300000012
1.413567305,0.203360841,-1.216538072,-0.426731676,1.398816824,-0.198112056,1.206548929,0.442171156,0.035200261,0.142828971,-0.168150529,0.000880863,0.292225182,0.294168919
1.413036466,0.213054329,-1.168403864,-0.478846669,1.406527281,-0.212472692,1.167949438,0.487792224,-0.038221046,0.191766649,-0.16332376,0.003179701,0.271934837,0.268888891
1.380048752,0.233336419,-1.108096957,-0.559957325,1.395610332,-0.230361775,1.105106115,0.573784947,-0.197633594,0.370672733,-0.152869537,0.008158723,0.227988183,0.245991156
1.333627462,0.249384969,-1.030294538,-0.672712684,1.369510889,-0.250554681,0.978527129,0.759950697,-0.54897505,0.539362073,-0.145336151,0.011746628,0.196319982,0.222239986
1.221910715,0.268047005,-0.906813145,-0.879329503,1.29922545,-0.275847763,0.889634848,0.903956711,-0.811507523,0.724180222,-0.138614774,0.014947813,0.168065175,0.201048896
1.145167232,0.2822496,-0.835809231,-1.005125284,1.238126874,-0.288679838,0.811631203,1.036464691,-1.054223061,0.902374566,-0.13378799,0.017246656,0.147774771,0.18583107
1.091979742,0.293367207,-0.784629226,-1.094397068,1.18343842,-0.299547106,0.755567491,1.130293369,-1.225579858,1.050080419,-0.131938502,0.018127514,0.140000001,0.180000007
1.071044326,0.297360748,-0.766189814,-1.140100956,1.134107471,-0.302727222,0.727260113,1.175500989,-1.342310667,1.157061696,-0.131983534,0.018086545,0.150797129,0.190953627
1.080003381,0.292490453,-0.780648828,-1.155461669,1.087023616,-0.29548642,0.716059983,1.180318832,-1.417568684,1.237159967,-0.132098019,0.017972156,0.180944979,0.22153838
1.103509426,0.278752357,-0.811052263,-1.145447731,1.041741252,-0.277610153,0.714488626,1.152558923,-1.467163205,1.325805545,-0.132332444,0.017690841,0.255087644,0.296755582
1.120344043,0.257026762,-0.833690882,-1.109393239,0.996998549,-0.249940276,0.719182909,1.064228535,-1.515380502,1.370361805,-0.132485524,0.017448762,0.318888813,0.361481428
1.119532347,0.230800018,-0.844931066,-1.04951489,0.952603996,-0.214015782,0.728185475,0.98312068,-1.537228584,1.406121373,-0.132600009,0.017177951,0.390262157,0.433889151
1.101527333,0.201883584,-0.84927702,-0.969969153,0.912735999,-0.17515105,0.73878479,0.889891207,-1.553723216,1.434575438,-0.132645026,0.01689118,0.465842128,0.510564446
1.066334724,0.16888088,-0.850490689,-0.875552893,0.852512598,-0.108105257,0.759755731,0.788826287,-1.566192508,1.456826568,-0.130548894,0.016601218,0.542263389,0.588093281
1.017138362,0.13334921,-0.850314856,-0.771860123,0.814068139,-0.061106924,0.775782168,0.684998512,-1.575491309,1.473780394,-0.124573857,0.01632083,0.616160572,0.6630615
0.926631272,0.078851908,-0.849379301,-0.611699998,0.778313518,-0.014958076,0.792613685,0.583379388,-1.582235098,1.48624301,-0.115190148,0.016062792,0.684168518,0.76324439
0.862430274,0.044184238,-0.848989069,-0.510533333,0.746290743,0.028103031,0.809636712,0.488883197,-1.586917996,1.494969606,-0.102867886,0.015839864,0.742921829,0.816874504
0.798265636,0.011526998,-0.850183904,-0.420795321,0.719010532,0.065874413,0.82628423,0.406386256,-1.589972377,1.500689864,-0.088077277,0.015664823,0.789054871,0.855994582
0.742284715,-0.015494815,-0.852009773,-0.34852457,0.699391365,0.093528464,0.841008008,0.340750307,-1.591799259,1.504120469,-0.071288459,0.015550435,0.827230692,0.877190471
0.703130186,-0.033807572,-0.853463471,-0.299755692,0.684988558,0.113299161,0.85502553,0.296763033,-1.592783928,1.505557895,-0.043387044,0.015579373,0.827118933,0.876292884
0.686780751,-0.043576207,-0.857141256,-0.278214484,0.680588007,0.123714946,0.868112326,0.276115716,-1.580278516,1.495783448,-0.023659725,0.016101051,0.805618048,0.848627865
0.69787842,-0.04716704,-0.867712259,-0.282379478,0.693553507,0.124004096,0.887008131,0.289568245,-1.550178409,1.469870567,-0.003579754,0.017048419,0.766572654,0.798388183
0.764415205,-0.044485789,-0.899271131,-0.33045876,0.749489963,0.115590461,0.89915663,0.321484119,-1.500285983,1.426724195,0.0163827,0.019048536,0.684138656,0.692320645
0.830982625,-0.038195558,-0.931251466,-0.385460913,0.808655024,0.101663582,0.910802186,0.368786544,-1.432138205,1.333105206,0.045077473,0.020621918,0.619292378,0.608883083
0.91419059,-0.029123275,-0.968879342,-0.4546597,0.878104568,0.084057465,0.928832829,0.461960018,-1.30250144,1.255553126,0.062689051,0.022270422,0.551349819,0.521461606
1.004608631,-0.017946593,-1.011256576,-0.534558952,0.954297841,0.063349761,0.940037131,0.533916116,-1.203441978,1.169893622,0.078537598,0.023893889,0.484439433,0.43536818
1.145384073,0.00182784,-1.077633262,-0.665987611,1.07721889,0.028684791,0.94991684,0.609832466,-1.099205732,1.079842329,0.092152715,0.025392145,0.422689319,0.355914444
1.237964988,0.015237611,-1.119232774,-0.755625248,1.157621264,0.005740697,0.958335102,0.686457336,-0.994187415,0.94493103,0.107359663,0.027185682,0.348769695,0.260802269
1.315487862,0.027715538,-1.156731606,-0.844562292,1.230358839,-0.024373777,0.968216956,0.79571861,-0.844969928,0.860788286,0.113334678,0.027932722,0.317980498,0.221185923
1.375182152,0.038611177,-1.187650919,-0.927481472,1.304536343,-0.039189823,0.974154472,0.86228776,-0.757600486,0.785867155,0.115430839,0.028203998,0.306800008,0.206799999
1.419084787,0.046953928,-1.208913088,-1.029871464,1.334141731,-0.0494745,0.978155255,0.9174878,-0.683743417,0.72310251,0.107074328,0.025429932,0.306800008,0.210503697
1.449262857,0.052029997,-1.227482438,-1.085096002,1.354514956,-0.054617371,0.980962455,0.962878406,-0.623248696,0.672769487,0.086183064,0.018494772,0.306800008,0.219762966
1.477786064,0.050285343,-1.234597445,-1.13125062,1.368360043,-0.055137366,0.983006299,0.999612987,-0.575373232,0.634129763,0.059024416,0.009479067,0.306800008,0.23179999
1.489239097,0.045607552,-1.239087462,-1.168491483,1.377458334,-0.052250434,0.984511554,1.028342485,-0.539224327,0.606015861,0.03186575,0.000463354,0.306800008,0.243837029
1.496511698,0.039626326,-1.241785526,-1.196521759,1.383068919,-0.047609754,0.985673785,1.049346089,-0.513833582,0.58051908,0.004837696,-0.008509003,0.306800008,0.255816221
1.502071738,0.032553211,-1.243621707,-1.219866991,1.387036085,-0.041564669,0.986819625,1.066700935,-0.493919134,0.572567284,0.004837696,-0.008509003,0.306800008,0.255816221
1.503739238,0.029882306,-1.244088769,-1.226619959,1.388030767,-0.039093331,0.987267196,1.0718503,-0.488373309,0.568536162,0.004837696,-0.008509003,0.306800008,0.255816221
1.504623652,0.028192574,-1.244306564,-1.230153203,1.388432741,-0.03743371,0.987556756,1.07461226,-0.485561877,0.566492617,0.004837696,-0.008509003,0.306800008,0.255816221
1.505084753,0.027129943,-1.244406939,-1.232007265,1.388545394,-0.036325634,0.987743616,1.07610631,-0.484136641,0.565456629,0.004837696,-0.008509003,0.306800008,0.255816221
1.50531888,0.026464334,-1.244452596,-1.232983589,1.388527513,-0.035317495,0.987908244,1.077181101,-0.483200163,0.564775944,0.004837696,-0.008509003,0.306800008,0.255816221
1.505463839,0.025903467,-1.244478583,-1.233658433,1.388419628,-0.034916971,0.987972319,1.077518463,-0.482939392,0.564530253,0.004837696,-0.008509003,0.306800008,0.255816221
1.505496621,0.02569853,-1.244484782,-1.233858824,1.388341427,-0.034551911,0.988030374,1.077771425,-0.482768029,0.564461827,0.004837696,-0.008509003,0.306800008,0.255816221
1.505507469,0.025526077,-1.244488597,-1.233999848,1.38824296,-0.034405969,0.98805362,1.07785511,-0.482720315,0.564427137,0.004837696,-0.008509003,0.306800008,0.255816221
