LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.420309663,0.195498735,-1.217600822,-0.455034852,1.42537415,-0.19950372,1.215623617,0.456858814,0.067443751,0.131257355,-0.170000032,0,0.300000012,0.300000012
1.423131466,0.203677118,-1.209353209,-0.442815721,1.426991105,-0.206480205,1.20816803,0.443592936,0.078137368,0.119379275,-0.169515088,0.000230958,0.297961503,0.298471153
1.418551683,0.213413581,-1.186379194,-0.460583121,1.42539227,-0.215755433,1.185022712,0.463104278,0.030469589,0.148561597,-0.166041628,0.001885261,0.283360034,0.287520021
1.400239706,0.226070657,-1.138688803,-0.518701553,1.416009068,-0.229017809,1.13598752,0.526111245,-0.097818896,0.233078778,-0.160132229,0.004699727,0.258518517,0.268888891
1.360645652,0.24165,-1.069859982,-0.615116298,1.39372468,-0.246031433,1.063890338,0.628777027,-0.298148572,0.367837131,-0.152869537,0.008158723,0.227988183,0.245991156
1.306392074,0.257623434,-0.986912966,-0.737794816,1.357588768,-0.264846087,0.977147877,0.758658648,-0.54630667,0.537924588,-0.141806304,0.01342779,0.181481451,0.211111099
1.222519636,0.268206149,-0.869439662,-0.945884764,1.270798683,-0.283993393,0.84810245,0.973139167,-0.936758518,0.815060139,-0.135896921,0.016242251,0.156640023,0.192480028
1.115255475,0.288544238,-0.806794584,-1.05577302,1.211187482,-0.295757055,0.779612362,1.089159846,-1.151644588,0.981293142,-0.132423446,0.017896552,0.142038554,0.181528926
1.077345848,0.296447068,-0.770739377,-1.121809721,1.16009295,-0.303013265,0.73798728,1.158124447,-1.28849709,1.107627392,-0.131950393,0.018117007,0.142769396,0.182809532
1.072584629,0.296076626,-0.770045221,-1.151116014,1.110623479,-0.30073595,0.720042765,1.182362437,-1.383779168,1.199696302,-0.132034019,0.017972156,0.180944979,0.22153838
1.091245532,0.286696553,-0.795330048,-1.153620601,1.064486384,-0.287993908,0.714265645,1.170013666,-1.467037916,1.299545527,-0.132251069,0.017797116,0.227078199,0.2683402
1.113946795,0.268815964,-0.824265182,-1.130734801,1.019441247,-0.26498878,0.716167152,1.098907471,-1.501735687,1.349287629,-0.132411882,0.017574191,0.285831422,0.327944934
1.122318149,0.244669423,-0.840338349,-1.082271338,0.97480011,-0.214042619,0.728174508,1.025171161,-1.527053237,1.389229298,-0.132549524,0.017316148,0.353839338,0.396938473
1.101530552,0.201884493,-0.84927541,-0.969971418,0.912757516,-0.175165161,0.738778651,0.937804163,-1.546030879,1.421183228,-0.13263312,0.017035762,0.42773661,0.471906722
1.066336513,0.168881431,-0.850489736,-0.875554025,0.872410715,-0.131216317,0.752253473,0.840015948,-1.560391903,1.446414828,-0.132111192,0.0167458,0.504157782,0.549435496
1.017139316,0.133349538,-0.850314319,-0.771860719,0.833027899,-0.084645614,0.767625511,0.736944377,-1.571191788,1.4659127,-0.128016844,0.016459029,0.579737782,0.626110792
0.958221972,0.096901134,-0.849686563,-0.664714158,0.795791864,-0.03778746,0.784135938,0.633604228,-1.579147577,1.48052454,-0.120278686,0.016188219,0.651111186,0.698518634
0.894479275,0.061205961,-0.849136233,-0.560056508,0.761774004,0.007095641,0.801136911,0.534935236,-1.584805012,1.491026998,-0.109366946,0.015946141,0.714912355,0.76324439
0.831163704,0.028014375,-0.848959982,-0.463881493,0.731996179,0.065873981,0.826283932,0.406386197,-1.5899719,1.500689745,-0.088077277,0.015664823,0.789054871,0.838461518
0.768465102,-0.003005313,-0.852009714,-0.3485246,0.699391842,0.093528211,0.841007769,0.340750277,-1.591799021,1.504120469,-0.071288459,0.015550435,0.8192029,0.86904645
0.703130245,-0.033807557,-0.853463471,-0.299755722,0.684988856,0.113299005,0.855025411,0.296763033,-1.592783928,1.505971432,-0.05297159,0.015509467,0.829999983,0.879999995
0.68678081,-0.0435762,-0.857141256,-0.278214484,0.680588186,0.123714857,0.868112326,0.277225137,-1.588160276,1.502468228,-0.033596858,0.015780739,0.818819582,0.848627865
0.69787842,-0.047167037,-0.867712259,-0.282379478,0.693553627,0.125768721,0.880788386,0.280347914,-1.567708731,1.469870567,-0.003579754,0.017048419,0.766572654,0.798388183
0.736089349,-0.046255499,-0.886700809,-0.309400201,0.726129293,0.120562956,0.89915663,0.321484119,-1.500285983,1.426724195,0.0163827,0.018321317,0.714110792,0.730885684
0.795283437,-0.041741561,-0.914442539,-0.355957925,0.777141511,0.101663567,0.910802186,0.368786544,-1.432138205,1.367738008,0.035757389,0.019819578,0.652360499,0.651431859
0.870848715,-0.029123269,-0.968879282,-0.4546597,0.878104568,0.084057458,0.922764659,0.428484857,-1.348750949,1.295567751,0.062689051,0.022270422,0.551349819,0.521461606
1.004608631,-0.01794659,-1.011256576,-0.534558952,0.954297841,0.063349754,0.93459326,0.497239053,-1.203441978,1.169893622,0.078537598,0.023893889,0.484439433,0.43536818
1.097929597,-0.004965289,-1.055748105,-0.621303201,1.035913229,0.040426198,0.94991684,0.609832466,-1.099205732,1.079842329,0.092152715,0.025392145,0.422689319,0.355914444
1.192327023,0.008612625,-1.098894,-0.710919201,1.118014097,0.01705185,0.958335102,0.686457336,-0.994187415,0.989231348,0.1030645,0.026665043,0.370227188,0.288411617
1.315487862,0.027715538,-1.156731606,-0.844562292,1.230358839,-0.015169924,0.96531564,0.760623395,-0.892851591,0.901952922,0.110802673,0.027612414,0.331181794,0.23817198
1.375182152,0.038611177,-1.187650919,-0.927481472,1.284999609,-0.032259099,0.971466243,0.830439687,-0.799697876,0.821928859,0.114896983,0.028134091,0.309681207,0.210507229
1.419084787,0.046953928,-1.208913088,-0.998594046,1.320715308,-0.044969048,0.976344109,0.9174878,-0.683743417,0.72310251,0.107074328,0.025429932,0.306800008,0.210503697
1.460627913,0.052029997,-1.227482438,-1.085096002,1.354514956,-0.054617371,0.980962455,0.962878406,-0.623248696,0.672769487,0.086183064,0.018494772,0.306800008,0.219762966
1.477786064,0.050285343,-1.234597445,-1.13125062,1.368360043,-0.055137366,0.983006299,0.999612987,-0.575373232,0.634129763,0.059024416,0.009479067,0.306800008,0.23179999
1.489239097,0.045607552,-1.239087462,-1.168491483,1.377458334,-0.052250434,0.984511554,1.028342485,-0.539224327,0.606015861,0.03186575,0.000463354,0.306800008,0.248987496
1.496511698,0.039626326,-1.241785526,-1.196521759,1.383068919,-0.047609754,0.985673785,1.049346089,-0.513833582,0.58704263,0.004837696,-0.008509003,0.306800008,0.255816221
1.500781298,0.034255579,-1.24322927,-1.220537066,1.387064457,-0.04131601,0.986832738,1.067131162,-0.493449032,0.572294056,0.002617994,-0.009245864,0.306800008,0.256799996
1.503782511,0.029408885,-1.244117975,-1.227642655,1.388056278,-0.03867634,0.987294137,1.072513342,-0.487664908,0.566889763,0.002617994,-0.009245864,0.306800008,0.256799996
