LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.401360035,0.193225026,-1.213328004,-0.428362668,1.412017584,-0.200651526,1.209303856,0.427677214,0.109580427,0.086014926,-0.169417635,0.00041416,0.302320063,0.302187294
1.417732477,0.205694869,-1.210004687,-0.4343777,1.420826435,-0.20869562,1.210402727,0.432965338,0.084099554,0.105168119,-0.161756769,0.005965525,0.333640873,0.331862181
1.427559853,0.215263441,-1.216027141,-0.466009021,1.43001318,-0.221440956,1.223142743,0.461790591,-0.004553266,0.160487622,-0.153065518,0.012430873,0.370471805,0.366988927
1.431227446,0.220260814,-1.224577308,-0.503390908,1.433888197,-0.230620787,1.238600135,0.517646074,-0.153777778,0.250784755,-0.137340605,0.024622962,0.440943658,0.434859335
1.432742,0.224013686,-1.235880613,-0.55243355,1.434001923,-0.245950833,1.270323396,0.568083882,-0.277745664,0.325983316,-0.126633331,0.033449717,0.493000031,0.485655993
1.429828882,0.226097971,-1.2568506,-0.643730223,1.430627584,-0.256003946,1.294694781,0.626422584,-0.412051678,0.408189237,-0.117001273,0.042064216,0.545056343,0.562340736
1.422827005,0.227239549,-1.271340728,-0.711606562,1.426340103,-0.265613049,1.319867253,0.690176189,-0.54782784,0.492495596,-0.109519608,0.049805425,0.593632579,0.609219909
1.417065978,0.226972163,-1.285073519,-0.781436265,1.415449858,-0.27543211,1.34550333,0.7590819,-0.675817609,0.57373631,-0.105263591,0.056012295,0.652359128,0.649047613
1.411071301,0.226128191,-1.297053337,-0.849949837,1.399495244,-0.286943436,1.370254755,0.828575611,-0.786567748,0.646613777,-0.105504178,0.062120844,0.677009821,0.678689897
1.398240924,0.224209771,-1.307637453,-0.917072356,1.387848616,-0.296820551,1.390015364,0.893560886,-0.870524824,0.705764115,-0.116486877,0.065418221,0.68599999,0.695012689
1.390524149,0.223011672,-1.313373685,-0.974475861,1.37995863,-0.303654909,1.406428456,0.977891147,-0.927792013,0.756951928,-0.129200697,0.068247356,0.671551943,0.693377852
1.385946274,0.216468379,-1.303345799,-1.049107075,1.373596787,-0.303339064,1.401351213,1.02698946,-0.918315172,0.759790361,-0.144638941,0.070629686,0.632335961,0.665172637
1.382227659,0.206960499,-1.281813264,-1.094890594,1.3712641,-0.293479294,1.379278541,1.073520899,-0.875897586,0.737632453,-0.161439374,0.072586678,0.574543893,0.614824951
1.381051421,0.193549708,-1.249929428,-1.138181567,1.369726896,-0.2763412,1.341339827,1.118213534,-0.807302117,0.694028616,-0.178239793,0.074139759,0.466571003,0.511625648
1.380575418,0.177188873,-1.210417628,-1.178680897,1.367698312,-0.254858792,1.291154265,1.16076529,-0.720250189,0.634018779,-0.200460643,0.075758979,0.389428943,0.433600008
1.37989378,0.16043143,-1.166973233,-1.21559298,1.364399672,-0.232107475,1.233368397,1.200283647,-0.573091209,0.526030242,-0.211301446,0.076396123,0.315383017,0.355574369
1.378940105,0.144787103,-1.123391271,-1.24802053,1.361200213,-0.208714887,1.141993046,1.25217545,-0.47630915,0.451142251,-0.217374578,0.07670442,0.250625014,0.283875227
1.377703905,0.12456166,-1.066259146,-1.285933852,1.357042909,-0.176963836,1.086049557,1.280095816,-0.390625656,0.381420344,-0.218197569,0.076741949,0.201346993,0.22482872
1.376617551,0.11572171,-1.038629055,-1.302869797,1.354023099,-0.162087649,1.040706515,1.301172376,-0.324701577,0.323364228,-0.218197569,0.076741949,0.173741043,0.184761673
1.376116872,0.110196553,-1.022592545,-1.312626362,1.352125287,-0.152036354,1.010071635,1.314793348,-0.285600722,0.283508986,-0.218197569,0.076741949,0.170000002,0.170000002
1.375987053,0.107154697,-1.014657855,-1.317578793,1.351379037,-0.146670789,0.994155705,1.321831346,-0.259909272,0.256266594,-0.218197569,0.076741949,0.170000002,0.170000002
1.375977635,0.105460547,-1.01072979,-1.320106506,1.351155639,-0.143012285,0.983849764,1.326406837,-0.252754658,0.248680085,-0.218197569,0.076741949,0.170000002,0.170000002
1.376006246,0.104205772,-1.008221865,-1.32178998,1.351140618,-0.141940534,0.981018364,1.327671289,-0.249127671,0.244834155,-0.218197569,0.076741949,0.170000002,0.170000002
1.376020789,0.103804305,-1.007546902,-1.322268367,1.351182103,-0.14137508,0.979595363,1.328309536,-0.247288987,0.242884472,-0.218197569,0.076741949,0.170000002,0.170000002
1.37602818,0.103577167,-1.007214308,-1.322515726,1.351222992,-0.141077131,0.978879333,1.32872653,-0.246080875,0.241603419,-0.218197569,0.076741949,0.170000002,0.170000002
1.376030326,0.103406318,-1.007003784,-1.322682977,1.351267457,-0.140872911,0.978412151,1.328841805,-0.245744437,0.24124667,-0.218197569,0.076741949,0.170000002,0.170000002
