LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.392191052,0.198778346,-1.170656085,-0.416426778,1.392365694,-0.198704734,1.170614481,0.416388899,0.017585397,0.079867244,-0.170000032,0,0.300000012,0.300000012
1.415265203,0.209881738,-1.195415854,-0.427906364,1.421049595,-0.21030736,1.19531846,0.432227761,0.06359984,0.100048847,-0.16597344,0.000687492,0.295369774,0.293429375
1.428631186,0.211290807,-1.198635578,-0.454648942,1.431525826,-0.213279873,1.198357105,0.475628197,0.051802628,0.132387534,-0.154677346,0.002580741,0.282674104,0.275820047
1.43477571,0.208510995,-1.199440718,-0.505812764,1.441289067,-0.213089034,1.19912672,0.556886435,0.008919757,0.188011274,-0.137287229,0.0054259,0.263705224,0.250325948
1.438576698,0.200855792,-1.199267507,-0.580713212,1.449356556,-0.208622292,1.199375153,0.672104299,-0.059808057,0.26485005,-0.114978544,0.008969132,0.240255445,0.220100939
1.439157724,0.188707456,-1.199174762,-0.675031722,1.453519225,-0.199693158,1.200583935,0.811155677,-0.147999361,0.357082486,-0.088926837,0.012956589,0.214117199,0.188299045
1.436995506,0.172059327,-1.199356198,-0.783365369,1.454047084,-0.186577499,1.203022957,0.96224767,-0.248694375,0.456985503,-0.060307585,0.017134422,0.187082842,0.158074096
1.432659507,0.15382643,-1.19994545,-0.898399174,1.451019406,-0.171873435,1.207415581,1.110037208,-0.354640275,0.555872202,-0.030296197,0.021248804,0.148771614,0.122592583
1.425536871,0.133943155,-1.201700807,-1.012623549,1.438700318,-0.15479973,1.215426445,1.241455317,-0.458435684,0.644566596,0.014759624,0.026746102,0.127338216,0.110108376
1.409815907,0.110089354,-1.20548594,-1.121335506,1.428642035,-0.142368823,1.227067471,1.360370159,-0.593729794,0.739174366,0.043108337,0.029591257,0.111281849,0.113822997
1.395894051,0.091412075,-1.211401582,-1.243494987,1.420800805,-0.130731165,1.25400424,1.384834528,-0.659359455,0.777288377,0.068735056,0.031484511,0.102394953,0.153841004
1.380719185,0.073186204,-1.224352956,-1.287161589,1.421332359,-0.125835136,1.280317426,1.376636744,-0.697987616,0.803453326,0.090464078,0.032172002,0.107962139,0.22527501
1.37665534,0.067228071,-1.242681265,-1.298596978,1.426054239,-0.122453824,1.312695503,1.343761802,-0.716620147,0.821614027,0.109767713,0.032172002,0.157377779,0.319148988
1.37830472,0.06528572,-1.274018526,-1.28208673,1.434079647,-0.120153502,1.34965086,1.293146849,-0.724157453,0.83418709,0.128136352,0.032172002,0.244245276,0.426486999
1.384994864,0.066551387,-1.317657471,-1.243369102,1.444350123,-0.118571319,1.389088035,1.231387973,-0.725410461,0.842814565,0.144421786,0.032172002,0.417460084,0.593104005
1.395443439,0.070113011,-1.370522499,-1.188969612,1.45585227,-0.117509365,1.428580999,1.164777637,-0.721191525,0.851033151,0.162432283,0.032172002,0.543339968,0.694831848
1.40827167,0.075142704,-1.428146124,-1.125792861,1.473320484,-0.116652332,1.48229003,1.069125175,-0.716561258,0.854855478,0.168486357,0.032172002,0.662977874,0.778608084
1.422091484,0.080861159,-1.512201548,-1.030106544,1.483754158,-0.116437733,1.510563731,1.016963601,-0.711689889,0.858434796,0.16627793,0.032172006,0.76388973,0.835456014
