LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LWristYaw,RWristYaw,HeadPitch,HeadYaw,LHand,RHand
1.395375133,0.189304411,-1.243043423,-0.42278856,1.374271274,-0.174457148,1.240992546,0.435357571,-0.0521634,0.171403766,-0.170000032,0,0.300000012,0.300000012
1.404861569,0.20022051,-1.252382636,-0.443612814,1.394796014,-0.187815711,1.219787478,0.42721504,0.045243554,0.11914815,-0.160321891,0,0.407996565,0.354036272
1.368972182,0.192787647,-1.361139655,-0.511163294,1.387860298,-0.180629462,1.214701533,0.412870467,0.072886102,0.04352488,-0.139029995,0,0.645588994,0.536408603
1.254756808,0.16754061,-1.534887671,-0.630311489,1.366793394,-0.161960095,1.213590503,0.39442569,0.08743716,-0.050035439,-0.110721454,0,0.961478949,0.630972028
1.097313881,0.142128393,-1.734118462,-0.78137058,1.334056377,-0.133006096,1.214568734,0.375597417,0.097418144,-0.154646114,-0.108060196,0,0.991177917,0.645831943
0.863933265,0.132437125,-1.808188319,-0.825694323,1.320585966,-0.12107867,1.215453625,0.371662647,0.100212604,-0.185311899,-0.108066104,0,0.991177917,0.645832002
0.727094412,0.153896347,-1.845737696,-0.848164022,1.311186314,-0.112726972,1.216473341,0.370851427,0.101629242,-0.200857729,-0.108088404,0,0.991177976,0.645832002
0.602478027,0.192052215,-1.864773035,-0.859554887,1.30469954,-0.106829062,1.217432261,0.37151444,0.102347396,-0.208738595,-0.108138017,0,0.991177976,0.645832002
0.4952012,0.239316881,-1.874422908,-0.865329385,1.300355792,-0.102647536,1.218266129,0.372760177,0.102711461,-0.21273376,-0.108287528,0,0.991178036,0.645832002
0.413478315,0.286964566,-1.879314899,-0.868256807,1.297643781,-0.099678054,1.218973637,0.374067694,0.10289602,-0.214759082,-0.108362861,0,0.991177976,0.645832002
0.366334409,0.326596588,-1.88180995,-0.869753361,1.29636395,-0.097365007,1.219601631,0.375012487,0.102989584,-0.216146186,-0.110162094,0,0.991480529,0.645974994
0.35483107,0.35828951,-1.88322556,-0.870638132,1.297472715,-0.093688242,1.220361829,0.374704778,0.103037015,-0.216737136,-0.113666095,0,0.992291331,0.646358013
0.373906136,0.384858102,-1.88424623,-0.871683955,1.30469203,-0.082865469,1.22192955,0.371139288,0.10306818,-0.217334345,-0.117120951,0,0.993465126,0.646912575
0.445502907,0.417817265,-1.885635614,-0.872402191,1.312676907,-0.072162144,1.223187089,0.367065579,0.103076853,-0.218001485,-0.118682392,0,0.994856775,0.647570074
0.511279166,0.435906738,-1.886580348,-0.873164356,1.322257638,-0.059513554,1.224501967,0.362234533,0.103081256,-0.218731746,-0.046188392,0,0.996321142,0.648261905
0.582606196,0.45104298,-1.887521386,-0.87393713,1.332453847,-0.045973223,1.225757122,0.357231289,0.103083484,-0.219482571,0.065847799,0,0.997712851,0.648919344
0.651708364,0.463189662,-1.888399363,-0.874664068,1.342245221,-0.032734804,1.226831436,0.352631241,0.103084616,-0.220193326,0.084822997,0,0.998886585,0.649473965
0.710743785,0.472241074,-1.889136553,-0.875276804,1.350611925,-0.021079874,1.227610469,0.348974526,0.10308519,-0.221030265,0.056548666,0,0.999921322,0.649962842
0.751837313,0.478056282,-1.889646053,-0.87570101,1.356554031,-0.012361697,1.227992892,0.346226931,0.10308557,-0.221339196,0.03071779,0,1,0.649999976
0.773547947,0.481095642,-1.889915109,-0.875991344,1.360877752,-0.005135181,1.227997541,0.345808178,0.103085674,-0.221495807,0.009075699,0,1,0.649999976
0.787813067,0.483092695,-1.890091896,-0.876072168,1.362120986,-0.002525567,1.227910161,0.345794618,0.103085726,-0.221575201,0,0,1,0.649999976
0.791785657,0.483648837,-1.890141129,-0.876113176,1.362726212,-0.000867983,1.227833152,0.345918953,0.103085749,-0.221615434,0,0,1,0.649999976
0.79379952,0.483930767,-1.890166044,-0.876133978,1.362989545,0.000208189,1.227779865,0.346070051,0.103085764,-0.221635833,0,0,1,0.649999976
0.794820428,0.484073699,-1.89017868,-0.876144469,1.363075614,0.000921641,1.227748036,0.346206635,0.103085771,-0.22164619,0,0,1,0.649999976
0.795337975,0.484146148,-1.890184999,-0.876149774,1.363058329,0.001585024,1.227727652,0.346362948,0.103085771,-0.22165297,0,0,1,0.649999976
0.79567802,0.484193772,-1.89018929,-0.87615335,1.363010883,0.001862053,1.227724433,0.346436888,0.103085771,-0.221654862,0,0,1,0.649999976
0.795772731,0.484207034,-1.890190482,-0.876154363,1.362957954,0.002057136,1.227725387,0.346491814,0.103085771,-0.221655831,0,0,1,0.649999976
